date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-05-25,4,4,0,2,2,0,0,0,0,2,0.5,0.5,1.0,1.5
2021-05-26,4,3,0,1,0,0,0,0,0,2,0.429,0.429,0.714,1.143
2021-05-27,2,2,0,0,0,0,0,0,0,1,0.333,0.333,0.556,0.889
2021-05-28,5,5,0,2,1,0,0,1,0,1,0.357,0.357,0.571,0.929
2021-05-29,4,4,1,2,0,0,1,2,0,2,0.389,0.389,0.722,1.111
2021-05-30,4,4,0,0,0,0,0,0,0,2,0.318,0.318,0.591,0.909
2021-05-31,3,3,1,2,0,0,1,2,0,0,0.36,0.36,0.72,1.08
2021-06-16,4,4,1,1,0,0,1,1,0,0,0.345,0.345,0.759,1.103
2021-06-18,4,3,1,1,0,0,1,3,1,0,0.344,0.364,0.813,1.176
2021-06-20,4,4,2,2,2,0,0,0,0,1,0.361,0.378,0.833,1.212
2021-09-01,5,5,2,2,0,0,1,1,0,3,0.366,0.381,0.854,1.235
2021-09-03,4,4,1,1,0,0,0,2,0,1,0.356,0.37,0.8,1.17
2021-09-05,4,4,1,1,0,0,0,0,0,2,0.347,0.36,0.755,1.115
2021-09-06,0,0,0,0,0,0,0,0,0,0,0.347,0.36,0.755,1.115
2021-09-07,4,4,0,0,0,0,0,0,0,1,0.321,0.333,0.698,1.031
2021-09-08,4,4,0,0,0,0,0,0,0,2,0.298,0.31,0.649,0.96
2021-09-09,4,4,0,0,0,0,0,0,0,2,0.279,0.29,0.607,0.897
2021-09-10,5,4,0,0,0,0,0,0,1,3,0.262,0.284,0.569,0.853
2021-09-12,4,3,1,1,0,0,1,1,0,0,0.265,0.286,0.603,0.889
2021-09-14,4,4,0,1,0,0,0,1,0,2,0.264,0.284,0.583,0.867
2021-09-15,5,3,2,0,0,0,0,1,1,1,0.253,0.291,0.56,0.851
2021-09-16,4,4,0,2,0,0,0,0,0,2,0.266,0.301,0.557,0.858
2021-09-18,5,5,1,2,1,0,0,1,0,0,0.274,0.307,0.56,0.866
2021-09-19,3,3,0,0,0,0,0,0,0,1,0.264,0.297,0.54,0.837
2021-09-20,3,3,1,1,0,0,0,0,0,1,0.267,0.298,0.533,0.831
2021-09-21,4,4,0,1,0,0,0,0,0,3,0.266,0.296,0.521,0.817
2021-09-24,4,4,1,1,0,1,0,0,0,0,0.265,0.294,0.531,0.825
2021-09-25,4,2,0,0,0,0,0,0,1,1,0.26,0.295,0.52,0.815
2021-09-26,4,3,0,0,0,0,0,0,1,1,0.252,0.294,0.505,0.798
2021-09-27,4,4,0,1,0,0,0,0,0,0,0.252,0.292,0.495,0.787
2021-09-28,4,4,0,0,0,0,0,0,0,2,0.243,0.282,0.477,0.76
2021-09-30,4,4,0,0,0,0,0,0,0,1,0.235,0.273,0.461,0.734
2021-10-01,5,4,2,2,2,0,0,1,1,1,0.244,0.286,0.479,0.765
2021-10-02,3,3,0,0,0,0,0,0,0,0,0.238,0.279,0.467,0.746
2021-10-03,4,4,1,0,0,0,0,0,0,2,0.23,0.271,0.452,0.723
