date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-05-08,4,3,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25
2019-05-10,4,3,0,1,1,0,0,0,1,0,0.167,0.375,0.333,0.708
2019-05-11,2,2,0,0,0,0,0,0,0,2,0.125,0.3,0.25,0.55
2019-05-12,1,0,0,0,0,0,0,0,0,0,0.125,0.3,0.25,0.55
2019-05-14,0,0,0,0,0,0,0,0,0,0,0.125,0.3,0.25,0.55
2019-05-15,4,4,2,2,0,0,1,2,0,1,0.25,0.357,0.583,0.94
2019-05-17,3,3,1,1,0,0,0,0,0,0,0.267,0.353,0.533,0.886
2019-05-18,3,3,0,1,0,0,0,0,0,1,0.278,0.35,0.5,0.85
2019-05-19,2,2,0,0,0,0,0,0,0,0,0.25,0.318,0.45,0.768
2019-05-20,4,4,0,1,0,0,0,0,0,0,0.25,0.308,0.417,0.724
2019-05-21,4,3,0,1,0,0,0,0,1,0,0.259,0.333,0.407,0.741
2019-05-22,4,4,0,0,0,0,0,0,0,1,0.226,0.294,0.355,0.649
2019-05-23,2,2,0,0,0,0,0,0,0,1,0.212,0.278,0.333,0.611
2019-05-24,2,2,0,0,0,0,0,0,0,2,0.2,0.263,0.314,0.577
2019-05-25,4,4,2,3,0,0,1,2,0,0,0.256,0.31,0.436,0.745
2019-05-26,2,2,0,0,0,0,0,0,0,1,0.244,0.295,0.415,0.71
2019-05-27,4,4,1,3,0,0,1,1,0,0,0.289,0.333,0.511,0.844
2019-05-28,4,2,1,1,0,0,1,1,2,0,0.298,0.365,0.574,0.94
2019-05-29,4,4,0,0,0,0,0,0,0,2,0.275,0.339,0.529,0.869
2019-05-31,4,4,0,1,0,0,0,0,0,0,0.273,0.333,0.509,0.842
2019-06-01,4,4,1,2,0,0,0,0,0,1,0.288,0.344,0.508,0.852
2019-06-02,4,3,0,0,0,0,0,1,1,0,0.274,0.338,0.484,0.822
2019-06-03,4,3,0,0,0,0,0,1,0,1,0.262,0.319,0.462,0.781
2019-06-04,3,2,0,0,0,0,0,0,1,1,0.254,0.32,0.448,0.768
2019-06-08,1,0,0,0,0,0,0,1,0,0,0.254,0.316,0.448,0.764
2019-06-11,4,3,1,1,0,0,0,1,1,0,0.257,0.325,0.443,0.768
2019-06-12,5,4,0,0,0,0,0,0,1,1,0.243,0.318,0.419,0.737
2019-06-13,4,4,0,1,0,0,0,0,0,2,0.244,0.315,0.41,0.725
2019-06-14,3,3,0,0,0,0,0,0,0,1,0.235,0.304,0.395,0.699
2019-06-15,3,3,0,1,0,0,0,0,0,1,0.238,0.305,0.393,0.698
2019-06-16,3,3,0,0,0,0,0,0,0,3,0.23,0.296,0.379,0.675
