date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-05-04,1,1,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0
2021-05-05,4,3,0,1,0,0,0,1,0,0,0.5,0.4,0.5,0.9
2021-05-06,1,1,0,0,0,0,0,0,0,1,0.4,0.333,0.4,0.733
2021-05-08,3,3,0,0,0,0,0,0,0,0,0.25,0.222,0.25,0.472
2021-05-11,1,1,0,0,0,0,0,0,0,0,0.222,0.2,0.222,0.422
2021-05-13,1,0,0,0,0,0,0,0,1,0,0.222,0.273,0.222,0.495
2021-05-14,4,4,0,0,0,0,0,0,0,1,0.154,0.2,0.154,0.354
2021-05-15,4,4,0,0,0,0,0,1,0,2,0.118,0.158,0.118,0.276
2021-05-18,4,4,0,1,1,0,0,0,0,0,0.143,0.174,0.19,0.364
2021-06-21,4,4,1,1,0,0,1,3,0,0,0.16,0.185,0.32,0.505
2021-06-22,4,4,0,1,0,0,0,0,0,1,0.172,0.194,0.31,0.504
2021-06-24,4,3,0,0,0,0,0,0,1,0,0.156,0.2,0.281,0.481
2021-06-25,4,4,2,2,0,0,0,0,0,0,0.194,0.231,0.306,0.536
2021-06-26,4,4,0,2,0,0,0,0,0,1,0.225,0.256,0.325,0.581
2021-06-27,4,4,0,0,0,0,0,0,0,0,0.205,0.234,0.295,0.53
2021-06-29,4,4,0,0,0,0,0,0,0,1,0.188,0.216,0.271,0.486
2021-06-30,3,3,0,1,0,0,0,0,0,0,0.196,0.222,0.275,0.497
2021-07-01,5,5,0,1,0,0,0,0,0,0,0.196,0.22,0.268,0.488
2021-07-03,5,5,0,1,1,0,0,0,0,1,0.197,0.219,0.279,0.497
2021-07-04,3,3,0,0,0,0,0,0,0,0,0.188,0.209,0.266,0.475
2021-07-06,4,3,1,0,0,0,0,0,1,1,0.179,0.211,0.254,0.465
2021-07-07,1,1,0,1,1,0,0,0,0,0,0.191,0.222,0.279,0.502
2021-07-09,4,4,0,1,0,0,0,1,0,1,0.194,0.224,0.278,0.502
2021-07-10,2,2,0,0,0,0,0,0,0,1,0.189,0.218,0.27,0.488
2021-07-16,4,4,0,1,0,0,0,0,0,1,0.192,0.22,0.269,0.489
2021-07-18,3,3,0,0,0,0,0,0,0,0,0.185,0.212,0.259,0.471
2021-07-19,1,1,0,0,0,0,0,0,0,0,0.183,0.209,0.256,0.465
2021-07-20,3,3,0,1,1,0,0,1,0,0,0.188,0.213,0.271,0.484
2021-07-21,1,1,0,1,0,0,0,0,0,0,0.198,0.222,0.279,0.501
2021-07-22,4,4,2,3,0,1,0,1,0,0,0.222,0.245,0.322,0.567
2021-07-23,4,3,1,1,0,0,0,0,1,1,0.226,0.255,0.323,0.578
2021-07-24,4,2,1,1,0,0,1,1,2,0,0.232,0.275,0.358,0.632
2021-07-25,4,4,0,1,0,0,0,0,0,0,0.232,0.274,0.354,0.627
2021-07-27,4,2,0,0,0,0,0,0,2,1,0.228,0.282,0.347,0.628
2021-07-28,4,4,0,1,1,0,0,0,0,1,0.229,0.281,0.352,0.633
2021-07-30,4,4,0,0,0,0,0,0,0,0,0.22,0.271,0.339,0.611
2021-07-31,4,4,2,1,0,0,0,0,0,0,0.221,0.27,0.336,0.607
2021-08-01,4,4,2,2,0,0,1,2,0,1,0.231,0.278,0.368,0.645
2021-08-02,3,2,1,0,0,0,0,0,0,2,0.227,0.279,0.361,0.64
2021-08-03,4,3,1,1,0,0,1,2,0,0,0.23,0.286,0.385,0.671
2021-08-04,4,4,0,0,0,0,0,0,0,0,0.222,0.277,0.373,0.65
2021-08-05,4,4,0,1,0,0,0,0,0,0,0.223,0.277,0.369,0.646
2021-08-06,1,1,0,0,0,0,0,0,0,0,0.221,0.275,0.366,0.641
2021-08-07,4,4,0,1,0,0,0,0,0,0,0.222,0.274,0.363,0.637
2021-08-08,4,4,0,0,0,0,0,0,0,0,0.216,0.267,0.353,0.619
2021-08-10,4,4,0,0,0,0,0,0,0,2,0.21,0.26,0.343,0.602
2021-08-11,4,4,0,1,0,0,0,0,0,1,0.211,0.259,0.34,0.6
2021-08-12,3,3,0,0,0,0,0,0,0,0,0.207,0.255,0.333,0.588
2021-08-13,4,4,1,0,0,0,0,0,0,0,0.201,0.248,0.325,0.573
2021-08-14,1,1,0,0,0,0,0,0,0,0,0.2,0.247,0.323,0.57
2021-08-15,3,3,0,1,0,0,0,0,0,0,0.203,0.249,0.323,0.571
2021-08-17,3,3,1,2,0,0,1,1,0,0,0.211,0.256,0.348,0.604
2021-08-18,3,3,1,1,1,0,0,0,0,0,0.213,0.257,0.354,0.611
2021-08-19,5,5,0,1,0,0,0,0,0,2,0.213,0.256,0.349,0.605
2021-08-20,3,3,0,2,0,0,0,0,0,0,0.221,0.262,0.355,0.617
2021-08-21,5,4,1,3,2,0,0,2,1,0,0.233,0.277,0.375,0.652
2021-08-23,5,4,0,2,1,0,0,2,0,0,0.239,0.281,0.383,0.665
2021-08-24,5,5,0,3,0,0,0,0,0,2,0.249,0.289,0.389,0.678
2021-08-25,4,3,1,2,1,0,0,0,1,0,0.255,0.299,0.399,0.697
2021-08-26,5,5,1,2,1,0,0,0,0,1,0.259,0.301,0.404,0.705
2021-08-27,5,5,1,2,0,0,1,1,0,1,0.263,0.303,0.419,0.722
