date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2013-04-20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2013-04-22,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2013-04-24,3,2,0,0,0,0,0,0,1,2,0.0,0.333,0.0,0.333
2013-07-05,4,4,0,1,0,0,0,0,0,1,0.167,0.286,0.167,0.452
2013-07-07,3,3,0,1,0,0,0,0,0,0,0.222,0.3,0.222,0.522
2013-07-08,3,3,0,0,0,0,0,0,0,0,0.167,0.231,0.167,0.397
2013-07-09,1,1,0,0,0,0,0,0,0,1,0.154,0.214,0.154,0.368
2013-07-10,1,1,0,0,0,0,0,0,0,1,0.143,0.2,0.143,0.343
2013-07-11,0,0,0,0,0,0,0,0,0,0,0.143,0.2,0.143,0.343
2013-07-13,0,0,0,0,0,0,0,0,0,0,0.143,0.2,0.143,0.343
2013-07-13,5,5,1,2,1,0,0,0,0,0,0.211,0.25,0.263,0.513
2013-07-14,0,0,1,0,0,0,0,0,0,0,0.211,0.25,0.263,0.513
2013-07-19,1,0,0,0,0,0,0,0,1,0,0.211,0.286,0.263,0.549
2013-07-20,1,0,1,0,0,0,0,0,1,0,0.211,0.318,0.263,0.581
2013-07-27,0,0,0,0,0,0,0,0,0,0,0.211,0.318,0.263,0.581
2013-07-28,1,1,0,1,0,0,0,0,0,0,0.25,0.348,0.3,0.648
2013-08-09,4,4,0,0,0,0,0,0,0,3,0.208,0.296,0.25,0.546
2013-08-09,2,2,1,1,0,0,1,1,0,0,0.231,0.31,0.385,0.695
2013-08-10,4,2,0,0,0,0,0,1,0,0,0.214,0.303,0.357,0.66
2013-08-11,3,3,0,1,0,0,0,0,0,1,0.226,0.306,0.355,0.66
