date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-04,2,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2021-04-05,6,6,0,1,0,0,0,1,0,3,0.125,0.125,0.125,0.25
2021-04-06,3,3,0,0,0,0,0,0,0,2,0.091,0.091,0.091,0.182
2021-04-20,3,3,0,0,0,0,0,0,0,0,0.071,0.071,0.071,0.143
2021-04-20,3,3,0,0,0,0,0,0,0,2,0.059,0.059,0.059,0.118
2021-04-21,5,4,0,1,1,0,0,0,1,3,0.095,0.136,0.143,0.279
2021-04-26,3,3,1,1,0,0,1,1,0,0,0.125,0.16,0.292,0.452
2021-04-28,5,5,0,0,0,0,0,0,0,2,0.103,0.133,0.241,0.375
2021-07-23,4,4,0,0,0,0,0,0,0,1,0.091,0.118,0.212,0.33
2021-07-24,4,4,1,1,1,0,0,0,0,3,0.108,0.132,0.243,0.375
2021-07-25,4,4,1,1,0,0,1,1,0,0,0.122,0.143,0.317,0.46
2021-07-26,5,3,1,1,0,0,1,1,1,1,0.136,0.191,0.386,0.578
2021-07-27,4,4,1,3,1,0,0,0,0,0,0.188,0.235,0.438,0.673
2021-07-28,6,4,2,2,0,0,1,1,2,0,0.212,0.281,0.5,0.781
2021-07-30,4,4,0,0,0,0,0,0,0,1,0.196,0.262,0.464,0.727
2021-07-31,5,5,2,1,0,0,0,0,0,1,0.197,0.258,0.443,0.7
2021-08-01,4,4,0,1,0,0,0,0,0,0,0.2,0.257,0.431,0.688
2021-08-03,5,4,1,1,1,0,0,1,1,1,0.203,0.267,0.435,0.701
2021-08-04,5,5,0,0,0,0,0,0,0,2,0.189,0.25,0.405,0.655
2021-08-05,4,4,0,1,1,0,0,0,0,1,0.192,0.25,0.41,0.66
2021-08-06,5,5,0,0,0,0,0,0,0,1,0.181,0.236,0.386,0.622
2021-08-07,4,4,0,1,1,0,0,0,0,1,0.184,0.237,0.391,0.627
2021-08-08,5,4,1,0,0,0,0,0,1,1,0.176,0.235,0.374,0.608
2021-08-09,4,4,0,0,0,0,0,0,0,4,0.168,0.225,0.358,0.583
2021-08-10,4,3,0,0,0,0,0,0,0,1,0.163,0.226,0.347,0.573
2021-08-11,4,4,0,0,0,0,0,0,0,4,0.157,0.218,0.333,0.552
2021-08-13,5,5,2,4,0,0,1,2,0,0,0.187,0.243,0.383,0.627
2021-08-14,4,4,2,2,1,0,1,2,0,0,0.198,0.252,0.423,0.676
2021-08-16,4,3,0,1,0,0,0,0,0,1,0.202,0.26,0.421,0.681
2021-08-17,4,3,0,0,0,0,0,0,1,3,0.197,0.26,0.41,0.67
2021-08-18,4,2,2,1,0,0,0,0,1,0,0.202,0.275,0.412,0.687
2021-08-19,1,1,0,0,0,0,0,0,0,1,0.2,0.273,0.408,0.681
2021-08-24,5,3,1,0,0,0,0,0,1,2,0.195,0.277,0.398,0.676
2021-08-26,4,2,0,0,0,0,0,0,2,1,0.192,0.284,0.392,0.676
2021-08-28,3,1,1,0,0,0,0,0,1,1,0.19,0.292,0.389,0.681
2021-08-29,4,4,0,0,0,0,0,0,0,3,0.185,0.284,0.377,0.661
2021-08-31,2,2,0,1,0,0,0,0,0,1,0.189,0.287,0.379,0.666
2021-09-01,3,2,0,2,0,0,0,0,0,0,0.201,0.301,0.388,0.689
2021-09-03,1,1,0,0,0,0,0,0,0,1,0.2,0.299,0.385,0.684
2021-09-06,4,4,1,1,0,0,0,0,0,1,0.201,0.297,0.381,0.679
2021-09-07,3,3,1,1,0,0,1,1,0,1,0.204,0.298,0.401,0.7
2021-09-09,3,3,0,1,0,0,0,0,0,1,0.207,0.299,0.4,0.699
2021-09-10,5,5,0,0,0,0,0,0,0,3,0.2,0.29,0.387,0.677
2021-09-12,3,3,0,1,1,0,0,2,0,0,0.203,0.291,0.392,0.683
2021-09-17,4,4,1,2,1,0,1,2,0,1,0.21,0.295,0.42,0.716
2021-09-18,4,3,0,0,0,0,0,0,1,1,0.206,0.294,0.413,0.707
2021-09-21,1,1,0,0,0,0,0,0,0,0,0.205,0.293,0.41,0.703
2021-09-22,3,3,0,0,0,0,0,0,0,0,0.201,0.288,0.402,0.69
2021-09-23,4,3,2,1,1,0,0,0,1,2,0.204,0.293,0.407,0.7
2021-09-24,3,3,0,1,0,0,0,0,0,1,0.206,0.293,0.406,0.699
2021-09-25,4,2,0,0,0,0,0,0,1,1,0.203,0.297,0.401,0.699
2021-09-26,2,2,0,0,0,0,0,0,0,2,0.201,0.294,0.397,0.691
2021-09-28,2,2,0,1,0,0,0,0,0,1,0.205,0.296,0.398,0.694
2021-09-29,1,0,0,0,0,0,0,0,0,0,0.205,0.3,0.398,0.698
2021-09-30,3,3,1,1,0,0,1,1,0,0,0.207,0.3,0.413,0.714
2021-10-01,4,4,0,1,0,0,0,0,0,1,0.208,0.3,0.41,0.709
2021-10-02,3,3,0,0,0,0,0,0,0,1,0.204,0.295,0.403,0.698
2021-10-03,3,3,0,0,0,0,0,0,0,3,0.201,0.291,0.397,0.688
