date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-04,5,5,0,1,0,0,0,0,0,4,0.2,0.2,0.2,0.4
2021-04-06,3,3,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25
2021-04-07,1,1,0,1,0,0,0,1,0,0,0.222,0.222,0.222,0.444
2021-04-10,3,3,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.333
2021-04-11,2,1,1,0,0,0,0,0,1,0,0.154,0.214,0.154,0.368
2021-04-13,3,3,1,1,0,0,0,0,0,1,0.188,0.235,0.188,0.423
2021-04-15,2,2,0,0,0,0,0,0,0,0,0.167,0.211,0.167,0.377
2021-04-18,3,3,0,0,0,0,0,0,0,3,0.143,0.182,0.143,0.325
2021-04-20,4,3,0,0,0,0,0,0,0,0,0.125,0.192,0.125,0.317
2021-04-24,4,4,0,2,1,0,0,1,0,0,0.179,0.233,0.214,0.448
2021-04-27,4,3,0,0,0,0,0,0,0,1,0.161,0.235,0.194,0.429
2021-04-28,0,0,0,0,0,0,0,0,0,0,0.161,0.235,0.194,0.429
2021-04-30,4,4,1,1,0,0,0,0,0,2,0.171,0.237,0.2,0.437
2021-05-04,4,3,0,0,0,0,0,0,1,0,0.158,0.238,0.184,0.422
2021-05-08,4,4,0,1,0,0,0,0,0,1,0.167,0.239,0.19,0.43
2021-05-12,4,4,0,0,0,0,0,1,0,0,0.152,0.22,0.174,0.394
2021-05-15,3,2,1,1,1,0,0,0,1,0,0.167,0.245,0.208,0.454
2021-05-18,4,3,1,1,0,0,0,0,1,0,0.176,0.263,0.216,0.479
2021-05-20,1,0,0,0,0,0,0,0,1,0,0.176,0.276,0.216,0.492
2021-05-21,3,2,0,0,0,0,0,0,1,0,0.17,0.279,0.208,0.486
2021-05-24,4,4,0,0,0,0,0,0,0,0,0.158,0.262,0.193,0.454
2021-05-26,3,2,0,0,0,0,0,0,1,0,0.153,0.265,0.186,0.451
2021-05-27,4,4,0,0,0,0,0,0,0,4,0.143,0.25,0.175,0.425
2021-05-29,3,3,0,1,0,0,0,0,0,0,0.152,0.253,0.182,0.435
2021-08-18,1,1,0,1,1,0,0,1,0,0,0.164,0.263,0.209,0.472
2021-08-21,3,3,0,0,0,0,0,0,0,2,0.157,0.253,0.2,0.453
2021-08-26,0,0,0,0,0,0,0,0,0,0,0.157,0.253,0.2,0.453
2021-09-03,4,4,0,0,0,0,0,0,0,1,0.149,0.241,0.189,0.43
