date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-03-28,4,3,0,0,0,0,0,1,1,1,0.0,0.25,0.0,0.25
2019-03-30,4,4,0,0,0,0,0,0,0,2,0.0,0.125,0.0,0.125
March,12,11,0,0,0,0,0,1,1,4,0.0,0.083,0.0,0.083
2019-03-31,4,4,0,0,0,0,0,0,0,1,0.0,0.083,0.0,0.083
2019-04-01,3,3,0,0,0,0,0,0,0,2,0.0,0.067,0.0,0.067
2019-04-03,4,3,0,0,0,0,0,1,1,1,0.0,0.105,0.0,0.105
2019-04-05,1,1,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1
2019-04-06,3,3,0,0,0,0,0,0,0,2,0.0,0.087,0.0,0.087
2019-04-09,3,2,0,0,0,0,0,0,1,1,0.0,0.115,0.0,0.115
2019-04-10,3,2,0,0,0,0,0,0,1,2,0.0,0.138,0.0,0.138
2019-04-14,3,3,0,0,0,0,0,0,0,1,0.0,0.125,0.0,0.125
2019-04-15,4,1,0,0,0,0,0,0,2,0,0.0,0.194,0.0,0.194
2019-04-16,3,3,0,0,0,0,0,0,0,2,0.0,0.179,0.0,0.18
2019-04-17,3,3,0,1,0,0,0,0,0,0,0.029,0.19,0.029,0.219
2019-06-28,4,4,0,0,0,0,0,0,0,1,0.026,0.174,0.026,0.2
2019-06-30,1,1,0,0,0,0,0,0,0,0,0.025,0.17,0.025,0.195
2019-07-03,2,2,0,0,0,0,0,0,0,0,0.024,0.163,0.024,0.187
2019-07-04,3,3,0,0,0,0,0,0,0,2,0.022,0.154,0.022,0.176
2019-09-03,4,4,0,0,0,0,0,0,0,2,0.02,0.143,0.02,0.163
2019-09-04,4,4,0,0,0,0,0,0,0,2,0.019,0.133,0.019,0.152
2019-09-06,1,1,0,0,0,0,0,0,0,1,0.019,0.131,0.019,0.15
2019-09-12,3,3,0,1,0,0,0,0,0,0,0.035,0.141,0.035,0.176
2019-09-14,4,4,0,0,0,0,0,0,0,3,0.033,0.132,0.033,0.165
2019-09-18,3,3,0,0,0,0,0,0,0,2,0.031,0.127,0.031,0.158
2019-09-20,5,5,1,3,0,0,0,0,0,0,0.072,0.158,0.072,0.23
2019-09-22,2,2,0,0,0,0,0,0,0,1,0.07,0.154,0.07,0.224
2019-09-24,3,3,0,0,0,0,0,0,0,1,0.068,0.148,0.068,0.216
2019-09-25,4,3,1,2,0,0,0,0,1,1,0.091,0.176,0.091,0.267
2019-09-26,4,3,2,2,0,0,2,2,1,1,0.113,0.202,0.188,0.39
2019-09-28,1,1,0,0,0,0,0,0,0,1,0.111,0.2,0.185,0.385
2019-09-29,3,3,0,0,0,0,0,0,0,2,0.107,0.194,0.179,0.372
