date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-03-28,4,2,1,0,0,0,0,1,1,0,0.0,0.25,0.0,0.25
March,4,2,1,0,0,0,0,1,1,0,0.0,0.25,0.0,0.25
2019-09-01,1,0,0,0,0,0,0,0,1,0,0.0,0.4,0.0,0.4
2019-09-02,1,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5
2019-09-03,1,1,0,0,0,0,0,0,0,0,0.0,0.429,0.0,0.429
2019-09-05,1,1,0,0,0,0,0,0,0,1,0.0,0.375,0.0,0.375
2019-09-06,1,1,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333
2019-09-07,1,1,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.3
2019-09-08,1,0,1,0,0,0,0,0,1,0,0.0,0.364,0.0,0.364
2019-09-09,1,1,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333
2019-09-10,1,1,0,0,0,0,0,0,0,0,0.0,0.308,0.0,0.308
2019-09-11,1,1,0,0,0,0,0,0,0,1,0.0,0.286,0.0,0.286
2019-09-13,1,1,0,0,0,0,0,0,0,1,0.0,0.267,0.0,0.267
2019-09-14,1,1,0,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25
2019-09-15,1,1,0,0,0,0,0,0,0,0,0.0,0.235,0.0,0.235
2019-09-22,1,1,0,1,0,0,0,0,0,0,0.077,0.278,0.077,0.355
2019-09-24,1,1,0,0,0,0,0,0,0,1,0.071,0.263,0.071,0.335
2019-09-29,1,1,0,0,0,0,0,0,0,0,0.067,0.25,0.067,0.317
