date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2020-08-12,4,3,2,3,1,0,0,0,0,0,1.0,1.0,1.333,2.333
2020-08-14,1,0,1,0,0,0,0,0,0,0,1.0,1.0,1.333,2.333
2020-08-15,4,4,1,1,0,0,1,3,0,1,0.571,0.667,1.143,1.81
2020-08-16,4,4,0,0,0,0,0,0,0,1,0.364,0.462,0.727,1.189
2020-08-17,2,2,0,0,0,0,0,0,0,2,0.308,0.4,0.615,1.015
2020-08-18,4,3,0,0,0,0,0,0,1,0,0.25,0.368,0.5,0.868
2020-08-19,1,0,0,0,0,0,0,0,0,0,0.25,0.4,0.5,0.9
2020-08-20,5,3,0,0,0,0,0,0,1,1,0.211,0.4,0.421,0.821
2020-08-23,4,4,0,1,0,0,0,0,0,1,0.217,0.379,0.391,0.771
2020-08-25,1,1,0,1,0,0,0,0,0,0,0.25,0.4,0.417,0.817
2020-08-26,3,3,0,0,0,0,0,0,0,2,0.222,0.364,0.37,0.734
2020-08-28,4,4,1,1,0,0,1,1,0,1,0.226,0.351,0.452,0.803
2020-08-29,4,3,0,0,0,0,0,0,1,1,0.206,0.341,0.412,0.753
2020-09-01,1,1,0,0,0,0,0,0,0,0,0.2,0.333,0.4,0.733
2020-09-02,3,3,0,0,0,0,0,0,0,1,0.184,0.311,0.368,0.68
2020-09-05,1,1,0,0,0,0,0,0,0,0,0.179,0.304,0.359,0.663
2020-09-06,4,3,0,0,0,0,0,0,1,3,0.167,0.3,0.333,0.633
2020-09-10,3,2,1,0,0,0,0,0,1,2,0.159,0.302,0.318,0.62
2020-09-12,3,2,0,1,0,0,0,0,1,0,0.174,0.321,0.326,0.648
2020-09-13,4,4,1,2,0,0,1,1,0,2,0.2,0.333,0.4,0.733
2020-09-17,1,1,0,0,0,0,0,0,0,0,0.196,0.328,0.392,0.72
2020-09-20,4,2,1,1,0,0,1,1,2,0,0.208,0.354,0.453,0.807
2020-09-21,4,4,1,1,0,0,1,2,0,0,0.211,0.348,0.491,0.839
2020-09-25,4,4,0,0,0,0,0,0,0,3,0.197,0.329,0.459,0.788
2020-09-27,2,0,0,0,0,0,0,0,1,0,0.197,0.347,0.459,0.806
