date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-07-30,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0
2021-07-31,4,4,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4
2021-08-01,4,4,0,0,0,0,0,0,0,3,0.111,0.111,0.111,0.222
2021-08-02,1,1,0,0,0,0,0,1,0,0,0.1,0.1,0.1,0.2
2021-08-04,4,4,0,0,0,0,0,0,0,1,0.071,0.071,0.071,0.143
2021-08-05,5,5,0,1,0,0,0,0,0,2,0.105,0.105,0.105,0.21
2021-08-07,1,0,0,0,0,0,0,0,1,0,0.105,0.15,0.105,0.255
2021-08-08,4,3,0,0,0,0,0,0,1,2,0.091,0.167,0.091,0.258
2021-08-11,3,2,1,0,0,0,0,0,1,1,0.083,0.185,0.083,0.268
2021-08-12,5,3,1,1,0,0,0,0,1,1,0.111,0.25,0.111,0.361
2021-08-14,4,4,1,1,0,0,1,3,0,1,0.129,0.25,0.226,0.476
2021-08-15,4,4,0,0,0,0,0,0,0,1,0.114,0.225,0.2,0.425
2021-08-17,1,1,0,0,0,0,0,0,0,1,0.111,0.22,0.194,0.414
2021-08-18,3,2,0,1,0,0,0,0,1,0,0.132,0.25,0.211,0.46
2021-08-19,4,4,1,0,0,0,0,0,0,2,0.119,0.229,0.19,0.42
2021-08-20,3,2,1,1,0,0,0,0,0,0,0.136,0.255,0.205,0.459
2021-08-21,3,2,1,0,0,0,0,0,1,1,0.13,0.259,0.196,0.455
2021-08-22,5,4,2,1,1,0,0,0,1,2,0.14,0.271,0.22,0.491
2021-08-23,1,0,0,0,0,0,0,0,1,0,0.14,0.283,0.22,0.503
2021-08-24,1,1,0,0,0,0,0,0,0,1,0.137,0.279,0.216,0.494
2021-08-25,4,4,0,0,0,0,0,0,0,2,0.127,0.262,0.2,0.462
2021-08-26,4,3,1,2,1,0,0,1,0,0,0.155,0.29,0.241,0.531
2021-08-27,1,1,0,0,0,0,0,0,0,0,0.153,0.286,0.237,0.523
2021-08-29,3,2,0,0,0,0,0,0,1,0,0.148,0.288,0.23,0.517
2021-08-30,1,1,0,0,0,0,0,0,0,1,0.145,0.284,0.226,0.51
2021-08-31,2,2,0,0,0,0,0,0,0,2,0.141,0.276,0.219,0.495
2021-09-03,3,3,0,0,0,0,0,0,0,1,0.134,0.266,0.209,0.475
2021-09-04,4,2,0,0,0,0,0,0,1,0,0.13,0.277,0.203,0.48
