date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-01,2,2,1,1,1,0,0,0,0,0,0.5,0.5,1.0,1.5
2021-04-03,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0
2021-04-04,2,2,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6
2021-04-05,1,1,0,1,0,1,0,1,0,0,0.333,0.333,0.833,1.167
2021-04-07,4,4,0,0,0,0,0,0,0,1,0.2,0.2,0.5,0.7
2021-04-08,1,1,0,0,0,0,0,0,0,0,0.182,0.182,0.455,0.636
2021-04-10,1,1,0,0,0,0,0,0,0,0,0.167,0.167,0.417,0.583
2021-04-11,2,2,0,0,0,0,0,0,0,0,0.143,0.143,0.357,0.5
2021-04-12,1,1,0,0,0,0,0,0,0,0,0.133,0.133,0.333,0.467
2021-04-13,3,3,0,0,0,0,0,0,0,2,0.111,0.111,0.278,0.389
2021-04-14,4,4,0,1,0,0,0,0,0,0,0.136,0.136,0.273,0.409
2021-04-16,4,3,0,0,0,0,0,1,0,2,0.12,0.115,0.24,0.355
2021-04-17,0,0,0,0,0,0,0,0,0,0,0.12,0.115,0.24,0.355
2021-04-18,1,1,0,0,0,0,0,0,0,0,0.115,0.111,0.231,0.342
2021-04-20,4,3,2,2,0,0,0,1,1,0,0.172,0.194,0.276,0.469
2021-04-21,1,1,1,1,0,0,0,1,0,0,0.2,0.219,0.3,0.519
2021-04-22,1,0,0,0,0,0,0,0,1,0,0.2,0.242,0.3,0.542
2021-04-23,1,1,0,0,0,0,0,0,0,0,0.194,0.235,0.29,0.526
2021-04-24,4,4,1,3,0,0,0,0,0,0,0.257,0.289,0.343,0.632
2021-04-25,1,1,0,0,0,0,0,0,0,1,0.25,0.282,0.333,0.615
2021-04-26,3,3,0,0,0,0,0,0,0,2,0.231,0.262,0.308,0.57
2021-04-27,1,1,0,0,0,0,0,0,0,1,0.225,0.256,0.3,0.556
2021-04-28,2,2,0,0,0,0,0,0,0,0,0.214,0.244,0.286,0.53
2021-04-29,1,1,1,1,0,0,0,0,0,0,0.233,0.261,0.302,0.563
2021-04-30,2,1,2,1,0,0,0,0,1,0,0.25,0.292,0.318,0.61
2021-05-01,1,1,0,1,0,0,0,0,0,0,0.267,0.306,0.333,0.64
2021-05-02,1,1,0,0,0,0,0,0,0,0,0.261,0.3,0.326,0.626
2021-05-04,3,3,0,2,0,0,0,0,0,0,0.286,0.321,0.347,0.668
2021-05-05,1,1,0,0,0,0,0,0,0,0,0.28,0.315,0.34,0.655
2021-05-08,2,1,0,0,0,0,0,1,0,0,0.275,0.304,0.333,0.637
2021-05-09,1,1,0,0,0,0,0,0,0,0,0.269,0.298,0.327,0.625
2021-05-11,4,4,1,1,0,0,1,1,0,2,0.268,0.295,0.375,0.67
2021-05-12,5,5,0,0,0,0,0,0,0,1,0.246,0.273,0.344,0.617
2021-05-15,5,4,0,1,0,0,0,0,1,0,0.246,0.282,0.338,0.62
2021-05-17,1,1,0,1,0,0,0,1,0,0,0.258,0.292,0.348,0.64
2021-05-19,4,3,0,0,0,0,0,0,1,1,0.246,0.289,0.333,0.623
2021-05-20,1,1,0,1,0,0,0,0,0,0,0.257,0.299,0.343,0.642
2021-05-21,2,2,1,1,0,0,0,1,0,0,0.264,0.304,0.347,0.651
2021-05-22,1,1,0,0,0,0,0,0,0,0,0.26,0.3,0.342,0.642
2021-05-23,1,1,0,0,0,0,0,0,0,0,0.257,0.296,0.338,0.634
2021-05-25,2,1,0,0,0,0,0,0,1,0,0.253,0.301,0.333,0.634
2021-05-26,4,4,2,2,1,0,0,0,0,1,0.266,0.31,0.354,0.665
2021-05-27,4,4,1,1,0,0,0,0,0,0,0.265,0.308,0.349,0.657
2021-05-28,3,3,0,0,0,0,0,0,0,0,0.256,0.298,0.337,0.635
2021-05-29,4,3,1,1,0,0,0,2,1,1,0.258,0.306,0.337,0.643
2021-05-30,3,3,0,0,0,0,0,0,0,2,0.25,0.297,0.326,0.623
2021-05-31,4,3,0,0,0,0,0,0,1,2,0.242,0.295,0.316,0.611
2021-06-01,1,1,0,1,1,0,0,0,0,0,0.25,0.302,0.333,0.635
2021-06-02,3,3,0,1,0,0,0,0,0,2,0.253,0.303,0.333,0.636
2021-06-03,3,3,1,1,0,0,0,0,0,0,0.255,0.304,0.333,0.637
2021-06-04,1,1,0,0,0,0,0,0,0,0,0.252,0.301,0.33,0.631
2021-06-05,3,3,0,0,0,0,0,0,0,0,0.245,0.293,0.321,0.614
2021-06-06,4,4,0,1,0,0,0,0,0,0,0.245,0.292,0.318,0.61
2021-06-07,3,3,0,1,0,0,0,0,0,0,0.248,0.293,0.319,0.611
2021-06-08,4,4,0,0,0,0,0,0,0,1,0.239,0.283,0.308,0.591
2021-06-09,1,1,0,0,0,0,0,0,0,0,0.237,0.281,0.305,0.586
2021-06-13,3,3,1,1,1,0,0,0,0,1,0.24,0.282,0.314,0.596
2021-06-14,3,3,0,1,0,0,0,0,0,0,0.242,0.284,0.315,0.598
2021-06-15,1,1,0,1,0,0,0,0,0,0,0.248,0.289,0.32,0.609
2021-06-16,4,4,0,0,0,0,0,0,0,2,0.24,0.281,0.31,0.591
2021-06-18,1,0,0,0,0,0,0,0,1,0,0.24,0.286,0.31,0.596
2021-06-19,3,3,0,1,0,0,0,0,0,0,0.242,0.287,0.311,0.597
2021-06-20,1,1,0,0,0,0,0,0,0,0,0.241,0.285,0.308,0.593
2021-06-21,3,3,0,1,0,0,0,0,0,1,0.243,0.286,0.309,0.594
2021-06-24,4,4,0,1,0,0,0,0,0,1,0.243,0.285,0.307,0.592
2021-06-25,1,1,0,0,0,0,0,0,0,0,0.241,0.283,0.305,0.588
2021-06-27,3,3,0,1,0,0,0,0,0,1,0.243,0.284,0.306,0.589
2021-06-28,4,4,0,1,1,0,0,0,0,1,0.243,0.283,0.311,0.594
