date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,4,3,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25
2018-03-30,4,4,1,1,1,0,0,0,0,1,0.143,0.25,0.286,0.536
March,13,11,2,2,2,0,0,0,2,5,0.182,0.308,0.364,0.671
2018-03-31,5,4,1,1,1,0,0,0,1,2,0.182,0.308,0.364,0.671
2018-04-01,5,4,1,3,2,0,0,3,1,0,0.333,0.444,0.6,1.044
2018-04-02,4,4,0,1,0,0,0,0,0,0,0.316,0.409,0.526,0.935
2018-04-03,4,4,0,0,0,0,0,0,0,3,0.261,0.346,0.435,0.781
2018-04-06,4,3,0,1,0,0,0,0,1,1,0.269,0.367,0.423,0.79
2018-04-07,4,4,0,0,0,0,0,0,0,2,0.233,0.324,0.367,0.69
2018-04-08,3,3,0,0,0,0,0,0,0,1,0.212,0.297,0.333,0.631
2018-04-10,1,0,0,0,0,0,0,0,0,0,0.212,0.316,0.333,0.649
2018-04-11,5,5,1,2,0,0,0,2,0,1,0.237,0.326,0.342,0.668
2018-04-13,4,3,0,0,0,0,0,0,1,2,0.22,0.319,0.317,0.636
2018-04-14,4,4,0,0,0,0,0,0,0,2,0.2,0.294,0.289,0.583
2018-04-15,1,1,0,0,0,0,0,0,0,0,0.196,0.288,0.283,0.571
2018-04-16,3,3,0,0,0,0,0,0,0,0,0.184,0.273,0.265,0.538
2018-04-17,4,3,1,2,0,0,0,0,1,0,0.212,0.305,0.288,0.594
2018-04-18,4,4,1,1,1,0,0,0,0,1,0.214,0.302,0.304,0.605
2018-04-19,5,4,0,1,0,0,0,1,1,0,0.217,0.309,0.3,0.609
2018-04-20,1,1,0,0,0,0,0,0,0,1,0.213,0.304,0.295,0.599
2018-04-21,4,3,0,1,0,0,0,0,1,1,0.219,0.315,0.297,0.612
2018-04-22,5,5,1,1,0,0,1,2,0,2,0.217,0.308,0.333,0.641
2018-04-23,4,4,0,0,0,0,0,0,0,1,0.205,0.293,0.315,0.608
2018-04-27,3,3,0,1,0,0,0,0,0,1,0.211,0.294,0.316,0.61
2018-04-28,1,1,0,0,0,0,0,0,0,0,0.208,0.291,0.312,0.602
2018-04-30,3,3,0,0,0,0,0,0,0,1,0.2,0.281,0.3,0.581
2018-05-01,3,3,0,0,0,0,0,0,0,2,0.193,0.272,0.289,0.561
2018-05-03,1,1,0,0,0,0,0,0,0,1,0.19,0.269,0.286,0.554
2018-05-05,1,1,0,0,0,0,0,0,0,0,0.188,0.266,0.282,0.548
2018-05-06,1,1,0,0,0,0,0,0,0,1,0.186,0.263,0.279,0.542
2018-05-07,5,5,0,1,0,0,0,0,0,1,0.187,0.26,0.275,0.535
2018-05-08,3,3,0,1,0,0,0,0,0,0,0.191,0.262,0.277,0.539
2018-05-11,3,3,0,1,0,0,0,0,0,1,0.196,0.264,0.278,0.542
2018-05-12,3,3,1,2,0,0,1,2,0,0,0.21,0.275,0.32,0.595
2018-05-13,4,3,1,1,0,0,1,2,1,0,0.214,0.283,0.35,0.633
2018-05-14,3,3,0,1,1,0,0,0,0,1,0.217,0.284,0.358,0.643
2018-05-15,4,4,0,0,0,0,0,0,0,0,0.209,0.275,0.345,0.62
2018-05-16,3,3,1,1,0,0,1,2,0,2,0.212,0.276,0.372,0.648
2018-05-18,1,0,0,0,0,0,0,1,0,0,0.212,0.274,0.372,0.646
2018-05-19,3,2,0,0,0,0,0,0,0,1,0.209,0.276,0.365,0.641
2018-05-22,4,4,2,2,1,0,0,0,0,0,0.218,0.282,0.378,0.661
2018-05-23,3,3,0,0,0,0,0,0,0,0,0.213,0.276,0.369,0.645
2018-05-25,5,4,1,3,1,0,0,2,0,0,0.23,0.295,0.389,0.684
2018-05-26,4,3,1,0,0,0,0,0,1,1,0.225,0.294,0.38,0.674
2018-05-27,6,6,2,2,0,0,2,4,0,2,0.23,0.295,0.422,0.718
2018-05-28,4,2,1,1,0,0,0,1,2,0,0.234,0.307,0.423,0.73
2018-05-29,5,3,2,1,0,0,1,2,1,1,0.236,0.31,0.443,0.753
2018-05-30,4,4,0,1,0,0,0,0,0,1,0.236,0.309,0.438,0.746
2018-06-01,4,4,1,1,0,0,1,2,0,0,0.236,0.307,0.453,0.76
2018-06-02,4,4,0,0,0,0,0,0,0,0,0.23,0.3,0.441,0.741
2018-06-03,4,4,0,0,0,0,0,0,0,1,0.224,0.293,0.429,0.723
2018-06-05,4,4,0,0,0,0,0,0,0,1,0.219,0.287,0.419,0.705
2018-06-06,4,3,1,2,0,0,1,2,1,0,0.227,0.297,0.442,0.738
2018-06-07,4,4,1,2,0,0,1,3,0,0,0.234,0.301,0.461,0.762
2018-06-08,4,4,1,2,0,0,0,0,0,1,0.24,0.305,0.462,0.767
2018-06-09,4,4,0,0,0,0,0,0,0,1,0.234,0.299,0.451,0.75
