date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2020-07-24,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2020-08-03,2,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2020-08-04,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-06,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-14,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-15,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-16,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-17,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-18,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2020-08-20,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2020-08-23,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-08-26,3,3,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
2020-09-02,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2020-09-03,3,3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2020-09-04,4,4,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
2020-09-05,4,4,0,1,0,0,0,0,0,2,0.045,0.045,0.045,0.091
2020-09-05,3,3,0,0,0,0,0,1,0,2,0.04,0.04,0.04,0.08
2020-09-06,3,2,0,1,0,0,0,1,0,0,0.074,0.107,0.074,0.181
