date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-01,4,4,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
2021-04-03,4,4,1,2,0,0,0,1,0,1,0.25,0.25,0.25,0.5
2021-04-04,4,4,0,0,0,0,0,1,0,1,0.167,0.167,0.167,0.333
2021-04-05,4,3,1,1,0,0,1,1,0,0,0.2,0.25,0.4,0.65
2021-04-06,3,3,0,0,0,0,0,0,0,3,0.167,0.211,0.333,0.544
2021-04-07,4,4,0,0,0,0,0,0,0,2,0.136,0.174,0.273,0.447
2021-04-08,4,3,1,2,0,0,1,2,1,1,0.2,0.259,0.44,0.699
2021-04-10,4,4,0,2,0,0,0,0,0,1,0.241,0.29,0.448,0.739
2021-04-11,4,4,1,1,0,0,1,1,0,3,0.242,0.286,0.515,0.801
2021-04-11,2,1,1,1,0,0,0,1,0,0,0.265,0.324,0.529,0.854
2021-04-12,4,4,0,1,1,0,0,2,0,2,0.263,0.317,0.526,0.843
2021-04-13,4,4,0,0,0,0,0,0,0,1,0.238,0.289,0.476,0.765
2021-04-14,4,4,0,0,0,0,0,0,0,3,0.217,0.265,0.435,0.7
2021-04-16,4,2,1,0,0,0,0,0,0,1,0.208,0.283,0.417,0.7
2021-04-17,5,5,1,1,0,0,1,3,0,3,0.208,0.276,0.453,0.729
2021-04-18,4,4,0,2,1,0,0,1,0,2,0.228,0.29,0.474,0.764
2021-04-20,4,4,0,0,0,0,0,0,0,4,0.213,0.273,0.443,0.715
2021-04-21,5,4,3,1,0,0,1,4,0,0,0.215,0.271,0.477,0.748
2021-04-22,4,4,1,1,0,0,0,0,0,3,0.217,0.27,0.464,0.734
2021-04-23,5,5,2,3,0,0,1,1,0,1,0.243,0.291,0.514,0.805
2021-04-25,4,4,0,1,0,0,0,0,0,0,0.244,0.289,0.5,0.789
2021-04-29,5,4,1,1,0,1,0,1,0,0,0.244,0.284,0.512,0.796
2021-04-30,5,4,0,1,0,0,0,2,0,1,0.244,0.28,0.5,0.78
2021-05-01,4,4,1,1,0,0,0,0,0,2,0.244,0.278,0.489,0.767
2021-05-02,5,5,1,2,0,0,1,2,0,1,0.253,0.284,0.516,0.8
2021-05-04,3,2,1,0,0,0,0,0,1,1,0.247,0.286,0.505,0.791
2021-05-04,2,2,1,1,0,0,1,2,0,0,0.253,0.29,0.535,0.825
2021-05-05,5,4,0,1,1,0,0,1,1,1,0.252,0.295,0.534,0.829
2021-05-07,4,4,1,2,0,0,0,0,0,1,0.262,0.302,0.533,0.834
2021-05-08,3,3,0,1,0,0,0,0,0,0,0.264,0.303,0.527,0.83
2021-05-09,1,1,0,0,0,0,0,0,0,0,0.261,0.3,0.523,0.822
2021-05-12,5,5,0,1,0,0,0,0,0,3,0.259,0.296,0.509,0.805
2021-05-14,4,3,0,1,0,0,0,1,0,2,0.261,0.302,0.504,0.806
2021-05-15,5,4,2,1,1,0,0,0,1,2,0.26,0.306,0.504,0.81
2021-05-16,5,5,0,2,0,0,0,0,0,3,0.266,0.309,0.5,0.809
2021-05-17,4,4,1,1,0,0,1,1,0,2,0.265,0.308,0.515,0.823
2021-05-18,4,4,0,1,0,0,0,0,0,1,0.265,0.306,0.507,0.814
2021-05-19,2,2,1,1,0,0,1,1,0,0,0.268,0.309,0.529,0.838
2021-05-20,4,4,1,0,0,0,0,0,0,0,0.261,0.301,0.514,0.815
2021-05-21,5,4,1,1,0,0,0,1,1,1,0.26,0.304,0.507,0.811
2021-05-22,4,4,0,1,0,0,0,1,0,1,0.26,0.302,0.5,0.802
2021-05-23,4,4,1,1,0,0,1,2,0,2,0.26,0.301,0.513,0.814
2021-05-25,4,3,1,2,1,0,0,0,1,1,0.268,0.312,0.522,0.834
2021-05-26,5,5,0,1,0,0,0,0,0,2,0.265,0.309,0.512,0.821
2021-05-27,4,4,1,0,0,0,0,0,0,1,0.259,0.302,0.5,0.802
2021-05-28,3,3,0,1,0,0,0,0,0,1,0.26,0.302,0.497,0.799
2021-05-29,5,5,1,2,0,0,0,1,0,2,0.264,0.305,0.494,0.799
2021-05-30,4,4,0,0,0,0,0,0,0,3,0.258,0.298,0.483,0.782
2021-05-31,4,4,2,2,0,0,2,3,0,1,0.264,0.303,0.516,0.819
2021-06-01,4,3,1,0,0,0,0,0,1,1,0.259,0.302,0.508,0.81
2021-06-02,4,4,1,1,0,0,1,2,0,3,0.259,0.3,0.519,0.819
2021-06-03,4,4,0,0,0,0,0,0,0,2,0.254,0.295,0.508,0.802
2021-06-04,4,4,0,0,0,0,0,1,0,1,0.249,0.289,0.497,0.787
2021-06-05,4,4,0,1,0,0,0,0,0,3,0.249,0.288,0.493,0.781
2021-06-06,4,4,0,0,0,0,0,0,0,0,0.244,0.283,0.483,0.766
2021-06-11,4,4,0,0,0,0,0,0,0,3,0.239,0.278,0.474,0.752
2021-06-12,4,4,0,1,0,0,0,1,0,2,0.239,0.278,0.469,0.747
2021-06-14,1,1,0,0,0,0,0,0,0,0,0.238,0.276,0.467,0.744
2021-06-15,4,4,1,1,0,0,1,2,0,3,0.239,0.276,0.477,0.753
2021-06-16,4,3,0,0,0,0,0,0,1,2,0.235,0.275,0.471,0.746
2021-06-17,4,4,1,1,0,0,1,2,0,1,0.236,0.275,0.48,0.755
2021-06-18,3,3,0,1,0,0,0,0,0,1,0.237,0.276,0.478,0.754
2021-06-19,3,3,0,0,0,0,0,0,0,2,0.234,0.272,0.472,0.744
2021-06-20,4,3,0,0,0,0,0,0,0,1,0.231,0.272,0.466,0.738
2021-06-21,2,2,0,0,0,0,0,0,0,0,0.229,0.27,0.462,0.732
2021-06-22,4,4,0,1,1,0,0,1,0,2,0.229,0.27,0.463,0.732
2021-06-24,4,4,1,1,0,0,1,1,0,1,0.23,0.269,0.471,0.74
2021-06-25,4,4,0,1,0,0,0,0,0,2,0.23,0.269,0.468,0.737
2021-06-26,4,4,0,1,0,0,0,0,0,1,0.23,0.269,0.464,0.733
2021-06-27,4,3,1,1,0,0,1,1,1,2,0.231,0.272,0.475,0.747
2021-06-28,5,4,0,0,0,0,0,0,1,2,0.228,0.271,0.467,0.738
2021-06-29,5,3,1,1,0,1,0,0,1,2,0.229,0.277,0.473,0.75
2021-06-30,4,3,1,1,0,0,0,2,1,0,0.23,0.28,0.472,0.751
2021-07-02,4,4,0,0,0,0,0,0,0,3,0.227,0.276,0.465,0.74
