date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-08-03,5,4,0,3,2,0,0,3,1,0,0.75,0.8,1.25,2.05
2021-08-04,4,4,0,0,0,0,0,0,0,1,0.375,0.444,0.625,1.069
2021-08-05,4,4,1,1,0,0,0,0,0,1,0.333,0.385,0.5,0.885
2021-08-06,4,4,1,0,0,0,0,0,0,3,0.25,0.294,0.375,0.669
2021-08-07,4,3,0,1,0,0,0,0,1,0,0.263,0.333,0.368,0.702
2021-08-08,4,4,0,2,2,0,0,1,0,0,0.304,0.36,0.478,0.838
2021-08-10,4,4,0,0,0,0,0,0,0,3,0.259,0.31,0.407,0.718
2021-08-11,4,4,1,2,0,0,0,0,0,1,0.29,0.333,0.419,0.753
2021-08-12,4,3,1,1,0,0,0,1,1,1,0.294,0.351,0.412,0.763
2021-08-13,3,3,0,0,0,0,0,0,0,1,0.27,0.325,0.378,0.703
2021-08-14,4,4,0,1,0,0,0,0,0,1,0.268,0.318,0.366,0.684
2021-08-15,4,3,0,0,0,0,0,1,0,1,0.25,0.313,0.341,0.653
2021-08-16,3,3,0,0,0,0,0,0,0,2,0.234,0.294,0.319,0.613
2021-08-17,5,5,1,1,0,0,1,4,0,1,0.231,0.286,0.365,0.651
2021-08-18,4,4,0,1,0,0,0,0,0,2,0.232,0.283,0.357,0.64
2021-08-19,6,5,2,0,0,0,0,1,1,1,0.213,0.273,0.328,0.601
2021-08-20,3,3,0,0,0,0,0,0,0,0,0.203,0.261,0.313,0.573
2021-08-21,3,3,0,0,0,0,0,1,0,1,0.194,0.25,0.299,0.548
2021-08-22,3,3,0,1,0,0,0,0,0,1,0.2,0.253,0.3,0.553
2021-08-24,5,5,2,2,0,1,0,4,0,2,0.213,0.263,0.333,0.596
2021-08-25,4,4,0,2,0,0,0,0,0,0,0.228,0.274,0.342,0.616
2021-08-26,4,4,0,1,0,0,0,0,0,1,0.229,0.273,0.337,0.61
2021-08-27,3,2,0,0,0,0,0,0,1,0,0.224,0.275,0.329,0.604
2021-08-28,5,4,1,1,1,0,0,1,1,0,0.225,0.281,0.337,0.618
2021-08-30,4,4,1,1,0,0,0,1,0,1,0.226,0.28,0.333,0.613
2021-08-31,4,4,0,0,0,0,0,0,0,1,0.216,0.269,0.32,0.589
2021-09-01,3,3,0,0,0,0,0,0,0,0,0.21,0.262,0.31,0.572
2021-09-03,4,4,1,2,0,0,0,0,0,0,0.221,0.27,0.317,0.588
2021-09-04,3,3,0,1,0,0,0,0,0,1,0.224,0.272,0.318,0.59
2021-09-05,4,3,2,3,0,0,2,3,1,0,0.245,0.297,0.391,0.688
2021-09-06,4,3,0,1,0,0,0,0,1,1,0.248,0.303,0.389,0.693
2021-09-07,4,4,0,1,0,0,0,3,0,0,0.248,0.302,0.385,0.686
2021-09-08,4,3,1,1,0,0,1,2,0,2,0.25,0.302,0.408,0.711
2021-09-10,5,5,1,1,0,1,0,0,0,1,0.248,0.299,0.416,0.714
2021-09-11,5,5,1,1,0,0,0,0,0,1,0.246,0.295,0.408,0.703
