date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-03,3,3,1,1,0,0,0,0,0,1,0.333,0.333,0.333,0.667
2021-04-07,4,3,1,1,0,0,0,0,0,0,0.333,0.429,0.333,0.762
2021-04-10,4,4,0,1,0,0,0,0,0,0,0.3,0.364,0.3,0.664
2021-04-14,4,3,0,1,0,0,0,0,0,0,0.308,0.357,0.308,0.665
2021-04-17,4,4,1,1,1,0,0,0,0,1,0.294,0.333,0.353,0.686
2021-04-18,2,2,0,0,0,0,0,0,0,0,0.263,0.3,0.316,0.616
2021-04-20,3,3,0,0,0,0,0,0,0,0,0.227,0.261,0.273,0.534
2021-04-24,3,3,0,0,0,0,0,0,0,2,0.2,0.231,0.24,0.471
2021-05-02,3,3,0,1,1,0,0,0,0,1,0.214,0.241,0.286,0.527
2021-05-05,2,2,0,1,0,0,0,0,0,0,0.233,0.258,0.3,0.558
2021-05-06,5,3,1,2,1,0,0,1,2,0,0.273,0.333,0.364,0.697
2021-05-08,1,0,0,0,0,0,0,0,1,0,0.273,0.351,0.364,0.715
2021-05-09,4,4,0,0,0,0,0,0,0,0,0.243,0.317,0.324,0.641
2021-05-15,0,0,0,0,0,0,0,0,0,0,0.243,0.317,0.324,0.641
2021-05-16,3,3,1,2,0,0,1,1,0,1,0.275,0.341,0.425,0.766
2021-05-22,4,4,0,1,0,0,0,0,0,1,0.273,0.333,0.409,0.742
2021-05-23,1,1,0,0,0,0,0,0,0,0,0.267,0.327,0.4,0.726
2021-05-29,4,4,0,1,0,0,0,1,0,1,0.265,0.321,0.388,0.708
2021-05-31,1,1,0,0,0,0,0,0,0,0,0.26,0.315,0.38,0.695
2021-06-03,4,3,0,0,0,0,0,0,1,1,0.245,0.31,0.358,0.669
2021-06-07,4,3,1,1,0,0,0,0,1,2,0.25,0.323,0.357,0.68
2021-06-08,1,1,0,1,0,0,0,0,0,0,0.263,0.333,0.368,0.702
2021-06-13,4,4,1,1,0,0,0,0,0,1,0.262,0.328,0.361,0.689
2021-06-15,0,0,0,0,0,0,0,0,0,0,0.262,0.328,0.361,0.689
2021-06-16,1,1,0,0,0,0,0,0,0,0,0.258,0.324,0.355,0.678
2021-06-20,1,1,0,0,0,0,0,0,0,0,0.254,0.319,0.349,0.668
2021-07-10,1,1,0,0,0,0,0,0,0,0,0.25,0.314,0.344,0.658
2021-07-18,1,1,0,0,0,0,0,0,0,0,0.246,0.31,0.338,0.648
2021-07-19,5,4,1,2,0,0,0,0,1,0,0.261,0.329,0.348,0.677
2021-07-22,1,1,0,0,0,0,0,0,0,0,0.257,0.325,0.343,0.668
2021-07-24,4,4,0,2,1,0,0,1,0,2,0.27,0.333,0.365,0.698
2021-07-25,1,1,0,0,0,0,0,1,0,0,0.267,0.329,0.36,0.689
2021-07-28,3,2,0,1,1,0,0,0,1,1,0.273,0.341,0.377,0.718
2021-07-28,3,3,1,3,0,0,0,0,0,0,0.3,0.364,0.4,0.764
2021-07-29,1,1,0,0,0,0,0,0,0,0,0.296,0.36,0.395,0.755
2021-08-01,4,4,0,0,0,0,0,0,0,0,0.282,0.344,0.376,0.721
2021-08-05,4,4,0,2,0,0,0,0,0,0,0.292,0.351,0.382,0.732
2021-08-07,3,3,0,1,0,0,0,0,0,1,0.293,0.35,0.38,0.73
2021-08-08,5,4,1,3,1,0,0,3,1,0,0.313,0.371,0.406,0.778
2021-08-10,4,3,1,1,0,0,0,0,1,0,0.313,0.376,0.404,0.78
2021-08-11,5,4,1,0,0,0,0,1,1,1,0.301,0.368,0.388,0.757
2021-08-12,3,3,0,1,0,0,0,0,0,0,0.302,0.368,0.387,0.754
2021-08-13,4,3,1,2,0,0,0,0,1,0,0.312,0.38,0.394,0.775
2021-08-14,0,0,0,0,0,0,0,0,0,0,0.312,0.38,0.394,0.775
2021-08-17,3,3,0,0,0,0,0,0,0,1,0.304,0.371,0.384,0.755
2021-08-18,4,4,0,1,0,0,0,0,0,0,0.302,0.367,0.379,0.746
2021-08-20,0,0,0,0,0,0,0,0,0,0,0.302,0.367,0.379,0.746
2021-08-23,4,4,0,0,0,0,0,0,0,0,0.292,0.356,0.367,0.723
2021-08-25,1,0,0,0,0,0,0,0,0,0,0.292,0.361,0.367,0.728
2021-08-28,0,0,0,0,0,0,0,0,0,0,0.292,0.361,0.367,0.728
2021-08-29,4,4,0,1,1,0,0,0,0,1,0.29,0.358,0.371,0.729
2021-09-03,4,4,1,2,0,0,1,1,0,0,0.297,0.362,0.398,0.76
2021-09-05,5,5,0,2,0,0,0,1,0,0,0.301,0.363,0.398,0.762
2021-09-06,1,1,0,0,0,0,0,0,0,0,0.299,0.361,0.396,0.756
2021-09-08,3,3,0,0,0,0,0,0,0,2,0.292,0.353,0.387,0.74
2021-09-11,1,1,0,0,0,0,0,0,0,0,0.29,0.351,0.384,0.735
2021-09-12,2,2,0,0,0,0,0,0,0,1,0.286,0.346,0.379,0.725
2021-09-14,3,3,0,1,0,0,0,0,0,0,0.287,0.346,0.378,0.724
2021-09-15,3,3,0,0,0,0,0,1,0,1,0.281,0.34,0.37,0.71
2021-09-19,4,4,0,1,0,0,0,2,0,1,0.28,0.337,0.367,0.704
2021-09-25,4,2,1,2,0,0,1,1,1,0,0.289,0.353,0.395,0.748
2021-09-28,0,0,0,0,0,0,0,0,0,0,0.289,0.353,0.395,0.748
2021-09-29,3,3,0,1,0,0,0,0,0,2,0.29,0.353,0.394,0.746
2021-09-30,2,2,0,0,0,0,0,0,0,0,0.287,0.349,0.389,0.737
