date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-05-17,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2021-05-18,4,4,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0
2021-05-19,3,3,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
2021-05-21,1,1,1,1,1,0,0,1,0,0,0.111,0.111,0.222,0.333
2021-05-22,4,4,0,0,0,0,0,0,0,1,0.077,0.077,0.154,0.231
2021-05-23,2,2,0,0,0,0,0,0,0,1,0.067,0.067,0.133,0.2
2021-05-24,1,1,0,0,0,0,0,0,0,1,0.063,0.063,0.125,0.188
2021-05-25,1,1,0,0,0,0,0,0,0,1,0.059,0.059,0.118,0.176
2021-05-27,0,0,0,0,0,0,0,0,0,0,0.059,0.059,0.118,0.176
2021-05-27,0,0,1,0,0,0,0,0,0,0,0.059,0.059,0.118,0.176
2021-05-29,1,1,0,0,0,0,0,0,0,1,0.056,0.056,0.111,0.167
