date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-01,5,3,1,0,0,0,0,1,1,1,0.0,0.2,0.0,0.2
2021-04-02,5,5,0,1,0,0,0,3,0,0,0.125,0.2,0.125,0.325
2021-04-03,5,4,0,1,0,0,0,2,0,0,0.167,0.2,0.167,0.367
2021-04-04,5,5,1,1,0,0,1,1,0,1,0.176,0.2,0.353,0.553
2021-04-05,5,5,1,1,0,0,1,1,0,2,0.182,0.2,0.455,0.654
2021-04-06,4,4,1,1,0,0,1,1,0,2,0.192,0.207,0.538,0.745
2021-04-08,4,4,1,1,1,0,0,0,0,0,0.2,0.212,0.533,0.746
2021-04-09,4,3,1,0,0,0,0,1,1,0,0.182,0.216,0.485,0.701
2021-04-10,4,4,1,1,0,0,1,1,0,1,0.189,0.22,0.541,0.76
2021-04-12,4,3,0,2,1,0,0,0,0,0,0.225,0.267,0.575,0.842
2021-04-13,4,4,0,1,1,0,0,0,0,0,0.227,0.265,0.568,0.834
2021-04-14,5,5,0,0,0,0,0,0,0,1,0.204,0.241,0.51,0.751
2021-04-16,1,1,0,0,0,0,0,0,0,0,0.2,0.236,0.5,0.736
2021-04-17,4,4,0,1,0,0,0,0,0,0,0.204,0.237,0.481,0.719
2021-04-18,4,3,0,0,0,0,0,0,0,2,0.193,0.226,0.456,0.682
2021-04-20,4,4,0,0,0,0,0,0,0,1,0.18,0.212,0.426,0.638
2021-04-21,4,4,0,0,0,0,0,0,0,0,0.169,0.2,0.4,0.6
2021-04-22,5,5,1,1,0,0,0,0,0,1,0.171,0.2,0.386,0.586
2021-04-23,4,4,1,0,0,0,0,0,0,1,0.162,0.19,0.365,0.555
2021-04-24,5,5,1,2,0,0,1,2,0,1,0.177,0.202,0.405,0.607
2021-04-25,4,4,0,1,0,0,0,0,0,2,0.181,0.205,0.398,0.602
2021-04-26,4,2,0,0,0,0,0,1,1,1,0.176,0.207,0.388,0.595
2021-04-27,3,3,0,1,0,0,0,1,0,0,0.182,0.211,0.386,0.597
2021-04-28,4,3,2,1,0,0,0,0,1,1,0.187,0.222,0.385,0.607
2021-04-29,1,1,0,0,0,0,0,0,0,1,0.185,0.22,0.38,0.6
2021-04-30,5,2,0,0,0,0,0,0,3,0,0.181,0.238,0.372,0.61
2021-05-01,4,4,0,0,0,0,0,0,0,1,0.173,0.229,0.357,0.586
2021-05-02,4,3,1,2,0,0,0,0,1,1,0.188,0.248,0.366,0.614
2021-05-04,3,3,0,0,0,0,0,0,0,2,0.183,0.241,0.356,0.597
2021-05-05,0,0,0,0,0,0,0,0,0,0,0.183,0.241,0.356,0.597
2021-05-06,4,2,2,0,0,0,0,0,2,0,0.179,0.25,0.349,0.599
2021-05-07,4,4,0,1,1,0,0,1,0,1,0.182,0.25,0.355,0.604
2021-05-08,4,4,0,0,0,0,0,0,0,1,0.175,0.242,0.342,0.584
2021-05-09,4,3,3,2,0,1,1,4,1,0,0.188,0.258,0.393,0.651
2021-05-10,4,3,1,1,1,0,0,0,1,1,0.192,0.265,0.4,0.665
2021-05-11,4,3,1,2,0,0,1,1,1,0,0.203,0.279,0.431,0.71
2021-05-12,4,4,2,2,0,0,1,2,0,1,0.213,0.285,0.457,0.741
2021-05-13,5,4,1,1,0,0,0,0,1,0,0.214,0.289,0.45,0.739
2021-05-14,4,4,2,2,0,0,0,2,0,0,0.222,0.294,0.452,0.746
2021-05-15,4,4,1,2,0,0,1,2,0,1,0.23,0.299,0.475,0.774
2021-05-16,4,3,1,0,0,0,0,0,1,0,0.225,0.298,0.465,0.763
2021-05-18,4,4,1,2,0,0,1,1,0,0,0.233,0.303,0.486,0.789
2021-05-19,5,5,0,0,0,0,0,0,0,2,0.225,0.294,0.47,0.764
2021-05-20,4,4,1,1,1,0,0,0,0,0,0.226,0.293,0.471,0.764
