date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2015-04-06,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015-04-07,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2015-04-08,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015-04-10,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015-04-11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015-04-12,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015-04-17,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2015-04-18,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015-04-19,3,3,1,1,0,0,0,0,0,1,0.1,0.1,0.1,0.2
2015-04-23,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
2015-04-25,1,1,0,0,0,0,0,0,0,1,0.091,0.091,0.091,0.182
2015-04-26,0,0,0,0,0,0,0,0,0,0,0.091,0.091,0.091,0.182
2015-04-27,1,1,0,0,0,0,0,0,0,1,0.083,0.083,0.083,0.167
2015-04-29,1,1,0,0,0,0,0,0,0,1,0.077,0.077,0.077,0.154
2015-05-01,3,2,0,0,0,0,0,0,1,0,0.067,0.125,0.067,0.192
2015-05-06,1,1,0,0,0,0,0,0,0,0,0.063,0.118,0.063,0.18
