date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-01,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-04-04,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-04-05,3,3,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6
2021-04-06,1,0,0,0,0,0,0,0,1,0,0.2,0.333,0.4,0.733
2021-04-07,1,1,0,0,0,0,0,0,0,0,0.167,0.286,0.333,0.619
2021-04-10,1,1,0,0,0,0,0,0,0,0,0.143,0.25,0.286,0.536
2021-04-11,1,1,0,0,0,0,0,0,0,0,0.125,0.222,0.25,0.472
2021-04-16,1,0,0,0,0,0,0,0,0,0,0.125,0.3,0.25,0.55
2021-04-17,1,1,0,0,0,0,0,0,0,0,0.111,0.273,0.222,0.495
2021-04-18,1,1,0,0,0,0,0,0,0,0,0.1,0.25,0.2,0.45
2021-04-20,1,1,0,0,0,0,0,0,0,0,0.091,0.231,0.182,0.413
2021-04-21,5,4,2,3,0,0,0,3,1,0,0.267,0.389,0.333,0.722
2021-04-22,4,3,0,0,0,0,0,0,0,1,0.222,0.364,0.278,0.641
2021-04-23,1,1,0,0,0,0,0,0,0,1,0.211,0.348,0.263,0.611
2021-04-24,4,4,0,1,0,0,0,0,0,2,0.217,0.333,0.261,0.594
2021-04-25,2,2,0,1,0,0,0,0,0,0,0.24,0.345,0.28,0.625
2021-04-26,2,1,1,1,0,0,0,0,1,0,0.269,0.387,0.308,0.695
2021-04-27,3,3,0,0,0,0,0,0,0,1,0.241,0.353,0.276,0.629
2021-04-28,4,2,0,1,0,0,0,0,2,0,0.258,0.395,0.29,0.685
2021-04-29,6,4,2,2,0,0,0,1,2,0,0.286,0.432,0.314,0.746
2021-04-30,4,4,1,1,0,0,0,0,0,1,0.282,0.417,0.308,0.724
2021-05-01,1,1,0,0,0,0,0,0,0,1,0.275,0.408,0.3,0.708
2021-05-02,5,4,1,1,1,0,0,0,1,1,0.273,0.407,0.318,0.726
2021-05-04,3,3,1,1,0,0,0,0,0,0,0.277,0.404,0.319,0.723
2021-05-04,1,1,0,0,0,0,0,0,0,1,0.271,0.397,0.313,0.709
2021-05-05,5,4,3,3,1,0,0,1,1,1,0.308,0.429,0.365,0.794
2021-05-07,3,2,0,0,0,0,0,1,0,0,0.296,0.409,0.352,0.761
2021-05-08,1,1,0,1,0,0,0,1,0,0,0.309,0.418,0.364,0.782
2021-05-09,4,4,0,0,0,0,0,0,0,1,0.288,0.394,0.339,0.733
2021-05-11,5,5,0,2,0,0,0,0,0,1,0.297,0.395,0.344,0.738
2021-05-12,5,5,0,0,0,0,0,0,0,2,0.275,0.37,0.319,0.689
2021-05-14,4,4,0,0,0,0,0,0,0,1,0.26,0.353,0.301,0.654
2021-05-15,5,5,1,3,1,0,1,5,0,1,0.282,0.367,0.372,0.738
2021-05-16,5,3,2,1,0,0,0,0,0,0,0.284,0.379,0.37,0.749
2021-05-17,4,4,1,1,0,0,0,0,0,0,0.282,0.374,0.365,0.738
2021-05-18,4,3,1,1,0,0,0,0,1,1,0.284,0.379,0.364,0.742
2021-05-19,1,1,0,0,0,0,0,0,0,1,0.281,0.375,0.36,0.735
2021-05-22,2,1,0,0,0,0,0,0,1,0,0.278,0.377,0.356,0.733
2021-07-23,4,3,1,0,0,0,0,0,1,1,0.269,0.373,0.344,0.717
2021-07-24,1,1,0,0,0,0,0,0,0,1,0.266,0.369,0.34,0.71
2021-07-26,5,5,0,0,0,0,0,0,0,2,0.253,0.353,0.323,0.677
2021-07-27,1,1,0,0,0,0,0,0,0,0,0.25,0.35,0.32,0.67
2021-07-28,4,3,1,1,0,0,0,0,1,0,0.252,0.355,0.32,0.676
2021-07-29,4,4,0,0,0,0,0,0,0,1,0.243,0.344,0.308,0.652
2021-07-30,4,4,0,0,0,0,0,0,0,1,0.234,0.333,0.297,0.631
2021-08-01,4,4,0,0,0,0,0,0,0,1,0.226,0.323,0.287,0.61
2021-08-04,1,1,0,1,0,0,0,0,0,0,0.233,0.328,0.293,0.622
2021-08-05,1,1,0,0,0,0,0,0,0,0,0.231,0.326,0.291,0.616
2021-08-06,5,5,1,2,0,0,0,0,0,1,0.238,0.329,0.295,0.624
2021-08-07,4,3,0,1,0,0,0,0,1,0,0.24,0.333,0.296,0.629
2021-08-08,4,4,0,0,0,0,0,0,0,3,0.233,0.324,0.287,0.611
2021-08-10,1,1,0,1,0,0,0,0,0,0,0.238,0.329,0.292,0.621
2021-08-10,4,4,1,1,0,0,0,0,0,2,0.239,0.327,0.291,0.618
2021-08-11,3,3,0,1,0,0,0,0,0,1,0.241,0.327,0.292,0.619
2021-08-12,3,3,0,1,0,0,0,0,0,0,0.243,0.327,0.293,0.62
2021-08-13,6,5,2,1,0,0,0,0,1,1,0.241,0.327,0.29,0.617
2021-08-14,1,1,1,1,0,0,0,0,0,0,0.247,0.331,0.295,0.626
2021-08-15,4,4,0,2,0,0,0,0,0,2,0.253,0.335,0.3,0.635
2021-08-16,5,5,1,2,0,0,0,0,0,0,0.258,0.337,0.303,0.64
2021-08-17,2,2,0,1,1,0,0,0,0,0,0.261,0.339,0.312,0.651
2021-08-18,5,5,0,3,0,0,0,1,0,0,0.272,0.346,0.321,0.667
2021-08-20,4,3,0,0,0,0,0,0,0,2,0.267,0.344,0.315,0.659
2021-08-21,3,3,0,0,0,0,0,0,0,1,0.262,0.339,0.31,0.648
2021-08-22,4,4,0,1,0,0,0,1,0,1,0.262,0.337,0.308,0.645
2021-08-23,1,1,0,0,0,0,0,0,0,1,0.26,0.335,0.306,0.641
2021-08-25,3,2,1,0,0,0,0,0,1,1,0.257,0.335,0.303,0.638
2021-08-25,2,2,1,1,0,0,0,0,0,0,0.26,0.337,0.305,0.642
2021-08-27,5,4,2,1,0,0,0,0,1,2,0.26,0.338,0.304,0.642
2021-08-28,4,4,1,1,0,0,0,0,0,1,0.259,0.337,0.303,0.639
