date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018-03-30,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0
March,1,1,2,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0
2018-04-02,1,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0
2018-04-03,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
2018-04-04,4,4,0,1,0,0,0,0,0,0,0.286,0.286,0.286,0.571
2018-04-06,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.286,0.571
2018-04-10,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.286,0.571
2018-04-12,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
2018-04-13,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
2018-04-14,4,4,0,1,0,0,0,0,0,2,0.25,0.25,0.25,0.5
2018-04-15,2,2,1,1,0,0,0,0,0,1,0.286,0.286,0.286,0.571
2018-04-16,1,1,0,0,0,0,0,0,0,1,0.267,0.267,0.267,0.533
2018-04-17,1,0,0,0,0,0,0,0,1,0,0.267,0.313,0.267,0.579
2018-04-18,2,2,0,1,0,0,0,0,0,0,0.294,0.333,0.294,0.628
2018-04-22,3,3,0,0,0,0,0,0,0,1,0.25,0.286,0.25,0.536
2018-04-23,3,3,2,2,1,0,0,2,0,0,0.304,0.333,0.348,0.681
2018-04-24,1,1,0,0,0,0,0,0,0,1,0.292,0.32,0.333,0.653
2018-04-25,1,1,0,0,0,0,0,0,0,0,0.28,0.308,0.32,0.628
2018-04-27,1,1,0,0,0,0,0,0,0,1,0.269,0.296,0.308,0.604
2018-04-28,2,2,0,0,0,0,0,0,0,0,0.25,0.276,0.286,0.562
2018-04-29,1,1,0,0,0,0,0,0,0,0,0.241,0.267,0.276,0.542
2018-04-30,1,1,0,0,0,0,0,0,0,0,0.233,0.258,0.267,0.525
2018-05-02,3,2,2,1,0,0,1,1,1,0,0.25,0.294,0.375,0.669
2018-05-04,3,3,0,0,0,0,0,0,0,2,0.229,0.27,0.343,0.613
2018-05-05,2,2,0,1,0,0,0,0,0,0,0.243,0.282,0.351,0.633
2018-05-07,1,0,0,0,0,0,0,0,1,0,0.243,0.3,0.351,0.651
2018-05-09,4,3,0,1,1,0,0,1,1,1,0.25,0.318,0.375,0.693
2018-05-10,1,0,0,0,0,0,0,0,1,0,0.25,0.333,0.375,0.708
2018-05-11,1,1,0,0,0,0,0,0,0,0,0.244,0.326,0.366,0.692
2018-05-12,1,1,0,0,0,0,0,0,0,0,0.238,0.319,0.357,0.676
2018-05-14,1,1,1,1,1,0,0,0,0,0,0.256,0.333,0.395,0.729
2018-05-17,1,1,0,0,0,0,0,0,0,0,0.25,0.327,0.386,0.713
2018-05-18,1,1,0,0,0,0,0,0,0,0,0.244,0.32,0.378,0.698
2018-05-20,2,2,0,0,0,0,0,0,0,0,0.234,0.308,0.362,0.669
2018-05-21,3,3,0,0,0,0,0,0,0,0,0.22,0.291,0.34,0.631
2018-05-22,0,0,0,0,0,0,0,0,0,0,0.22,0.291,0.34,0.631
2018-05-25,1,1,0,0,0,0,0,0,0,0,0.216,0.286,0.333,0.619
2018-05-26,2,2,1,1,0,0,0,0,0,1,0.226,0.293,0.34,0.633
2018-05-27,1,1,0,0,0,0,0,0,0,0,0.222,0.288,0.333,0.622
2018-05-28,3,3,0,0,0,0,0,0,0,0,0.211,0.274,0.316,0.59
2018-05-29,2,2,0,0,0,0,0,0,0,2,0.203,0.266,0.305,0.571
2018-05-30,0,0,1,0,0,0,0,0,0,0,0.203,0.266,0.305,0.571
2018-06-02,1,1,0,1,0,0,0,2,0,0,0.217,0.277,0.317,0.594
2018-06-03,1,1,0,0,0,0,0,0,0,1,0.213,0.273,0.311,0.584
2018-06-04,1,1,0,0,0,0,0,0,0,1,0.21,0.269,0.306,0.575
2018-06-05,1,1,0,0,0,0,0,0,0,1,0.206,0.265,0.302,0.566
2018-06-06,1,1,0,0,0,0,0,0,0,0,0.203,0.261,0.297,0.558
2018-06-09,2,0,0,0,0,0,0,0,2,0,0.203,0.282,0.297,0.579
2018-06-13,1,1,0,0,0,0,0,0,0,0,0.2,0.278,0.292,0.57
2018-06-17,1,1,0,0,0,0,0,0,0,1,0.197,0.274,0.288,0.562
2018-06-19,2,2,0,0,0,0,0,0,0,1,0.191,0.267,0.279,0.546
2018-06-21,1,1,0,0,0,0,0,0,0,1,0.188,0.263,0.275,0.538
2018-06-22,1,0,0,0,0,0,0,0,0,0,0.188,0.263,0.275,0.538
2018-06-23,1,1,0,0,0,0,0,0,0,1,0.186,0.26,0.271,0.531
2018-06-24,4,4,0,1,0,0,0,0,0,2,0.189,0.259,0.27,0.53
2018-06-29,1,1,0,0,0,0,0,0,0,1,0.187,0.256,0.267,0.523
2018-06-30,1,0,1,0,0,0,0,0,1,0,0.187,0.265,0.267,0.532
