date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-01,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-04-05,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2021-04-07,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-04-09,3,3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2021-04-11,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2021-04-12,3,3,0,1,0,0,0,0,0,1,0.143,0.143,0.143,0.286
2021-04-20,2,2,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222
2021-04-22,1,1,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4
2021-04-23,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4
2021-04-24,1,1,0,0,0,0,0,0,0,1,0.182,0.182,0.182,0.364
2021-04-25,4,3,0,1,1,0,0,0,1,2,0.214,0.267,0.286,0.552
2021-04-28,4,4,1,3,0,0,0,1,0,1,0.333,0.368,0.389,0.757
2021-04-30,4,4,0,1,1,0,0,0,0,1,0.318,0.348,0.409,0.757
2021-05-01,4,4,0,0,0,0,0,0,0,0,0.269,0.296,0.346,0.642
2021-05-02,5,4,1,1,0,0,1,4,1,1,0.267,0.313,0.433,0.746
2021-05-04,4,3,2,1,1,0,0,0,1,1,0.273,0.333,0.455,0.788
2021-05-04,4,4,2,1,1,0,0,0,0,1,0.27,0.325,0.459,0.784
2021-05-05,4,4,0,0,0,0,0,0,0,2,0.244,0.295,0.415,0.71
2021-05-07,4,4,0,1,0,0,0,0,0,3,0.244,0.292,0.4,0.692
2021-05-08,3,3,0,1,0,0,0,0,0,0,0.25,0.294,0.396,0.69
2021-05-09,5,5,0,1,0,0,0,0,0,1,0.245,0.286,0.377,0.663
2021-05-10,3,3,0,0,0,0,0,0,0,1,0.232,0.271,0.357,0.628
2021-05-11,4,1,1,0,0,0,0,0,3,1,0.228,0.302,0.351,0.652
2021-05-13,5,5,1,1,0,0,0,0,0,1,0.226,0.294,0.339,0.633
2021-05-14,5,5,0,0,0,0,0,0,0,2,0.209,0.274,0.313,0.587
