date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-01,6,5,2,1,0,0,0,1,0,3,0.2,0.333,0.2,0.533
2021-04-03,4,2,0,1,0,0,0,0,1,1,0.286,0.5,0.286,0.786
2021-04-04,4,4,0,0,0,0,0,0,0,3,0.182,0.357,0.182,0.539
2021-04-05,4,3,1,0,0,0,0,0,0,2,0.143,0.333,0.143,0.476
2021-04-06,4,4,1,2,0,0,0,0,0,0,0.222,0.364,0.222,0.586
2021-04-07,4,3,1,1,0,0,1,1,0,0,0.238,0.385,0.381,0.766
2021-04-09,3,3,0,0,0,0,0,0,0,1,0.208,0.345,0.333,0.678
2021-04-10,4,4,0,1,0,0,0,0,0,2,0.214,0.333,0.321,0.655
2021-04-11,4,4,0,1,0,0,0,0,0,3,0.219,0.324,0.313,0.637
2021-04-12,3,3,0,0,0,0,0,0,0,2,0.2,0.3,0.286,0.586
2021-04-13,4,4,2,2,1,0,0,3,0,0,0.231,0.318,0.333,0.652
2021-04-14,4,4,0,0,0,0,0,0,0,0,0.209,0.292,0.302,0.594
2021-04-15,5,5,2,3,0,0,1,2,0,1,0.25,0.321,0.396,0.717
2021-04-16,4,3,1,2,0,0,1,1,0,1,0.275,0.351,0.471,0.822
2021-04-17,4,4,0,1,0,0,0,0,0,0,0.273,0.344,0.455,0.799
2021-04-18,5,3,0,2,0,0,0,0,2,0,0.293,0.379,0.466,0.844
2021-04-19,4,4,1,1,0,0,0,0,0,1,0.29,0.371,0.452,0.823
2021-04-20,4,3,1,1,0,0,1,1,1,1,0.292,0.378,0.492,0.871
2021-04-21,5,3,1,0,0,0,0,0,2,1,0.279,0.38,0.471,0.85
2021-04-23,5,5,1,1,0,0,1,2,0,1,0.274,0.369,0.493,0.862
2021-04-24,4,4,0,2,1,0,0,0,0,1,0.286,0.375,0.506,0.882
2021-04-25,4,4,0,2,0,0,0,1,0,1,0.296,0.38,0.506,0.887
2021-04-26,4,3,0,0,0,0,0,0,0,2,0.286,0.375,0.488,0.863
2021-04-27,4,4,3,3,0,0,2,2,0,1,0.307,0.39,0.568,0.958
2021-04-28,4,3,1,2,1,0,0,0,0,1,0.319,0.404,0.582,0.986
2021-04-29,4,4,0,0,0,0,0,0,0,1,0.305,0.389,0.558,0.947
2021-04-30,4,4,0,0,0,0,0,0,0,2,0.293,0.375,0.535,0.91
2021-05-01,4,4,1,2,0,0,0,1,0,1,0.301,0.379,0.534,0.913
2021-05-02,4,4,0,0,0,0,0,0,0,3,0.29,0.367,0.514,0.881
2021-05-03,5,4,0,1,0,0,0,0,1,0,0.288,0.368,0.505,0.872
2021-05-04,5,5,1,1,0,0,0,0,0,0,0.284,0.362,0.491,0.853
2021-05-05,4,3,2,1,0,0,0,0,1,0,0.286,0.366,0.487,0.853
2021-05-06,5,5,0,0,0,0,0,0,0,0,0.274,0.353,0.468,0.82
2021-05-07,4,4,1,3,1,0,0,1,0,0,0.289,0.364,0.484,0.848
2021-05-08,5,5,0,0,0,0,0,0,0,2,0.278,0.351,0.466,0.818
2021-05-09,5,4,2,1,1,0,0,3,1,0,0.277,0.353,0.467,0.82
2021-05-10,4,3,0,0,0,0,0,0,1,1,0.271,0.35,0.457,0.808
2021-05-11,4,3,0,0,0,0,0,0,1,1,0.266,0.348,0.448,0.795
2021-05-13,5,5,1,1,0,0,0,0,0,3,0.264,0.343,0.439,0.783
2021-05-14,4,4,1,1,1,0,0,0,0,0,0.263,0.341,0.441,0.782
2021-05-15,5,3,2,2,0,1,0,0,2,0,0.271,0.354,0.458,0.812
2021-05-16,4,4,0,1,1,0,0,0,0,1,0.27,0.352,0.459,0.811
2021-05-17,4,4,0,0,0,0,0,0,0,2,0.264,0.344,0.448,0.792
2021-05-18,4,4,2,2,0,0,1,2,0,1,0.269,0.348,0.467,0.815
2021-05-19,3,3,0,0,0,0,0,0,0,3,0.265,0.342,0.459,0.801
2021-05-20,4,4,0,1,0,0,0,0,0,1,0.264,0.34,0.454,0.794
2021-05-21,5,5,0,0,0,0,0,0,0,1,0.257,0.332,0.441,0.773
2021-05-22,5,2,0,1,0,0,0,0,2,0,0.26,0.343,0.442,0.785
2021-05-23,5,5,1,1,1,0,0,1,0,2,0.258,0.34,0.441,0.781
