date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-02,3,2,0,0,0,0,0,0,1,0,0.0,0.333,0.0,0.333
2021-04-03,4,4,0,0,0,0,0,0,0,1,0.0,0.143,0.0,0.143
2021-04-05,5,5,0,0,0,0,0,0,0,2,0.0,0.083,0.0,0.083
2021-04-06,5,5,0,2,0,0,0,1,0,1,0.125,0.176,0.125,0.302
2021-04-07,4,3,1,0,0,0,0,0,1,1,0.105,0.19,0.105,0.296
2021-04-08,5,3,2,2,0,0,1,2,1,1,0.182,0.308,0.318,0.626
2021-04-10,5,5,1,2,0,0,1,2,0,1,0.222,0.323,0.444,0.767
2021-04-11,6,5,2,2,0,0,2,5,1,2,0.25,0.351,0.625,0.976
2021-04-13,4,3,1,1,0,0,1,1,1,1,0.257,0.366,0.686,1.052
2021-04-14,4,4,0,1,0,0,0,0,0,1,0.256,0.356,0.641,0.997
2021-04-14,4,4,1,2,1,0,0,2,0,0,0.279,0.367,0.651,1.019
2021-04-15,4,4,0,0,0,0,0,0,0,3,0.255,0.34,0.596,0.935
2021-04-17,5,3,0,1,0,0,0,1,1,1,0.26,0.345,0.58,0.925
2021-04-18,3,3,0,1,0,0,0,0,0,0,0.264,0.344,0.566,0.91
2021-04-18,3,3,0,0,0,0,0,0,0,1,0.25,0.328,0.536,0.864
2021-04-19,5,3,2,2,0,0,0,1,2,0,0.271,0.362,0.542,0.905
2021-04-21,4,4,0,1,1,0,0,1,0,1,0.27,0.356,0.54,0.896
2021-04-22,5,5,2,2,0,0,1,1,0,0,0.279,0.359,0.574,0.932
2021-04-23,4,4,0,0,0,0,0,0,0,2,0.264,0.341,0.542,0.883
2021-04-24,4,4,1,2,2,0,0,1,0,0,0.276,0.349,0.566,0.915
2021-04-25,4,2,1,0,0,0,0,0,2,1,0.269,0.356,0.551,0.907
2021-04-27,4,4,0,2,0,0,0,1,0,0,0.28,0.362,0.549,0.91
2021-04-28,3,3,0,2,1,0,0,0,0,0,0.294,0.371,0.565,0.936
2021-04-29,4,4,0,1,1,0,0,1,0,1,0.292,0.366,0.562,0.928
2021-04-30,4,3,1,1,0,0,1,1,1,0,0.293,0.371,0.587,0.958
2021-05-01,5,4,1,1,1,0,0,0,1,3,0.292,0.373,0.583,0.956
2021-05-02,4,3,0,0,0,0,0,0,1,1,0.283,0.368,0.566,0.934
2021-05-05,5,4,0,1,1,0,0,0,1,1,0.282,0.37,0.563,0.933
2021-05-06,5,5,1,2,0,0,0,3,0,1,0.287,0.371,0.556,0.926
2021-05-07,4,3,2,1,1,0,0,0,1,0,0.288,0.375,0.559,0.934
2021-05-08,4,3,1,0,0,0,0,1,1,1,0.281,0.371,0.544,0.915
