date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2017-04-03,1,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0
2017-04-04,1,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0
2017-04-05,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0
2017-04-07,3,3,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5
2017-04-08,3,3,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333
2017-04-09,1,1,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.3
2017-04-10,1,1,0,0,0,0,0,0,0,1,0.0,0.273,0.0,0.273
2017-04-12,2,2,0,0,0,0,0,0,0,0,0.0,0.231,0.0,0.231
2017-04-13,4,4,0,0,0,0,0,0,0,1,0.0,0.176,0.0,0.176
2017-04-14,1,1,0,0,0,0,0,1,0,0,0.0,0.167,0.0,0.167
2017-04-15,4,4,1,2,0,0,0,1,0,1,0.105,0.227,0.105,0.332
2017-04-18,4,4,0,1,0,0,0,0,0,2,0.13,0.231,0.13,0.361
2017-04-19,3,3,0,1,0,0,0,1,0,0,0.154,0.241,0.154,0.395
2017-04-21,1,1,0,0,0,0,0,0,0,1,0.148,0.233,0.148,0.382
2017-04-22,2,1,1,0,0,0,0,0,1,0,0.143,0.25,0.143,0.393
