date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2014-04-06,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2014-04-11,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2014-04-13,4,3,1,1,0,1,0,0,1,2,0.25,0.4,0.75,1.15
2014-04-18,1,1,0,0,0,0,0,0,0,0,0.2,0.333,0.6,0.933
2014-04-20,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.6,0.933
2014-04-21,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.6,0.933
2014-04-22,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.6,0.933
2014-04-29,3,2,0,0,0,0,0,0,1,1,0.143,0.333,0.429,0.762
2014-05-03,1,1,0,0,0,0,0,0,0,0,0.125,0.3,0.375,0.675
2014-05-04,1,1,0,1,0,0,0,0,0,0,0.222,0.364,0.444,0.808
2014-05-05,1,1,0,0,0,0,0,0,0,1,0.2,0.333,0.4,0.733
2014-05-10,3,2,0,0,0,0,0,1,0,0,0.167,0.286,0.333,0.619
2014-05-11,4,4,0,0,0,0,0,0,0,0,0.125,0.222,0.25,0.472
2014-05-12,1,1,0,0,0,0,0,0,0,1,0.118,0.211,0.235,0.446
2014-05-13,3,3,1,1,0,0,0,0,0,2,0.15,0.227,0.25,0.477
2014-05-14,4,4,1,2,0,0,0,0,0,1,0.208,0.269,0.292,0.561
2014-05-16,3,3,0,1,0,0,0,1,0,0,0.222,0.276,0.296,0.572
2014-05-17,3,2,0,0,0,0,0,0,1,0,0.207,0.281,0.276,0.557
2014-05-23,1,1,0,1,0,0,0,0,0,0,0.233,0.303,0.3,0.603
2014-05-25,3,2,0,0,0,0,0,0,1,0,0.219,0.306,0.281,0.587
2014-05-26,1,1,0,0,0,0,0,0,0,1,0.212,0.297,0.273,0.57
2014-05-27,3,2,0,0,0,0,0,0,1,0,0.2,0.3,0.257,0.557
2014-07-18,1,1,0,0,0,0,0,0,0,0,0.194,0.293,0.25,0.543
2014-07-19,1,1,0,1,0,0,0,0,0,0,0.216,0.31,0.27,0.58
2014-07-20,1,1,0,0,0,0,0,0,0,1,0.211,0.302,0.263,0.566
2014-07-22,1,0,1,0,0,0,0,0,1,0,0.211,0.318,0.263,0.581
2014-07-24,1,1,0,0,0,0,0,0,0,0,0.205,0.311,0.256,0.568
2014-07-25,1,1,0,0,0,0,0,0,0,1,0.2,0.304,0.25,0.554
