date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2021-04-14,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2021-04-16,3,2,0,1,1,0,0,1,1,1,0.333,0.5,0.667,1.167
2021-04-18,1,1,0,0,0,0,0,0,0,0,0.25,0.4,0.5,0.9
2021-04-19,1,1,1,1,0,0,1,1,0,0,0.4,0.5,1.2,1.7
2021-04-20,1,1,0,0,0,0,0,0,0,1,0.333,0.429,1.0,1.429
2021-04-21,1,1,0,1,0,0,0,0,0,0,0.429,0.5,1.0,1.5
2021-04-23,3,2,0,1,1,0,0,0,0,1,0.444,0.545,1.0,1.545
2021-04-24,3,2,0,0,0,0,0,1,0,1,0.364,0.5,0.818,1.318
2021-04-25,1,0,0,0,0,0,0,1,1,0,0.364,0.533,0.818,1.352
2021-04-26,4,4,0,2,0,0,0,0,0,0,0.4,0.526,0.733,1.26
2021-04-27,4,4,1,3,0,0,1,3,0,0,0.474,0.565,0.895,1.46
2021-04-28,4,4,0,0,0,0,0,0,0,0,0.391,0.481,0.739,1.221
2021-04-29,3,3,0,0,0,0,0,0,0,2,0.346,0.433,0.654,1.087
2021-04-30,0,0,0,0,0,0,0,0,0,0,0.346,0.433,0.654,1.087
2021-05-01,1,1,0,0,0,0,0,0,0,0,0.333,0.419,0.63,1.049
2021-05-02,4,4,0,1,0,0,0,0,0,0,0.323,0.4,0.581,0.981
2021-05-04,4,2,0,0,0,0,0,0,1,1,0.303,0.41,0.545,0.956
2021-05-05,3,3,1,1,0,0,1,1,0,0,0.306,0.405,0.611,1.016
2021-05-06,3,3,0,0,0,0,0,0,0,1,0.282,0.378,0.564,0.942
2021-05-07,4,4,0,0,0,0,0,0,0,1,0.256,0.347,0.512,0.859
2021-05-08,5,4,1,1,0,0,0,1,0,0,0.255,0.352,0.489,0.841
2021-05-09,5,5,0,2,0,0,0,1,0,2,0.269,0.356,0.481,0.837
2021-05-11,5,4,0,0,0,0,0,0,0,2,0.25,0.344,0.446,0.79
2021-05-13,2,1,0,0,0,0,0,0,1,1,0.246,0.348,0.439,0.787
2021-05-14,4,4,0,0,0,0,0,0,0,0,0.23,0.329,0.41,0.738
2021-05-15,4,3,0,0,0,0,0,0,1,2,0.219,0.324,0.391,0.715
2021-05-16,2,2,0,0,0,0,0,0,0,1,0.212,0.316,0.379,0.695
2021-05-18,2,2,0,0,0,0,0,0,0,0,0.206,0.308,0.368,0.675
2021-05-21,1,1,0,1,1,0,0,0,0,0,0.217,0.316,0.391,0.708
2021-05-23,2,2,0,0,0,0,0,0,0,0,0.211,0.309,0.38,0.689
2021-05-24,3,3,0,0,0,0,0,0,0,2,0.203,0.298,0.365,0.662
2021-06-01,4,4,2,2,0,0,2,2,0,1,0.218,0.307,0.449,0.756
2021-06-03,1,1,0,0,0,0,0,0,0,0,0.215,0.303,0.443,0.746
2021-06-05,4,4,0,1,0,0,0,2,0,0,0.217,0.301,0.434,0.735
2021-06-06,4,4,1,1,0,0,1,1,0,1,0.218,0.299,0.46,0.759
2021-06-08,1,0,1,0,0,0,0,0,1,0,0.218,0.306,0.46,0.766
2021-06-09,1,1,0,0,0,0,0,0,0,1,0.216,0.303,0.455,0.758
2021-06-10,1,0,0,0,0,0,0,0,0,0,0.216,0.31,0.455,0.764
2021-06-22,1,1,0,0,0,0,0,0,0,1,0.213,0.307,0.449,0.756
2021-06-23,5,5,1,2,0,0,0,0,0,2,0.223,0.311,0.447,0.758
2021-06-25,1,0,0,0,0,0,0,0,0,0,0.223,0.318,0.447,0.765
2021-06-26,5,5,0,2,0,0,0,1,0,2,0.232,0.321,0.444,0.766
2021-06-27,4,4,0,1,0,0,0,0,0,1,0.233,0.319,0.437,0.756
2021-06-28,2,1,0,0,0,0,0,1,0,0,0.231,0.314,0.433,0.746
2021-06-29,4,4,0,0,0,0,0,0,0,2,0.222,0.303,0.417,0.72
2021-06-30,5,4,2,1,1,0,0,0,1,0,0.223,0.307,0.42,0.727
2021-07-01,5,3,2,1,0,0,0,2,2,1,0.226,0.318,0.417,0.736
2021-07-02,4,3,1,1,0,1,0,2,1,0,0.229,0.324,0.432,0.756
2021-07-03,1,1,1,1,0,0,0,0,0,0,0.235,0.328,0.437,0.765
2021-07-04,4,4,0,1,0,0,0,0,0,0,0.236,0.326,0.431,0.757
2021-07-05,4,4,0,1,0,0,0,1,0,3,0.236,0.324,0.425,0.749
2021-07-07,1,0,0,0,0,0,0,0,1,0,0.236,0.329,0.425,0.754
2021-07-07,3,3,0,0,0,0,0,0,0,1,0.231,0.322,0.415,0.738
2021-07-08,1,1,0,0,0,0,0,0,0,0,0.229,0.32,0.412,0.732
2021-07-09,3,3,0,0,0,0,0,0,0,1,0.224,0.314,0.403,0.717
2021-07-10,1,1,1,1,0,0,1,2,0,0,0.23,0.318,0.43,0.748
2021-07-11,1,1,0,0,0,0,0,0,0,0,0.228,0.316,0.426,0.743
2021-07-16,1,1,0,0,0,0,0,0,0,1,0.226,0.314,0.423,0.738
2021-07-17,3,2,1,2,0,0,0,0,1,0,0.237,0.327,0.432,0.759
2021-07-18,5,5,1,2,0,0,0,2,0,2,0.243,0.329,0.431,0.76
2021-07-20,3,2,1,0,0,0,0,0,1,1,0.24,0.329,0.425,0.754
2021-07-21,1,1,0,0,0,0,0,0,0,0,0.238,0.327,0.422,0.749
