date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-03-28,4,4,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
March,8,7,0,0,0,0,0,0,1,4,0.0,0.125,0.0,0.125
2019-03-31,4,3,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125
2019-04-01,5,4,0,1,1,0,0,2,1,1,0.091,0.231,0.182,0.413
2019-04-02,4,4,0,2,0,0,0,0,0,0,0.2,0.294,0.267,0.561
2019-04-03,1,1,0,0,0,0,0,0,0,1,0.188,0.278,0.25,0.528
2019-04-04,4,4,0,0,0,0,0,0,0,0,0.15,0.227,0.2,0.427
2019-04-05,4,4,0,0,0,0,0,0,0,1,0.125,0.192,0.167,0.359
2019-04-06,4,4,0,1,0,0,0,1,0,2,0.143,0.2,0.179,0.379
2019-04-07,2,2,0,0,0,0,0,0,0,0,0.133,0.188,0.167,0.354
2019-04-11,4,4,0,1,1,0,0,2,0,2,0.147,0.194,0.206,0.4
2019-04-13,4,4,0,0,0,0,0,0,0,1,0.132,0.175,0.184,0.359
2019-04-14,5,5,1,2,1,0,1,1,0,0,0.163,0.2,0.302,0.502
2019-04-15,4,4,1,2,0,0,1,2,0,1,0.191,0.224,0.383,0.608
2019-04-16,4,4,0,0,0,0,0,0,0,1,0.176,0.208,0.353,0.56
2019-04-17,4,4,2,1,0,0,0,0,0,1,0.182,0.211,0.345,0.556
2019-04-18,1,1,0,0,0,0,0,0,0,0,0.179,0.207,0.339,0.546
2019-04-19,4,4,0,1,0,0,0,0,0,1,0.183,0.21,0.333,0.543
2019-04-20,4,3,0,0,0,0,0,1,0,1,0.175,0.197,0.317,0.514
2019-04-21,4,4,0,0,0,0,0,0,0,3,0.164,0.186,0.299,0.484
2019-04-23,5,4,1,2,0,0,1,3,0,0,0.183,0.2,0.352,0.552
2019-04-24,4,4,0,2,0,0,0,0,0,1,0.2,0.215,0.36,0.575
2019-04-25,4,4,0,0,0,0,0,0,0,1,0.19,0.205,0.342,0.547
2019-04-26,5,5,2,2,0,0,1,3,0,0,0.202,0.216,0.381,0.597
2019-04-27,4,4,0,1,0,0,0,0,0,1,0.205,0.217,0.375,0.592
2019-04-28,4,3,0,0,0,0,0,0,1,0,0.198,0.219,0.363,0.581
2019-04-29,5,4,1,1,1,0,0,0,1,2,0.2,0.228,0.368,0.596
2019-04-30,5,4,0,0,0,0,0,0,1,2,0.192,0.226,0.354,0.58
2019-05-01,4,4,0,0,0,0,0,0,0,2,0.184,0.218,0.34,0.558
2019-05-02,4,4,0,0,0,0,0,0,0,1,0.178,0.211,0.327,0.538
2019-05-03,6,5,3,2,0,0,0,0,0,0,0.188,0.225,0.33,0.555
2019-05-04,4,4,1,3,0,0,1,2,0,0,0.207,0.242,0.371,0.613
2019-05-05,1,1,0,0,0,0,0,0,0,1,0.205,0.24,0.368,0.608
2019-05-06,5,3,1,1,0,0,0,0,2,0,0.208,0.254,0.367,0.62
2019-05-07,3,2,0,0,0,0,0,0,1,0,0.205,0.256,0.361,0.616
2019-05-08,6,5,1,0,0,0,0,0,1,1,0.197,0.252,0.346,0.598
2019-05-09,4,4,0,1,0,0,0,0,0,2,0.198,0.252,0.344,0.595
2019-05-10,5,5,1,2,0,0,0,2,0,0,0.206,0.257,0.346,0.602
2019-05-11,4,4,1,2,0,0,1,2,0,2,0.214,0.263,0.371,0.635
2019-05-12,4,3,1,1,0,0,1,1,1,1,0.217,0.269,0.392,0.661
2019-05-14,3,3,0,0,0,0,0,0,0,1,0.212,0.264,0.384,0.648
2019-05-15,5,5,0,1,0,0,0,1,0,3,0.212,0.262,0.377,0.64
2019-05-16,4,4,0,0,0,0,0,0,0,1,0.206,0.256,0.368,0.624
2019-05-17,3,3,0,0,0,0,0,0,0,3,0.203,0.251,0.361,0.612
2019-05-18,4,4,0,2,0,0,0,2,0,0,0.21,0.257,0.364,0.621
2019-05-19,3,3,0,0,0,0,0,0,0,0,0.206,0.253,0.358,0.61
2019-05-24,4,4,1,2,0,0,1,3,0,2,0.213,0.258,0.379,0.637
2019-05-25,5,5,1,1,0,0,1,1,0,2,0.213,0.257,0.391,0.648
2019-05-26,5,5,0,2,0,0,0,0,0,1,0.218,0.26,0.391,0.652
2019-05-27,5,5,0,0,0,0,0,0,0,0,0.212,0.254,0.38,0.634
2019-05-27,4,4,2,2,0,0,1,2,0,1,0.218,0.259,0.399,0.658
2019-05-28,3,3,1,1,0,0,0,0,0,0,0.22,0.26,0.398,0.658
2019-05-29,4,2,0,0,0,0,0,0,2,1,0.218,0.264,0.394,0.658
2019-05-31,5,4,0,1,0,0,0,1,1,0,0.218,0.268,0.391,0.658
2019-06-01,4,4,0,0,0,0,0,0,0,3,0.214,0.263,0.383,0.646
2019-06-02,4,4,0,0,0,0,0,0,0,0,0.21,0.258,0.376,0.634
2019-06-04,5,5,1,1,0,0,1,1,0,1,0.21,0.257,0.386,0.642
2019-06-06,4,4,0,1,1,0,0,0,0,1,0.21,0.257,0.388,0.644
2019-06-07,4,4,0,1,0,0,0,0,0,2,0.211,0.256,0.385,0.642
2019-06-09,4,4,0,0,0,0,0,0,0,2,0.207,0.252,0.378,0.63
2019-06-11,4,4,0,2,1,0,0,0,0,0,0.212,0.256,0.385,0.641
2019-06-12,4,4,1,1,0,0,0,0,0,1,0.213,0.256,0.383,0.639
2019-06-14,4,4,0,3,1,0,0,0,0,1,0.222,0.264,0.393,0.657
2019-06-15,4,4,1,1,0,0,1,2,0,0,0.223,0.264,0.403,0.667
2019-06-16,5,4,2,3,0,0,1,2,0,0,0.231,0.274,0.421,0.696
2019-06-17,4,3,0,0,0,0,0,0,1,1,0.229,0.274,0.416,0.69
2019-06-18,3,3,0,0,0,0,0,0,0,1,0.226,0.271,0.411,0.682
2019-06-19,4,4,1,2,1,0,1,1,0,1,0.23,0.274,0.429,0.703
2019-06-20,4,4,1,2,0,1,0,0,0,2,0.234,0.277,0.438,0.715
2019-06-21,5,4,1,1,0,0,1,3,1,0,0.235,0.28,0.446,0.726
2019-06-22,4,4,1,1,0,0,1,2,0,1,0.235,0.279,0.455,0.734
2019-06-23,4,3,1,2,1,0,0,1,1,0,0.24,0.286,0.461,0.746
2019-06-25,3,3,0,0,0,0,0,0,0,1,0.237,0.283,0.456,0.738
2019-06-26,4,4,1,1,0,0,1,1,0,2,0.237,0.282,0.464,0.746
2019-06-28,5,4,0,2,0,0,0,0,1,0,0.241,0.288,0.464,0.752
2019-06-29,4,3,0,0,0,0,0,0,0,0,0.238,0.287,0.459,0.746
2019-06-30,4,3,2,1,0,0,0,0,1,0,0.239,0.29,0.458,0.748
2019-07-01,1,1,0,0,0,0,0,0,0,0,0.239,0.289,0.456,0.745
2019-07-02,5,4,2,2,0,0,1,1,0,0,0.242,0.294,0.467,0.761
2019-07-03,4,3,2,2,0,0,1,2,0,1,0.247,0.297,0.479,0.776
2019-07-04,4,4,0,1,0,0,0,1,0,0,0.247,0.296,0.476,0.772
2019-07-06,4,4,1,3,1,0,1,2,0,1,0.253,0.302,0.493,0.795
2019-07-07,4,4,0,2,0,0,0,0,0,0,0.257,0.304,0.493,0.797
2019-07-12,4,4,0,0,0,0,0,0,0,0,0.253,0.3,0.487,0.787
2019-07-13,6,6,3,4,1,0,1,4,0,0,0.261,0.307,0.503,0.81
2019-07-14,1,1,0,0,0,0,0,0,0,0,0.26,0.306,0.502,0.808
2019-07-15,5,5,1,2,0,0,1,1,0,0,0.263,0.307,0.509,0.817
2019-07-16,5,4,1,0,0,0,0,0,0,1,0.259,0.306,0.503,0.809
2019-07-17,4,4,0,1,0,0,0,1,0,3,0.259,0.305,0.5,0.805
2019-07-18,5,5,0,2,1,0,0,0,0,1,0.261,0.306,0.502,0.808
2019-07-19,5,5,0,2,0,0,0,1,0,1,0.263,0.308,0.5,0.808
2019-07-20,4,4,1,1,1,0,0,1,0,2,0.263,0.307,0.5,0.807
2019-07-21,4,3,0,0,0,0,0,0,1,0,0.261,0.306,0.496,0.802
2019-07-22,4,3,1,1,1,0,0,0,1,0,0.261,0.309,0.497,0.806
2019-07-23,4,3,2,1,0,0,0,0,1,1,0.262,0.311,0.496,0.806
2019-07-24,4,3,1,0,0,0,0,0,1,1,0.26,0.31,0.492,0.801
2019-07-26,4,4,0,2,1,0,0,0,0,1,0.263,0.312,0.494,0.806
2019-07-27,4,4,0,0,0,0,0,0,0,1,0.26,0.309,0.489,0.798
2019-07-28,4,4,0,0,0,0,0,0,0,1,0.257,0.306,0.484,0.789
2019-07-29,4,3,1,0,0,0,0,1,1,0,0.255,0.305,0.48,0.785
2019-07-30,4,4,0,0,0,0,0,1,0,2,0.252,0.302,0.475,0.776
2019-08-01,4,3,0,1,1,0,0,0,1,0,0.253,0.304,0.476,0.78
2019-08-02,4,4,1,2,0,0,0,2,0,1,0.255,0.306,0.476,0.782
2019-08-03,4,4,0,0,0,0,0,0,0,0,0.253,0.303,0.471,0.774
2019-08-04,4,3,0,1,1,0,0,0,1,0,0.253,0.305,0.473,0.778
2019-08-05,4,4,0,2,0,0,0,0,0,1,0.256,0.307,0.473,0.78
2019-08-07,3,3,0,0,0,0,0,0,0,1,0.254,0.304,0.47,0.774
2019-08-07,4,3,0,1,0,0,0,1,0,2,0.254,0.306,0.469,0.775
2019-08-08,5,4,2,1,0,1,0,0,1,1,0.254,0.307,0.471,0.779
2019-08-09,5,5,1,3,0,0,0,1,0,1,0.259,0.311,0.473,0.784
2019-08-10,4,4,1,3,1,0,1,1,0,1,0.263,0.315,0.485,0.8
2019-08-11,5,5,0,1,1,0,0,1,0,2,0.263,0.313,0.484,0.798
2019-08-15,5,5,1,2,0,0,0,2,0,2,0.264,0.314,0.483,0.798
2019-08-16,4,4,1,1,0,0,1,1,0,0,0.264,0.314,0.488,0.802
2019-08-17,4,3,1,2,1,0,0,1,1,0,0.267,0.317,0.492,0.809
2019-08-18,5,3,0,0,0,0,0,0,2,1,0.265,0.318,0.488,0.807
2019-08-20,4,4,1,0,0,0,0,0,0,2,0.263,0.316,0.484,0.8
2019-08-21,5,5,0,0,0,0,0,1,0,2,0.26,0.312,0.478,0.791
2019-08-22,3,3,0,0,0,0,0,0,0,0,0.258,0.31,0.475,0.786
2019-08-23,4,3,0,1,0,0,0,0,1,1,0.258,0.312,0.474,0.786
2019-08-24,4,3,0,1,0,0,0,0,1,1,0.259,0.314,0.473,0.787
2019-08-25,5,5,1,1,0,0,0,0,0,1,0.258,0.312,0.47,0.783
2019-08-27,5,4,1,2,2,0,0,1,1,0,0.26,0.315,0.475,0.79
2019-08-28,4,4,0,0,0,0,0,0,0,1,0.258,0.313,0.471,0.784
2019-08-29,4,3,0,0,0,0,0,0,1,1,0.256,0.312,0.468,0.78
2019-08-30,4,4,0,0,0,0,0,0,0,2,0.254,0.31,0.464,0.774
2019-08-31,4,4,0,0,0,0,0,0,0,1,0.252,0.307,0.46,0.767
2019-09-01,4,4,1,1,0,0,0,0,0,1,0.252,0.307,0.458,0.765
2019-09-02,5,3,2,1,1,0,0,0,2,0,0.253,0.31,0.459,0.769
2019-09-03,4,4,0,1,0,0,0,0,0,2,0.253,0.309,0.458,0.767
2019-09-04,5,5,1,2,0,0,0,1,0,0,0.254,0.31,0.457,0.767
2019-09-06,6,5,1,1,0,0,0,1,0,2,0.254,0.309,0.454,0.763
2019-09-07,4,4,1,2,2,0,0,1,0,1,0.256,0.31,0.459,0.769
2019-09-08,5,4,1,1,0,0,0,0,1,1,0.255,0.311,0.457,0.768
2019-09-09,4,3,0,1,0,0,0,1,1,1,0.256,0.312,0.456,0.768
2019-09-10,4,1,2,0,0,0,0,0,1,0,0.255,0.315,0.455,0.771
2019-09-11,4,4,0,2,0,0,0,0,0,1,0.257,0.317,0.456,0.772
2019-09-14,4,4,0,1,0,0,0,0,0,1,0.257,0.316,0.454,0.77
2019-09-14,4,3,0,0,0,0,0,0,1,1,0.256,0.316,0.452,0.767
2019-09-15,4,3,0,1,0,0,0,0,1,1,0.256,0.317,0.451,0.768
2019-09-17,5,5,0,3,1,0,0,1,0,1,0.26,0.319,0.454,0.774
2019-09-18,5,5,0,4,0,0,0,1,0,0,0.265,0.324,0.457,0.781
2019-09-19,4,4,2,2,1,0,0,1,0,1,0.266,0.325,0.46,0.784
2019-09-20,4,3,0,1,0,0,0,1,1,0,0.267,0.326,0.459,0.785
2019-09-21,4,4,0,0,0,0,0,0,0,3,0.265,0.324,0.456,0.779
2019-09-22,4,3,1,2,1,0,0,3,1,0,0.267,0.327,0.459,0.785
2019-09-24,4,3,2,3,2,0,0,0,1,0,0.271,0.331,0.465,0.796
2019-09-25,4,3,0,0,0,0,0,0,1,1,0.27,0.331,0.463,0.793
2019-09-26,3,3,0,0,0,0,0,0,0,1,0.268,0.329,0.46,0.789
2019-09-27,3,3,0,0,0,0,0,0,0,0,0.267,0.327,0.458,0.785
