date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-03-28,4,3,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25
2019-03-30,4,3,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.25
March,13,9,1,2,0,0,1,3,4,1,0.222,0.462,0.556,1.017
2019-03-31,5,3,1,2,0,0,1,3,2,0,0.222,0.462,0.556,1.017
2019-04-01,4,2,0,0,0,0,0,0,2,1,0.182,0.471,0.455,0.925
2019-04-03,5,4,1,1,0,0,0,1,1,2,0.2,0.455,0.4,0.854
2019-04-05,4,2,0,0,0,0,0,0,2,0,0.176,0.462,0.353,0.814
2019-04-06,4,4,0,0,0,0,0,0,0,0,0.143,0.4,0.286,0.686
2019-04-07,4,4,1,1,0,0,0,0,0,1,0.16,0.382,0.28,0.662
2019-04-08,1,1,0,0,0,0,0,0,0,0,0.154,0.371,0.269,0.641
2019-04-09,4,3,1,0,0,0,0,0,1,1,0.138,0.359,0.241,0.6
2019-04-10,4,4,0,0,0,0,0,1,0,2,0.121,0.326,0.212,0.538
2019-04-12,4,4,1,2,0,0,1,3,0,0,0.162,0.34,0.324,0.665
2019-04-13,3,3,0,0,0,0,0,0,0,1,0.15,0.32,0.3,0.62
2019-04-14,4,2,1,0,0,0,0,0,2,2,0.143,0.333,0.286,0.619
2019-04-15,4,4,0,1,0,0,0,0,0,0,0.152,0.328,0.283,0.61
2019-04-16,4,4,1,4,1,0,1,1,0,0,0.22,0.371,0.42,0.791
2019-04-17,5,5,0,0,0,0,0,0,0,0,0.2,0.343,0.382,0.725
2019-04-18,5,5,2,1,1,0,0,0,0,0,0.2,0.333,0.383,0.717
2019-04-19,5,5,0,1,0,0,0,1,0,1,0.2,0.325,0.369,0.694
2019-04-21,4,4,0,0,0,0,0,0,0,0,0.188,0.309,0.348,0.656
2019-04-22,5,4,2,1,1,0,0,0,1,1,0.192,0.314,0.356,0.67
2019-04-23,4,4,0,0,0,0,0,0,0,0,0.182,0.3,0.338,0.638
2019-04-24,1,1,0,0,0,0,0,0,0,0,0.179,0.297,0.333,0.63
2019-04-26,5,3,1,1,0,0,1,1,2,1,0.185,0.313,0.37,0.683
2019-04-29,4,3,1,1,0,0,1,2,1,1,0.19,0.32,0.405,0.725
2019-05-01,4,4,1,0,0,0,0,1,0,2,0.182,0.308,0.386,0.694
2019-05-01,5,5,0,1,0,0,0,2,0,2,0.183,0.303,0.376,0.679
2019-05-02,4,4,1,1,0,0,0,0,0,1,0.186,0.301,0.371,0.672
2019-05-04,4,3,0,0,0,0,0,0,1,1,0.18,0.299,0.36,0.659
2019-05-05,4,4,0,0,0,0,0,0,0,1,0.173,0.289,0.346,0.635
2019-05-06,5,5,1,1,0,0,0,0,0,3,0.174,0.286,0.339,0.625
2019-05-07,4,3,0,0,0,0,0,0,1,0,0.17,0.285,0.33,0.615
2019-05-08,4,4,0,1,0,0,0,0,0,1,0.172,0.284,0.328,0.611
2019-05-09,2,2,0,1,1,0,0,0,0,0,0.178,0.287,0.339,0.626
2019-05-10,4,4,0,0,0,0,0,0,0,1,0.172,0.279,0.328,0.606
2019-05-11,4,3,0,0,0,0,0,0,1,0,0.168,0.278,0.32,0.598
2019-05-12,4,4,1,2,0,0,1,2,0,2,0.178,0.284,0.349,0.633
2019-05-13,4,4,0,0,0,0,0,0,0,1,0.173,0.276,0.338,0.615
2019-05-14,4,4,0,2,0,0,0,0,0,1,0.182,0.282,0.343,0.625
2019-05-16,4,2,0,0,0,0,0,0,2,1,0.18,0.288,0.338,0.626
2019-05-17,4,4,0,0,0,0,0,0,0,1,0.175,0.28,0.329,0.609
2019-05-18,2,2,1,2,0,0,0,2,0,0,0.186,0.289,0.338,0.627
2019-05-19,4,4,0,0,0,0,0,0,0,2,0.181,0.282,0.329,0.611
2019-05-20,4,4,0,1,0,0,0,0,0,2,0.183,0.282,0.327,0.608
2019-05-21,3,2,0,0,0,0,0,0,1,0,0.181,0.282,0.323,0.605
2019-05-22,4,2,1,0,0,0,0,0,2,1,0.178,0.287,0.318,0.606
2019-05-23,4,3,0,0,0,0,0,0,1,2,0.175,0.286,0.313,0.599
2019-05-24,4,4,0,1,0,0,0,2,0,1,0.177,0.286,0.311,0.597
2019-05-25,3,2,0,1,0,0,0,0,1,1,0.181,0.292,0.313,0.605
2019-05-26,4,4,0,1,1,0,0,0,0,1,0.182,0.291,0.318,0.608
2019-05-27,4,3,0,0,0,0,0,0,0,1,0.179,0.29,0.312,0.602
2019-05-28,4,3,0,0,0,0,0,1,0,1,0.176,0.284,0.307,0.591
2019-05-29,4,4,0,0,0,0,0,0,0,2,0.172,0.279,0.3,0.579
2019-05-30,4,3,2,2,1,0,1,2,1,0,0.18,0.288,0.328,0.616
2019-05-31,4,4,1,2,0,0,0,0,0,0,0.187,0.292,0.332,0.623
2019-06-01,4,3,0,0,0,0,0,1,0,1,0.184,0.286,0.326,0.613
2019-06-02,3,3,0,1,0,0,0,0,0,1,0.187,0.287,0.326,0.613
2019-06-07,3,3,0,0,0,0,0,0,0,1,0.184,0.283,0.321,0.605
2019-06-10,3,3,0,0,0,0,0,0,0,0,0.181,0.279,0.317,0.596
2019-06-13,4,3,0,0,0,0,0,0,1,1,0.178,0.279,0.312,0.591
2019-06-16,3,3,0,1,0,0,0,0,0,0,0.18,0.28,0.312,0.592
2019-06-18,1,1,0,0,0,0,0,0,0,0,0.18,0.278,0.311,0.589
2019-06-19,1,1,0,0,0,0,0,0,0,0,0.179,0.277,0.309,0.586
