date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2019-03-28,4,4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
2019-03-29,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2019-03-30,4,3,1,1,1,0,0,0,1,0,0.091,0.167,0.182,0.348
March,15,14,1,1,1,0,0,0,1,2,0.071,0.133,0.143,0.276
2019-03-31,3,3,0,0,0,0,0,0,0,1,0.071,0.133,0.143,0.276
2019-04-01,1,1,0,0,0,0,0,0,0,0,0.067,0.125,0.133,0.258
2019-04-02,4,4,0,0,0,0,0,0,0,1,0.053,0.1,0.105,0.205
2019-04-04,4,4,0,0,0,0,0,0,0,0,0.043,0.083,0.087,0.17
2019-04-05,3,3,0,0,0,0,0,0,0,1,0.038,0.074,0.077,0.151
2019-04-07,1,0,0,0,0,0,0,1,0,0,0.038,0.107,0.077,0.184
2019-04-08,0,0,0,0,0,0,0,0,0,0,0.038,0.107,0.077,0.184
2019-04-09,4,4,0,0,0,0,0,0,0,2,0.033,0.094,0.067,0.16
2019-04-10,0,0,0,0,0,0,0,0,0,0,0.033,0.094,0.067,0.16
2019-04-12,3,3,0,0,0,0,0,0,0,0,0.03,0.086,0.061,0.146
2019-04-13,4,4,0,3,0,0,0,1,0,0,0.108,0.154,0.135,0.289
2019-04-15,5,4,1,0,0,0,0,0,1,0,0.098,0.159,0.122,0.281
2019-04-16,3,3,0,0,0,0,0,0,0,1,0.091,0.149,0.114,0.263
2019-04-17,4,4,0,1,0,0,0,0,0,0,0.104,0.157,0.125,0.282
2019-04-18,1,1,0,0,0,0,0,0,0,1,0.102,0.154,0.122,0.276
2019-04-19,4,3,0,0,0,0,0,1,0,1,0.096,0.143,0.115,0.258
2019-04-20,4,3,0,1,0,0,0,1,0,2,0.109,0.15,0.127,0.277
2019-04-21,4,4,0,0,0,0,0,0,0,2,0.102,0.141,0.119,0.259
2019-04-22,5,4,0,1,0,0,0,0,0,0,0.111,0.159,0.127,0.286
2019-04-23,1,1,0,0,0,0,0,0,0,0,0.109,0.157,0.125,0.282
2019-05-07,4,4,1,1,0,0,0,0,0,0,0.118,0.162,0.132,0.294
2019-05-08,4,4,0,1,0,0,0,0,0,1,0.125,0.167,0.139,0.306
2019-05-09,5,4,1,1,1,0,0,2,0,0,0.132,0.169,0.158,0.327
2019-05-11,4,3,0,0,0,0,0,1,1,0,0.127,0.172,0.152,0.324
2019-05-12,3,2,0,1,0,0,0,0,1,0,0.136,0.189,0.16,0.349
2019-05-13,0,0,0,0,0,0,0,0,0,0,0.136,0.189,0.16,0.349
2019-05-15,0,0,0,0,0,0,0,0,0,0,0.136,0.189,0.16,0.349
2019-05-17,0,0,0,0,0,0,0,0,0,0,0.136,0.189,0.16,0.349
2019-05-18,0,0,0,0,0,0,0,0,0,0,0.136,0.189,0.16,0.349
2019-05-19,3,3,0,0,0,0,0,0,0,0,0.131,0.183,0.155,0.338
2019-05-20,1,1,0,0,0,0,0,0,0,0,0.129,0.181,0.153,0.334
2019-05-23,5,5,0,0,0,0,0,0,0,0,0.122,0.172,0.144,0.316
2019-05-24,3,2,0,0,0,0,0,0,1,0,0.12,0.176,0.141,0.318
2019-05-25,4,4,0,1,0,0,0,0,0,2,0.125,0.179,0.146,0.325
2019-05-26,1,1,0,0,0,0,0,0,0,0,0.124,0.178,0.144,0.322
