,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-30,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,March,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2019-04-02,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,2019-04-03,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,2019-04-05,1,1,0,1,1,0,0,1,0,0,.250,.250,.500,.750
5,2019-04-06,1,1,0,0,0,0,0,0,0,0,.200,.200,.400,.600
6,2019-04-08,1,1,0,0,0,0,0,0,0,0,.167,.167,.333,.500
7,2019-04-09,1,1,0,0,0,0,0,0,0,0,.143,.143,.286,.429
8,2019-04-10,2,2,0,0,0,0,0,0,0,1,.111,.111,.222,.333
9,2019-04-12,0,0,0,0,0,0,0,0,0,0,.111,.111,.222,.333
10,2019-04-13,1,1,0,0,0,0,0,0,0,0,.100,.100,.200,.300
11,2019-04-14,1,1,0,0,0,0,0,0,0,1,.091,.091,.182,.273
12,2019-04-15,1,1,0,0,0,0,0,0,0,0,.083,.083,.167,.250
13,2019-04-16,5,5,1,0,0,0,0,0,0,0,.059,.059,.118,.176
14,2019-04-17,1,1,0,0,0,0,0,0,0,0,.056,.056,.111,.167
15,2019-04-19,3,3,0,0,0,0,0,0,0,2,.048,.048,.095,.143
16,2019-04-22,3,2,0,0,0,0,0,0,1,0,.043,.083,.087,.170
17,2019-04-23,1,1,0,0,0,0,0,0,0,0,.042,.080,.083,.163
18,2019-04-24,0,0,0,0,0,0,0,0,0,0,.042,.080,.083,.163
19,2019-04-25,2,2,0,0,0,0,0,0,0,2,.038,.074,.077,.151
20,2019-04-27,1,1,0,0,0,0,0,0,0,0,.037,.071,.074,.146
21,April,27,26,1,1,1,0,0,1,1,7,.038,.074,.077,.151
22,2019-05-01,1,1,1,0,0,0,0,0,0,0,.036,.069,.071,.140
23,2019-05-03,1,1,0,0,0,0,0,0,0,1,.034,.067,.069,.136
24,2019-05-17,1,1,0,0,0,0,0,0,0,1,.033,.065,.067,.131
25,2019-05-24,1,1,1,1,0,0,1,1,0,0,.065,.094,.194,.287
26,2019-05-25,5,5,0,0,0,0,0,0,0,2,.056,.081,.167,.248
27,2019-05-28,2,1,1,0,0,0,0,0,1,1,.054,.103,.162,.265
28,2019-05-30,0,0,0,0,0,0,0,0,0,0,.054,.103,.162,.265
29,2019-05-31,0,0,0,0,0,0,0,0,0,0,.054,.103,.162,.265
30,May,11,10,3,1,0,0,1,1,1,5,.100,.182,.400,.582
31,2019-06-02,3,3,0,0,0,0,0,0,0,3,.050,.095,.150,.245
32,June,3,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000
33,2019-07-28,4,3,1,1,0,0,0,1,0,1,.070,.109,.163,.272
34,2019-07-30,1,1,0,0,0,0,0,0,0,1,.068,.106,.159,.266
35,2019-07-31,0,0,1,0,0,0,0,0,0,0,.068,.106,.159,.266
36,July,5,4,2,1,0,0,0,1,0,2,.250,.200,.250,.450
37,2019-08-01,1,1,0,0,0,0,0,0,0,1,.067,.104,.156,.260
38,2019-08-02,1,1,0,0,0,0,0,0,0,1,.065,.102,.152,.254
39,2019-08-03,1,1,0,0,0,0,0,0,0,0,.064,.100,.149,.249
40,2019-08-04,1,1,0,0,0,0,0,0,0,1,.063,.098,.146,.244
41,2019-08-05,1,1,0,0,0,0,0,0,0,0,.061,.096,.143,.239
42,2019-08-05,2,2,0,0,0,0,0,0,0,1,.059,.093,.137,.230
43,2019-08-06,0,0,0,0,0,0,0,0,0,0,.059,.093,.137,.230
44,2019-08-07,2,2,1,1,1,0,0,0,0,0,.075,.107,.170,.277
45,2019-08-10,0,0,0,0,0,0,0,0,0,0,.075,.107,.170,.277
46,2019-08-11,1,1,0,0,0,0,0,0,0,1,.074,.105,.167,.272
47,2019-08-14,0,0,0,0,0,0,0,0,0,0,.074,.105,.167,.272
48,2019-08-15,1,0,0,0,0,0,0,0,1,0,.074,.121,.167,.287
49,2019-08-16,0,0,0,0,0,0,0,0,0,0,.074,.121,.167,.287
50,2019-08-17,4,3,1,1,0,0,0,0,0,1,.088,.145,.175,.321
51,2019-08-18,2,2,0,0,0,0,0,0,0,1,.085,.141,.169,.310
52,2019-08-21,1,1,0,0,0,0,0,0,0,0,.083,.138,.167,.305
53,2019-08-23,1,1,0,0,0,0,0,0,0,0,.082,.136,.164,.300
54,August,19,17,2,2,1,0,0,0,1,7,.118,.211,.176,.387
