,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,1,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,2021-04-03,1,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000
2,2021-04-04,4,4,1,1,0,0,0,0,0,1,.333,.333,.333,.667
3,2021-04-05,3,2,0,1,0,0,0,0,1,0,.375,.444,.375,.819
4,2021-04-09,4,4,1,1,0,0,0,0,0,1,.333,.385,.333,.718
5,2021-04-10,3,3,0,0,0,0,0,0,0,0,.267,.313,.267,.579
6,2021-04-11,3,1,0,0,0,0,0,0,2,0,.250,.368,.250,.618
7,2021-04-12,4,4,0,0,0,0,0,0,0,1,.200,.304,.200,.504
8,2021-04-13,1,1,0,1,1,0,0,1,0,0,.238,.333,.286,.619
9,2021-04-14,3,3,0,0,0,0,0,0,0,1,.208,.296,.250,.546
10,2021-04-15,4,4,0,0,0,0,0,0,0,2,.179,.258,.214,.472
11,2021-04-16,4,3,1,1,0,0,1,1,1,0,.194,.286,.323,.608
12,2021-04-17,5,5,1,1,0,0,0,0,0,1,.194,.275,.306,.581
13,2021-04-18,4,4,1,1,0,0,0,0,0,0,.200,.273,.300,.573
14,2021-04-20,5,4,1,0,0,0,0,0,1,1,.182,.265,.273,.538
15,2021-04-22,1,0,0,0,0,0,0,0,1,0,.182,.280,.273,.553
16,2021-04-23,4,3,0,1,0,0,0,1,1,1,.191,.296,.277,.573
17,2021-04-24,4,4,0,0,0,0,0,0,0,0,.176,.276,.255,.531
18,2021-04-25,4,4,0,0,0,0,0,0,0,2,.164,.258,.236,.494
19,2021-04-26,4,4,0,0,0,0,0,0,0,0,.153,.242,.220,.463
20,2021-04-28,4,4,2,2,1,0,1,1,0,0,.175,.257,.302,.559
21,2021-04-30,4,4,0,1,0,0,0,0,0,1,.179,.257,.299,.555
22,April,74,67,9,12,2,0,2,4,7,13,.179,.257,.299,.555
23,2021-05-02,4,4,1,3,0,1,0,1,0,1,.211,.282,.352,.634
24,2021-05-03,5,5,2,0,0,0,0,0,0,0,.197,.265,.329,.594
25,2021-05-04,4,4,0,0,0,0,0,0,0,4,.188,.253,.313,.565
26,2021-05-06,4,4,0,2,0,1,0,2,0,1,.202,.264,.345,.609
27,2021-05-07,3,3,0,0,0,0,0,0,0,1,.195,.255,.333,.589
28,2021-05-08,5,3,2,0,0,0,0,0,2,1,.189,.263,.322,.585
29,2021-05-12,5,5,0,4,1,0,0,2,0,0,.221,.288,.358,.646
30,2021-05-13,4,4,1,1,0,0,0,0,0,1,.222,.287,.354,.641
31,2021-05-14,4,4,0,0,0,0,0,0,0,0,.214,.277,.340,.617
32,2021-05-15,4,4,0,0,0,0,0,0,0,2,.206,.267,.327,.594
33,2021-05-16,2,2,0,1,0,0,0,0,0,1,.211,.271,.330,.602
34,2021-05-17,4,4,0,1,0,0,0,0,0,0,.212,.270,.327,.598
35,2021-05-18,5,5,1,2,0,0,0,0,0,1,.220,.276,.331,.606
36,2021-05-19,4,3,0,2,0,0,0,0,1,1,.231,.290,.339,.629
37,2021-05-21,4,4,0,0,0,0,0,0,0,3,.224,.281,.328,.610
38,2021-05-22,4,3,1,1,1,0,0,0,1,0,.227,.288,.336,.624
39,2021-05-23,5,5,0,4,1,1,0,2,0,0,.248,.306,.376,.682
40,2021-05-24,5,4,1,1,0,0,0,0,1,0,.248,.309,.372,.681
41,2021-05-25,4,2,0,0,0,0,0,0,1,0,.245,.314,.367,.681
42,2021-05-28,3,3,0,0,0,0,0,0,0,2,.239,.308,.359,.667
43,2021-05-30,3,3,0,1,0,0,0,0,0,0,.241,.308,.359,.667
44,2021-05-30,4,3,1,1,0,0,0,2,1,1,.243,.313,.358,.671
45,2021-05-31,4,4,1,2,0,0,1,1,0,1,.250,.317,.382,.699
46,2021-05-31,3,3,1,1,0,0,0,0,0,0,.252,.318,.381,.698
47,May,96,88,12,27,3,3,1,10,7,21,.307,.365,.443,.808
48,2021-06-01,4,3,2,1,0,0,0,0,1,0,.253,.322,.380,.702
49,2021-06-04,4,4,0,0,0,0,0,0,0,1,.247,.315,.370,.685
50,2021-06-05,5,5,1,2,0,0,0,1,0,0,.251,.317,.371,.688
51,2021-06-06,4,4,1,1,0,0,1,2,0,1,.251,.316,.386,.702
52,2021-06-08,5,5,3,3,0,1,0,1,0,1,.261,.323,.403,.726
53,2021-06-09,4,4,1,1,0,0,0,0,0,0,.261,.321,.400,.721
54,2021-06-11,5,5,2,4,0,0,0,0,0,0,.276,.333,.411,.744
55,2021-06-12,5,5,0,2,0,0,0,0,0,1,.279,.335,.411,.746
56,2021-06-13,3,3,0,1,0,0,0,1,0,1,.280,.335,.409,.744
57,2021-06-14,4,3,1,0,0,0,0,0,0,0,.276,.333,.403,.736
58,2021-06-15,5,5,1,3,0,0,0,1,0,1,.284,.339,.408,.747
59,2021-06-16,5,5,1,1,0,0,0,1,0,1,.282,.336,.403,.739
60,2021-06-17,5,5,1,2,0,0,0,0,0,2,.284,.338,.403,.741
61,2021-06-18,5,5,0,1,0,0,0,0,0,1,.282,.335,.398,.733
62,2021-06-19,4,3,0,1,0,0,0,0,1,1,.283,.338,.397,.735
63,2021-06-20,4,4,0,0,0,0,0,0,0,1,.278,.332,.390,.722
64,2021-06-21,4,3,0,0,0,0,0,0,1,1,.274,.331,.385,.716
65,2021-06-22,4,4,0,0,0,0,0,1,0,1,.270,.325,.378,.704
66,2021-06-24,4,4,1,0,0,0,0,0,0,2,.265,.320,.372,.692
67,2021-06-25,4,4,1,1,0,0,1,1,0,1,.265,.319,.382,.701
68,2021-06-27,4,3,0,2,1,0,0,0,1,0,.270,.326,.390,.716
69,2021-06-28,5,5,2,3,1,0,0,0,0,1,.276,.331,.398,.729
70,2021-06-30,3,3,0,0,0,0,0,0,0,1,.273,.327,.394,.721
71,2021-06-30,3,3,0,0,0,0,0,0,0,1,.270,.324,.389,.712
72,June,102,97,18,29,2,1,2,9,4,20,.299,.333,.402,.735
73,2021-07-01,4,4,0,1,0,0,0,0,0,2,.270,.322,.387,.709
74,2021-07-02,5,5,0,1,0,0,0,0,0,1,.268,.320,.383,.703
75,2021-07-03,4,4,0,0,0,0,0,0,0,0,.264,.316,.377,.693
76,2021-07-04,4,4,0,1,0,0,0,0,0,0,.264,.315,.375,.690
77,2021-07-05,5,5,1,2,1,0,0,1,0,1,.266,.316,.380,.696
78,2021-07-07,3,3,0,1,0,0,0,0,0,0,.267,.316,.379,.696
79,2021-07-07,3,3,0,0,0,0,0,0,0,2,.264,.313,.375,.688
80,2021-07-08,5,5,0,1,0,0,0,0,0,1,.263,.311,.372,.683
81,2021-07-09,4,4,0,0,0,0,0,0,0,3,.260,.307,.367,.674
82,2021-07-10,5,5,0,1,1,0,0,1,0,1,.259,.306,.367,.673
83,2021-07-16,4,4,1,2,1,0,0,0,0,0,.262,.308,.372,.681
84,2021-07-17,4,3,0,1,1,0,0,1,0,0,.262,.307,.375,.683
85,2021-07-18,5,5,0,2,0,0,0,0,0,0,.265,.309,.376,.685
86,2021-07-19,5,5,0,3,0,0,0,0,0,1,.270,.313,.379,.693
87,2021-07-20,5,5,1,1,1,0,0,1,0,1,.269,.312,.380,.691
88,2021-07-21,5,5,0,0,0,0,0,0,0,3,.265,.307,.374,.681
89,2021-07-22,5,4,0,0,0,0,0,0,1,2,.262,.305,.369,.675
90,2021-07-23,5,5,1,1,0,0,0,0,0,1,.261,.304,.367,.671
91,2021-07-24,4,4,0,1,0,0,0,0,0,2,.260,.303,.365,.669
92,2021-07-25,4,3,1,2,0,0,0,0,0,1,.264,.308,.368,.676
93,2021-07-27,4,4,1,1,0,0,0,0,0,0,.264,.308,.367,.674
94,2021-07-28,4,4,0,0,0,0,0,0,0,0,.261,.304,.362,.667
95,2021-07-30,5,4,1,1,1,0,0,0,1,1,.261,.306,.364,.670
96,2021-07-31,5,3,3,2,1,0,1,2,1,0,.264,.310,.378,.687
97,July,106,100,10,25,7,0,1,6,3,23,.250,.274,.350,.624
98,2021-08-01,4,4,0,2,2,0,0,0,0,1,.267,.312,.385,.696
99,2021-08-02,5,4,1,3,1,0,0,1,1,1,.272,.318,.392,.710
100,2021-08-03,4,4,0,0,0,0,0,0,0,2,.269,.315,.387,.702
101,2021-08-04,5,5,0,1,0,0,0,0,0,1,.268,.313,.385,.698
102,2021-08-05,4,3,0,1,0,0,0,0,1,0,.269,.315,.384,.699
103,2021-08-06,5,4,1,1,0,0,0,2,0,0,.269,.314,.383,.697
104,2021-08-07,5,5,0,2,0,0,0,0,0,1,.270,.315,.383,.698
105,2021-08-09,5,5,2,4,1,1,0,1,0,1,.277,.320,.396,.717
106,2021-08-10,5,5,1,2,0,0,0,1,0,0,.279,.321,.396,.718
107,2021-08-11,4,4,0,0,0,0,0,0,0,3,.276,.318,.392,.711
108,2021-08-12,4,4,0,1,1,0,0,0,0,1,.276,.318,.393,.711
109,2021-08-13,5,5,0,1,0,0,0,1,0,2,.275,.316,.391,.708
110,2021-08-15,5,5,1,2,0,1,0,3,0,0,.276,.317,.396,.713
111,2021-08-16,5,5,1,2,1,0,0,0,0,0,.278,.318,.399,.717
112,2021-08-17,4,4,1,1,0,0,0,0,0,2,.278,.318,.397,.715
113,2021-08-18,6,6,0,2,1,0,0,1,0,0,.278,.318,.399,.716
114,2021-08-20,5,4,2,2,1,0,0,1,1,0,.280,.321,.402,.723
115,2021-08-21,5,4,2,3,0,0,1,1,1,0,.285,.326,.412,.738
116,2021-08-22,4,4,1,3,0,0,1,2,0,0,.289,.330,.422,.752
117,2021-08-24,4,3,1,1,0,0,0,0,1,0,.289,.331,.421,.753
118,2021-08-25,4,3,0,0,0,0,0,0,1,1,.287,.331,.419,.749
119,2021-08-26,5,4,0,1,0,0,0,1,0,0,.287,.329,.417,.746
120,2021-08-27,4,4,1,1,0,0,0,0,0,1,.287,.329,.416,.744
121,2021-08-28,5,5,0,0,0,0,0,0,0,3,.284,.325,.411,.736
122,2021-08-29,5,5,1,1,0,0,0,0,0,1,.283,.324,.409,.733
123,2021-08-31,5,5,2,5,0,0,2,5,0,0,.290,.331,.428,.759
124,August,121,113,18,42,8,2,4,20,6,21,.372,.397,.584,.981
125,2021-09-01,5,5,0,1,0,0,0,0,0,2,.289,.329,.426,.755
126,2021-09-02,4,4,0,1,0,0,0,0,0,0,.289,.329,.424,.753
127,2021-09-03,5,5,0,1,0,0,0,0,0,2,.288,.327,.422,.749
128,2021-09-04,4,4,0,0,0,0,0,0,0,1,.286,.325,.418,.743
129,2021-09-05,5,5,2,2,0,0,0,1,0,2,.287,.326,.418,.744
130,2021-09-06,4,4,0,1,0,0,0,0,0,2,.287,.325,.417,.742
131,2021-09-07,1,1,0,1,0,0,0,0,0,0,.288,.326,.418,.744
132,2021-09-08,3,3,0,1,0,0,0,0,0,1,.288,.326,.417,.744
133,2021-09-09,5,5,0,0,0,0,0,0,0,1,.285,.323,.413,.736
134,2021-09-10,4,4,0,0,0,0,0,0,0,0,.283,.321,.410,.731
135,2021-09-12,4,4,0,0,0,0,0,0,0,3,.281,.319,.407,.725
136,2021-09-14,4,4,0,0,0,0,0,0,0,1,.279,.316,.404,.720
137,2021-09-14,3,3,1,1,1,0,0,1,0,1,.279,.316,.405,.721
138,2021-09-24,4,4,0,2,0,0,0,0,0,2,.281,.318,.406,.724
139,2021-09-25,4,4,1,2,0,0,0,0,0,0,.282,.319,.406,.726
140,2021-09-26,5,5,0,0,0,0,0,0,0,0,.280,.316,.403,.719
141,2021-09-27,5,5,2,4,1,0,1,3,0,0,.285,.320,.414,.734
142,2021-09-28,5,4,1,0,0,0,0,0,1,1,.283,.319,.411,.730
143,2021-09-29,5,5,0,1,1,0,0,1,0,2,.282,.318,.411,.729
144,September,79,78,7,18,3,0,1,6,1,21,.231,.241,.308,.548
145,2021-10-01,5,3,2,1,0,0,0,1,2,0,.282,.321,.410,.731
146,2021-10-03,5,4,1,1,0,0,0,1,1,1,.282,.321,.409,.730
147,October,10,7,3,2,0,0,0,2,3,1,.286,.500,.286,.786
