,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2016-04-04,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2016-04-05,4,4,1,2,2,0,0,0,0,0,.500,.500,1.000,1.500
2,2016-04-08,1,0,0,0,0,0,0,0,1,0,.500,.600,1.000,1.600
3,2016-04-09,2,2,0,0,0,0,0,0,0,1,.333,.429,.667,1.095
4,2016-04-10,4,3,0,0,0,0,0,0,1,1,.222,.364,.444,.808
5,2016-04-12,2,2,0,0,0,0,0,0,0,1,.182,.308,.364,.671
6,2016-04-13,5,5,0,3,1,0,0,1,0,1,.313,.389,.500,.889
7,2016-04-14,3,3,0,1,0,0,0,1,0,2,.316,.381,.474,.855
8,2016-04-15,3,3,0,1,0,0,0,1,0,1,.318,.375,.455,.830
9,2016-04-16,1,1,0,0,0,0,0,0,0,0,.304,.360,.435,.795
10,2016-04-18,4,3,1,1,0,0,1,3,1,2,.308,.379,.538,.918
11,2016-04-19,4,4,0,2,1,0,0,1,0,1,.333,.394,.567,.961
12,2016-04-20,4,4,0,1,1,0,0,2,0,0,.324,.378,.559,.937
13,2016-04-23,4,3,1,1,0,0,0,0,1,1,.324,.390,.541,.931
14,2016-04-24,1,1,0,0,0,0,0,0,0,1,.316,.381,.526,.907
15,2016-04-25,1,1,0,0,0,0,0,0,0,0,.308,.372,.513,.885
16,2016-04-26,4,4,2,2,0,0,0,0,0,1,.326,.383,.512,.895
17,2016-04-27,1,1,0,0,0,0,0,0,0,0,.318,.375,.500,.875
18,2016-04-29,1,1,0,0,0,0,0,0,0,1,.311,.367,.489,.856
19,2016-04-30,1,1,1,1,0,0,0,0,0,0,.326,.380,.500,.880
20,April,50,46,6,15,5,0,1,9,4,14,.326,.380,.500,.880
21,2016-05-01,4,4,0,1,0,0,0,1,0,0,.320,.370,.480,.850
22,2016-05-02,4,4,0,0,0,0,0,0,0,2,.296,.345,.444,.789
23,2016-05-03,1,1,0,0,0,0,0,0,0,0,.291,.339,.436,.775
24,2016-05-05,1,1,0,0,0,0,0,0,0,0,.286,.333,.429,.762
25,2016-05-06,1,1,0,0,0,0,0,0,0,0,.281,.328,.421,.749
26,2016-05-07,1,1,0,0,0,0,0,0,0,0,.276,.323,.414,.736
27,2016-05-08,4,4,0,0,0,0,0,0,0,2,.258,.303,.387,.690
28,2016-05-10,3,3,0,0,0,0,0,0,0,0,.246,.290,.369,.659
29,2016-05-11,1,1,0,1,0,0,0,0,0,0,.258,.300,.379,.679
30,May,20,20,0,2,0,0,0,1,0,4,.100,.100,.100,.200
31,2016-08-12,3,3,0,0,0,0,0,0,0,1,.246,.288,.362,.650
32,2016-08-13,4,4,0,0,0,0,0,0,0,1,.233,.273,.342,.615
33,2016-08-14,1,1,0,0,0,0,0,0,0,1,.230,.269,.338,.607
34,2016-08-15,4,4,0,1,0,0,0,0,0,0,.231,.268,.333,.602
35,2016-08-17,4,4,1,1,0,0,0,1,0,2,.232,.267,.329,.597
36,2016-08-19,2,2,0,0,0,0,0,0,0,1,.226,.261,.321,.583
37,2016-08-21,4,4,1,0,0,0,0,0,0,2,.216,.250,.307,.557
38,2016-08-22,3,3,0,0,0,0,0,0,0,1,.209,.242,.297,.539
39,2016-08-23,1,1,0,1,0,0,0,0,0,0,.217,.250,.304,.554
40,2016-08-24,1,0,0,0,0,0,0,0,1,0,.217,.258,.304,.562
41,August,27,26,2,3,0,0,0,1,1,9,.115,.148,.115,.264
