,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-05,4,3,0,1,0,0,0,0,1,2,.333,.500,.333,.833
1,2021-04-06,5,2,1,0,0,0,0,1,3,1,.200,.556,.200,.756
2,2021-04-07,5,4,1,2,0,0,0,0,1,0,.333,.571,.333,.905
3,2021-04-08,5,5,0,3,2,0,0,0,0,0,.429,.579,.571,1.150
4,2021-04-10,4,3,0,1,1,0,0,0,1,1,.412,.565,.588,1.153
5,2021-04-11,5,5,1,3,1,0,1,2,0,1,.455,.571,.773,1.344
6,2021-04-13,4,2,1,0,0,0,0,0,2,2,.417,.563,.708,1.271
7,2021-04-13,4,4,0,3,0,0,0,3,0,1,.464,.583,.714,1.298
8,2021-04-14,5,5,1,3,0,0,0,0,0,1,.485,.585,.697,1.282
9,2021-04-17,4,3,0,2,0,0,0,0,0,0,.500,.591,.694,1.285
10,2021-04-17,3,3,1,1,0,0,0,0,0,0,.487,.574,.667,1.241
11,2021-04-18,4,4,0,1,0,0,0,0,0,2,.465,.549,.628,1.177
12,2021-04-20,5,5,0,0,0,0,0,0,0,3,.417,.500,.563,1.063
13,2021-04-22,1,1,0,0,0,0,0,0,0,1,.408,.491,.551,1.042
14,2021-04-23,5,5,2,3,1,0,1,4,0,0,.426,.500,.630,1.130
15,2021-04-24,4,2,0,0,0,0,0,0,2,1,.411,.500,.607,1.107
16,2021-04-25,4,3,0,0,0,0,0,0,0,1,.390,.486,.576,1.062
17,2021-04-27,1,1,0,0,0,0,0,0,0,1,.383,.479,.567,1.046
18,2021-04-28,4,3,0,0,0,0,0,0,1,2,.365,.467,.540,1.006
19,2021-04-30,5,4,0,1,1,0,0,0,1,1,.358,.463,.537,1.000
20,April,81,67,8,24,6,0,2,10,12,21,.358,.463,.537,1.000
21,2021-05-01,4,4,0,0,0,0,0,0,0,2,.338,.440,.507,.948
22,2021-05-02,0,0,0,0,0,0,0,0,0,0,.338,.440,.507,.948
23,May,4,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000
24,2021-07-03,6,6,2,3,0,0,0,0,0,1,.351,.444,.506,.951
25,2021-07-04,5,5,1,2,0,0,0,3,0,2,.354,.442,.500,.942
26,2021-07-04,3,3,0,0,0,0,0,0,0,2,.341,.429,.482,.911
27,2021-07-05,4,4,1,2,1,0,0,0,0,0,.348,.431,.494,.926
28,2021-07-07,4,4,1,1,1,0,0,0,0,2,.344,.425,.495,.919
