,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-07-08,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2021-07-10,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2021-07-16,3,3,1,1,0,0,0,0,0,2,.125,.125,.125,.250
3,2021-07-19,4,3,0,2,1,0,0,0,0,0,.273,.333,.364,.697
4,2021-07-21,4,3,1,1,0,0,0,1,0,2,.286,.375,.357,.732
5,2021-07-25,3,3,0,1,1,0,0,0,0,0,.294,.368,.412,.780
6,2021-07-28,3,3,0,0,0,0,0,0,0,2,.250,.318,.350,.668
7,July,22,20,2,5,2,0,0,1,0,8,.250,.318,.350,.668
8,2021-08-01,3,3,0,0,0,0,0,0,0,2,.217,.280,.304,.584
9,2021-08-04,3,2,0,0,0,0,0,0,1,2,.200,.286,.280,.566
10,2021-08-19,3,3,0,1,0,0,0,0,0,2,.214,.290,.286,.576
11,2021-08-26,1,1,0,0,0,0,0,0,0,1,.207,.281,.276,.557
12,2021-08-27,1,1,0,0,0,0,0,0,0,0,.200,.273,.267,.539
13,2021-08-28,1,1,0,0,0,0,0,0,0,0,.194,.265,.258,.523
14,August,12,11,0,1,0,0,0,0,1,7,.091,.167,.091,.258
