,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-03-29,4,3,0,1,0,0,0,0,1,0,.333,.500,.333,.833
1,2018-03-30,5,4,0,1,1,0,0,1,1,1,.286,.444,.429,.873
2,March,12,10,0,2,1,0,0,1,2,2,.200,.333,.300,.633
3,2018-03-31,3,3,0,0,0,0,0,0,0,1,.200,.333,.300,.633
4,2018-04-02,5,5,0,2,1,0,0,1,0,0,.267,.353,.400,.753
5,2018-04-03,4,3,0,0,0,0,0,1,1,1,.222,.333,.333,.667
6,2018-04-04,4,4,0,2,0,0,0,0,0,1,.273,.360,.364,.724
7,2018-04-05,3,3,0,1,0,0,0,0,0,0,.280,.357,.360,.717
8,2018-04-06,5,5,0,1,0,0,0,0,0,0,.267,.333,.333,.667
9,2018-04-07,4,4,0,1,0,0,0,0,0,1,.265,.324,.324,.648
10,2018-04-08,4,2,0,0,0,0,0,0,2,0,.250,.341,.306,.647
11,2018-04-09,5,5,1,1,0,0,1,1,0,2,.244,.326,.366,.692
12,2018-04-10,4,4,0,0,0,0,0,0,0,0,.222,.300,.333,.633
13,2018-04-11,4,3,0,0,0,0,0,0,1,1,.208,.296,.313,.609
14,2018-04-12,3,2,0,0,0,0,0,0,1,0,.200,.298,.300,.598
15,2018-04-13,4,4,1,0,0,0,0,0,0,1,.185,.279,.278,.556
16,2018-04-14,3,3,0,1,0,0,0,0,0,0,.193,.281,.281,.562
17,2018-04-15,4,3,0,1,0,0,0,0,1,1,.200,.294,.283,.578
18,2018-04-16,4,4,0,0,0,0,0,0,0,1,.188,.278,.266,.543
19,2018-04-17,3,3,1,1,1,0,0,0,0,1,.194,.280,.284,.564
20,2018-04-18,4,4,1,2,1,0,0,2,0,1,.211,.291,.310,.601
21,2018-04-20,4,3,0,0,0,0,0,0,1,0,.203,.289,.297,.586
22,2018-04-21,4,4,0,2,0,0,0,0,0,0,.218,.299,.308,.606
23,2018-04-22,1,1,0,0,0,0,0,0,0,0,.215,.295,.304,.599
24,2018-04-23,5,5,2,2,0,0,1,4,0,1,.226,.301,.345,.646
25,2018-04-24,1,1,0,0,0,0,0,0,0,1,.224,.298,.341,.639
26,2018-04-25,4,3,0,0,0,0,0,0,1,2,.216,.296,.330,.626
27,2018-04-27,4,4,0,0,0,0,0,0,0,1,.207,.284,.315,.600
28,2018-04-28,0,0,0,0,0,0,0,0,0,0,.207,.284,.315,.600
29,2018-04-29,3,3,0,0,0,0,0,0,0,1,.200,.276,.305,.582
30,2018-04-30,1,1,0,0,0,0,0,0,0,0,.198,.274,.302,.576
31,April,94,86,6,17,3,0,2,9,8,17,.198,.266,.302,.568
32,2018-05-01,1,1,0,0,0,0,0,0,0,0,.196,.271,.299,.570
33,2018-05-02,1,1,0,0,0,0,0,0,0,0,.194,.269,.296,.564
34,2018-05-05,4,4,0,1,0,0,0,1,0,1,.196,.268,.294,.562
35,2018-05-06,1,1,0,0,0,0,0,0,0,0,.194,.265,.291,.557
36,2018-05-07,1,0,0,0,0,0,0,1,0,0,.194,.263,.291,.554
