,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,4,3,3,3,0,1,0,1,1,0,1.000,1.000,1.667,2.667
1,2021-04-02,2,2,0,0,0,0,0,0,0,2,.600,.667,1.000,1.667
2,2021-04-03,2,2,0,0,0,0,0,0,0,0,.429,.500,.714,1.214
3,2021-04-04,4,3,1,1,1,0,0,0,1,0,.400,.500,.700,1.200
4,2021-04-06,1,1,0,0,0,0,0,0,0,0,.364,.462,.636,1.098
5,2021-04-07,3,3,1,3,2,1,0,2,0,0,.500,.563,1.000,1.563
6,2021-04-09,1,1,1,1,0,1,0,0,0,0,.533,.588,1.133,1.722
7,April,17,15,6,8,3,3,0,3,2,2,.533,.588,1.133,1.722
8,2021-06-23,4,4,0,0,0,0,0,0,0,3,.421,.476,.895,1.371
9,2021-06-25,1,1,0,0,0,0,0,0,0,1,.400,.455,.850,1.305
10,2021-06-27,3,2,0,0,0,0,0,0,1,1,.364,.440,.773,1.213
11,2021-06-28,1,1,0,0,0,0,0,0,0,1,.348,.423,.739,1.162
12,2021-06-30,1,1,0,0,0,0,0,0,0,1,.333,.407,.708,1.116
13,June,10,9,0,0,0,0,0,0,1,7,.000,.100,.000,.100
14,2021-07-02,1,1,0,0,0,0,0,0,0,0,.320,.393,.680,1.073
15,2021-07-03,3,1,0,0,0,0,0,0,2,0,.308,.419,.654,1.073
16,2021-07-07,1,1,0,0,0,0,0,0,0,0,.296,.406,.630,1.036
17,2021-07-08,1,1,0,0,0,0,0,0,0,0,.286,.394,.607,1.001
18,2021-07-09,4,3,1,0,0,0,0,0,1,3,.258,.378,.548,.927
19,2021-07-10,4,4,0,2,1,0,0,0,0,2,.286,.390,.571,.962
20,2021-07-11,1,1,1,1,0,0,1,1,0,0,.306,.405,.667,1.071
21,2021-07-16,4,4,0,1,0,0,0,0,0,0,.300,.391,.625,1.016
22,2021-07-18,4,3,1,2,0,0,0,1,1,1,.326,.420,.628,1.048
23,July,23,19,3,6,1,0,1,2,4,6,.316,.435,.526,.961
