,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-09-02,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2019-09-03,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2019-09-04,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,2019-09-05,2,2,0,1,0,0,0,0,0,0,.200,.200,.200,.400
4,2019-09-06,1,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333
5,2019-09-07,1,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286
6,2019-09-11,1,0,0,0,0,0,0,0,1,0,.143,.250,.143,.393
7,2019-09-14,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,.393
8,2019-09-15,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,.393
9,2019-09-17,3,3,0,0,0,0,0,0,0,2,.100,.182,.100,.282
10,2019-09-19,2,1,0,0,0,0,0,0,1,0,.091,.231,.091,.322
11,2019-09-20,1,1,0,0,0,0,0,0,0,0,.083,.214,.083,.298
12,2019-09-21,1,1,0,0,0,0,0,0,0,0,.077,.200,.077,.277
13,2019-09-24,1,1,0,0,0,0,0,0,0,1,.071,.188,.071,.259
14,2019-09-25,3,3,0,0,0,0,0,0,0,0,.059,.158,.059,.217
15,2019-09-27,1,1,0,0,0,0,0,0,0,1,.056,.150,.056,.206
16,September,20,18,0,1,0,0,0,0,2,8,.056,.150,.056,.206
