,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,3,0,0,0,0,0,1,1,1,.000,.250,.000,.250
1,2019-03-30,4,4,0,0,0,0,0,0,0,2,.000,.125,.000,.125
2,March,12,11,0,0,0,0,0,1,1,4,.000,.083,.000,.083
3,2019-03-31,4,4,0,0,0,0,0,0,0,1,.000,.083,.000,.083
4,2019-04-01,3,3,0,0,0,0,0,0,0,2,.000,.067,.000,.067
5,2019-04-03,4,3,0,0,0,0,0,1,1,1,.000,.105,.000,.105
6,2019-04-05,1,1,0,0,0,0,0,0,0,0,.000,.100,.000,.100
7,2019-04-06,3,3,0,0,0,0,0,0,0,2,.000,.087,.000,.087
8,2019-04-09,3,2,0,0,0,0,0,0,1,1,.000,.115,.000,.115
9,2019-04-10,3,2,0,0,0,0,0,0,1,2,.000,.138,.000,.138
10,2019-04-14,3,3,0,0,0,0,0,0,0,1,.000,.125,.000,.125
11,2019-04-15,4,1,0,0,0,0,0,0,2,0,.000,.194,.000,.194
12,2019-04-16,3,3,0,0,0,0,0,0,0,2,.000,.179,.000,.180
13,2019-04-17,3,3,0,1,0,0,0,0,0,0,.029,.190,.029,.219
14,April,30,24,0,1,0,0,0,1,5,11,.042,.233,.042,.275
15,2019-06-28,4,4,0,0,0,0,0,0,0,1,.026,.174,.026,.200
16,2019-06-30,1,1,0,0,0,0,0,0,0,0,.025,.170,.025,.195
17,June,5,5,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,2019-07-03,2,2,0,0,0,0,0,0,0,0,.024,.163,.024,.187
19,2019-07-04,3,3,0,0,0,0,0,0,0,2,.022,.154,.022,.176
20,July,5,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000
21,2019-09-03,4,4,0,0,0,0,0,0,0,2,.020,.143,.020,.163
22,2019-09-04,4,4,0,0,0,0,0,0,0,2,.019,.133,.019,.152
23,2019-09-06,1,1,0,0,0,0,0,0,0,1,.019,.131,.019,.150
24,2019-09-12,3,3,0,1,0,0,0,0,0,0,.035,.141,.035,.176
25,2019-09-14,4,4,0,0,0,0,0,0,0,3,.033,.132,.033,.165
26,2019-09-18,3,3,0,0,0,0,0,0,0,2,.031,.127,.031,.158
27,2019-09-20,5,5,1,3,0,0,0,0,0,0,.072,.158,.072,.230
28,2019-09-22,2,2,0,0,0,0,0,0,0,1,.070,.154,.070,.224
29,2019-09-24,3,3,0,0,0,0,0,0,0,1,.068,.148,.068,.216
30,2019-09-25,4,3,1,2,0,0,0,0,1,1,.091,.176,.091,.267
31,2019-09-26,4,3,2,2,0,0,2,2,1,1,.113,.202,.188,.390
32,2019-09-28,1,1,0,0,0,0,0,0,0,1,.111,.200,.185,.385
33,2019-09-29,3,3,0,0,0,0,0,0,0,2,.107,.194,.179,.372
34,September,41,39,4,8,0,0,2,2,2,17,.205,.244,.359,.603
