,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-05-07,4,4,1,1,1,0,0,0,0,1,.250,.250,.500,.750
1,2021-05-09,3,3,0,0,0,0,0,0,0,2,.143,.143,.286,.429
2,2021-05-10,4,2,0,0,0,0,0,1,0,1,.111,.111,.222,.333
3,2021-05-12,3,2,0,0,0,0,0,1,0,1,.091,.083,.182,.265
4,2021-05-14,3,3,0,0,0,0,0,0,0,2,.071,.067,.143,.210
5,2021-05-16,3,3,0,1,0,0,0,2,0,2,.118,.111,.176,.288
6,2021-05-18,3,3,0,0,0,0,0,0,0,0,.100,.095,.150,.245
7,2021-05-20,2,2,0,1,0,0,0,1,0,1,.136,.130,.182,.312
8,2021-05-21,3,3,0,0,0,0,0,0,0,3,.120,.115,.160,.275
9,2021-05-23,1,1,0,0,0,0,0,0,0,1,.115,.111,.154,.265
10,2021-05-26,4,3,0,0,0,0,0,0,0,2,.103,.100,.138,.238
11,2021-05-27,3,3,0,0,0,0,0,0,0,0,.094,.091,.125,.216
12,May,36,32,1,3,1,0,0,5,0,16,.094,.091,.125,.216
