,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-08-08,3,2,1,1,1,0,0,0,1,0,.500,.667,1.000,1.667
1,2020-08-15,0,0,0,0,0,0,0,0,0,0,.500,.667,1.000,1.667
2,2020-08-17,3,3,0,0,0,0,0,0,0,1,.200,.333,.400,.733
3,2020-08-20,4,4,0,2,0,0,0,0,0,0,.333,.400,.444,.844
4,2020-08-26,2,2,0,1,1,0,0,0,0,1,.364,.417,.545,.962
5,2020-08-28,3,3,1,1,0,0,0,1,0,0,.357,.400,.500,.900
6,2020-08-29,3,3,0,0,0,0,0,0,0,3,.294,.333,.412,.745
7,2020-08-30,3,3,0,1,0,0,0,0,0,1,.300,.333,.400,.733
8,August,21,20,2,6,2,0,0,1,1,6,.300,.333,.400,.733
9,2020-09-04,3,3,0,2,0,0,0,2,0,0,.348,.375,.435,.810
10,2020-09-06,4,4,0,0,0,0,0,1,0,0,.296,.321,.370,.692
11,2020-09-11,0,0,0,0,0,0,0,0,0,0,.296,.321,.370,.692
12,2020-09-13,0,0,0,0,0,0,0,0,0,0,.296,.321,.370,.692
13,2020-09-15,1,0,0,0,0,0,0,0,1,0,.296,.345,.370,.715
14,2020-09-16,1,1,0,1,0,0,0,0,0,0,.321,.367,.393,.760
15,2020-09-21,0,0,0,0,0,0,0,0,0,0,.321,.367,.393,.760
16,2020-09-22,0,0,0,0,0,0,0,0,0,0,.321,.367,.393,.760
17,September,9,8,0,3,0,0,0,3,1,0,.375,.444,.375,.819
