,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,5,3,1,1,0,0,1,1,2,1,.333,.600,1.333,1.933
1,2021-04-03,5,4,1,1,0,0,0,1,1,2,.286,.500,.714,1.214
2,2021-04-04,5,3,1,0,0,0,0,0,2,0,.200,.467,.500,.967
3,2021-04-05,4,4,0,0,0,0,0,0,0,2,.143,.368,.357,.726
4,2021-04-06,5,4,1,0,0,0,0,0,1,4,.111,.333,.278,.611
5,2021-04-09,5,4,1,1,1,0,0,1,0,1,.136,.310,.318,.628
6,2021-04-10,4,3,2,2,0,0,1,1,1,0,.200,.364,.480,.844
7,2021-04-11,4,4,0,1,0,0,0,0,0,2,.207,.351,.448,.800
8,2021-04-12,4,3,0,1,1,0,0,0,0,1,.219,.366,.469,.835
9,2021-04-13,4,3,1,1,1,0,0,0,1,1,.229,.378,.486,.864
10,2021-04-14,4,4,0,0,0,0,0,0,0,2,.205,.347,.436,.783
11,2021-04-16,5,4,2,1,1,0,0,1,1,2,.209,.352,.442,.794
12,2021-04-17,5,5,1,0,0,0,0,0,0,2,.188,.322,.396,.718
13,2021-04-18,4,4,0,0,0,0,0,0,0,2,.173,.302,.365,.667
14,2021-04-20,5,4,0,0,0,0,0,0,1,4,.161,.294,.339,.633
15,2021-04-21,5,4,1,1,0,0,0,0,0,2,.167,.301,.333,.635
16,2021-04-22,5,5,1,1,0,0,1,2,0,0,.169,.295,.369,.664
17,2021-04-23,5,5,0,0,0,0,0,0,0,4,.157,.277,.343,.620
18,2021-04-24,4,4,0,0,0,0,0,0,0,1,.149,.264,.324,.589
19,2021-04-25,4,4,0,0,0,0,0,0,0,2,.141,.253,.308,.560
20,2021-04-26,5,5,0,0,0,0,0,1,0,1,.133,.240,.289,.529
21,2021-04-27,1,1,0,0,0,0,0,0,0,1,.131,.237,.286,.523
22,2021-04-28,4,4,0,0,0,0,0,0,0,1,.125,.228,.273,.500
23,2021-04-30,4,4,1,1,0,0,1,1,0,2,.130,.229,.304,.533
24,April,105,92,14,12,4,0,4,9,10,40,.130,.229,.304,.533
25,2021-05-01,4,4,0,0,0,0,0,0,0,3,.125,.220,.292,.512
26,2021-05-02,5,5,1,3,0,0,1,3,0,1,.149,.237,.337,.574
27,2021-05-04,4,3,0,0,0,0,0,0,1,0,.144,.237,.327,.564
28,2021-05-05,4,3,0,0,0,0,0,0,1,1,.140,.238,.318,.556
29,2021-05-07,4,4,0,0,0,0,0,0,0,2,.135,.230,.306,.536
30,2021-05-08,4,4,0,0,0,0,0,0,0,0,.130,.223,.296,.519
31,2021-05-10,4,4,1,1,0,0,1,1,0,2,.134,.224,.319,.543
32,2021-05-11,4,4,0,2,0,0,0,0,0,0,.146,.232,.325,.557
33,2021-05-12,5,5,0,2,1,0,0,3,0,1,.156,.238,.336,.574
34,2021-05-13,4,4,0,0,0,0,0,0,0,1,.152,.231,.326,.557
35,2021-05-14,4,4,1,1,0,0,1,2,0,2,.154,.232,.346,.577
36,2021-05-15,6,6,1,0,0,0,0,1,0,1,.148,.223,.331,.554
37,2021-05-16,5,2,1,1,1,0,0,1,1,0,.153,.235,.340,.575
38,2021-05-17,4,4,1,2,0,0,1,1,0,1,.162,.241,.365,.606
39,2021-05-18,4,4,0,0,0,0,0,0,0,2,.158,.235,.355,.591
40,2021-05-19,4,4,0,0,0,0,0,0,0,1,.154,.230,.346,.576
41,2021-05-20,4,3,2,1,0,0,1,2,1,0,.157,.236,.365,.601
42,2021-05-21,4,3,1,0,0,0,0,0,1,0,.154,.236,.358,.594
43,2021-05-22,4,4,0,0,0,0,0,0,0,2,.151,.231,.349,.581
44,2021-05-23,3,3,0,0,0,0,0,0,0,2,.148,.228,.343,.571
45,2021-05-25,4,4,1,1,0,0,1,1,0,3,.150,.228,.358,.586
46,2021-05-26,5,5,1,2,0,0,0,0,0,0,.157,.232,.360,.592
47,2021-05-27,4,3,2,1,0,0,1,1,1,1,.160,.238,.376,.613
48,2021-05-28,1,1,0,0,0,0,0,0,0,1,.159,.236,.374,.610
49,2021-05-29,4,3,1,1,0,0,0,0,1,1,.162,.242,.373,.614
50,2021-05-30,5,5,1,1,0,0,1,1,0,0,.163,.241,.384,.625
51,2021-05-31,5,4,0,0,0,0,0,0,1,2,.160,.240,.376,.616
52,May,112,102,15,19,2,0,8,17,8,30,.186,.250,.441,.691
53,2021-06-01,4,4,0,1,0,0,0,0,0,0,.162,.240,.374,.614
54,2021-06-03,5,5,1,0,0,0,0,0,0,2,.158,.235,.365,.599
55,2021-06-04,5,5,0,1,0,0,0,0,0,1,.159,.234,.361,.594
56,2021-06-05,4,4,1,1,0,0,1,2,0,1,.160,.234,.373,.607
57,2021-06-06,4,4,0,1,1,0,0,2,0,0,.162,.234,.375,.609
58,2021-06-08,4,3,0,0,0,0,0,0,1,1,.160,.235,.370,.604
59,2021-06-09,4,3,0,1,0,0,0,0,1,0,.162,.239,.369,.608
60,2021-06-10,4,3,0,0,0,0,0,0,1,1,.160,.239,.364,.604
61,2021-06-11,2,2,1,1,1,0,0,0,0,0,.163,.241,.370,.611
62,2021-06-12,4,3,1,2,0,0,0,1,0,0,.170,.249,.374,.623
63,2021-06-13,4,4,1,1,0,0,1,2,0,0,.171,.249,.385,.634
64,2021-06-14,5,5,1,1,0,0,0,2,0,2,.172,.248,.381,.629
65,2021-06-15,4,3,0,0,0,0,0,1,0,2,.169,.248,.376,.624
66,2021-06-17,4,4,0,0,0,0,0,0,0,2,.167,.245,.370,.614
67,2021-06-18,4,4,0,1,0,0,0,0,0,2,.168,.245,.368,.613
68,2021-06-19,4,4,0,2,0,0,0,2,0,0,.173,.248,.370,.618
69,2021-06-20,4,4,0,0,0,0,0,1,0,1,.171,.245,.364,.609
70,2021-06-21,6,4,1,2,0,0,1,3,1,1,.176,.250,.378,.628
71,2021-06-22,5,4,0,1,0,0,0,1,1,0,.177,.253,.376,.628
72,2021-06-24,4,2,0,0,0,0,0,0,2,2,.175,.256,.373,.629
73,2021-06-25,4,4,1,1,0,0,1,1,0,2,.176,.256,.382,.638
74,2021-06-26,3,2,0,0,0,0,0,0,1,1,.175,.256,.380,.636
75,2021-06-27,4,3,0,0,0,0,0,0,1,2,.173,.256,.375,.632
76,2021-06-28,4,3,1,1,0,0,0,0,1,2,.175,.259,.375,.634
77,2021-06-29,4,4,0,0,0,0,0,0,0,4,.173,.256,.370,.626
78,June,103,90,9,18,2,0,4,18,10,29,.200,.291,.356,.647
79,2021-07-02,3,3,0,1,0,0,0,0,0,2,.174,.257,.369,.626
80,2021-07-03,3,3,0,1,0,0,0,1,0,0,.176,.258,.369,.627
81,2021-07-04,4,3,0,1,0,0,0,0,1,1,.177,.261,.369,.629
82,2021-07-05,4,4,1,1,0,0,1,3,0,1,.178,.260,.377,.638
83,2021-07-06,4,4,0,1,0,0,0,1,0,0,.179,.260,.375,.636
84,2021-07-07,5,5,1,1,1,0,0,0,0,0,.180,.259,.376,.635
85,2021-07-08,4,4,0,0,0,0,0,0,0,0,.177,.256,.371,.628
86,2021-07-09,4,3,1,0,0,0,0,0,1,2,.176,.256,.367,.624
87,2021-07-10,4,4,1,1,0,0,1,1,0,2,.177,.256,.375,.632
88,2021-07-11,4,3,1,0,0,0,0,0,0,0,.175,.256,.372,.628
89,2021-07-16,4,2,0,1,1,0,0,2,2,1,.177,.262,.376,.638
90,2021-07-17,5,4,0,0,0,0,0,0,1,1,.175,.261,.371,.632
91,2021-07-18,4,4,0,0,0,0,0,0,0,3,.173,.258,.367,.625
92,2021-07-19,6,6,1,0,0,0,0,0,0,2,.170,.254,.360,.614
93,2021-07-20,4,4,0,2,1,0,0,0,0,1,.174,.257,.365,.621
94,2021-07-21,3,3,0,0,0,0,0,0,0,3,.172,.255,.362,.616
95,2021-07-23,4,3,0,1,1,0,0,1,1,1,.173,.257,.364,.621
96,2021-07-24,4,3,0,0,0,0,0,0,1,0,.172,.257,.361,.618
97,2021-07-25,1,1,0,0,0,0,0,0,0,0,.171,.256,.360,.616
98,2021-07-26,5,5,0,1,0,0,0,0,0,2,.172,.256,.358,.613
99,2021-07-27,4,4,1,1,0,0,1,1,0,2,.173,.256,.365,.620
100,2021-07-28,5,4,1,1,1,0,0,0,1,1,.174,.257,.366,.624
101,2021-07-29,5,5,0,0,0,0,0,0,0,1,.171,.254,.361,.616
102,2021-07-30,4,3,1,1,0,0,0,0,1,1,.173,.257,.361,.618
103,2021-07-31,4,4,1,1,0,0,1,3,0,2,.173,.257,.368,.624
104,July,101,91,10,16,5,0,4,13,9,29,.176,.257,.363,.620
105,2021-08-01,5,4,0,1,0,0,0,0,1,0,.174,.258,.367,.625
106,2021-08-03,4,3,1,1,0,0,1,1,1,1,.175,.260,.374,.635
107,2021-08-04,4,4,0,1,0,0,0,0,0,1,.176,.260,.373,.633
108,2021-08-05,4,4,1,1,0,0,1,3,0,3,.177,.260,.379,.640
109,2021-08-08,3,3,0,0,0,0,0,0,0,2,.176,.259,.377,.635
110,2021-08-09,4,3,1,0,0,0,0,0,1,2,.174,.258,.374,.632
111,2021-08-10,4,2,0,0,0,0,0,0,2,1,.173,.261,.372,.632
112,2021-08-11,5,5,0,1,1,0,0,1,0,2,.174,.260,.372,.632
113,2021-08-12,5,5,1,1,1,0,0,1,0,2,.174,.259,.373,.632
114,2021-08-13,4,4,1,1,0,0,1,2,0,0,.175,.259,.379,.638
115,2021-08-14,3,3,0,0,0,0,0,0,0,0,.173,.258,.376,.633
116,2021-08-16,5,3,2,0,0,0,0,0,2,2,.172,.259,.373,.632
117,2021-08-18,1,1,0,0,0,0,0,0,0,0,.172,.258,.372,.631
118,2021-08-21,3,2,0,0,0,0,0,1,0,0,.171,.257,.371,.627
119,2021-08-24,1,1,0,0,0,0,0,0,0,1,.171,.256,.370,.626
120,2021-08-26,4,3,1,1,0,0,0,0,1,1,.172,.258,.369,.628
121,2021-08-28,1,1,0,0,0,0,0,0,0,1,.171,.258,.369,.626
122,2021-08-29,3,3,0,0,0,0,0,0,0,2,.170,.256,.366,.622
123,2021-08-30,3,3,0,0,0,0,0,0,0,0,.169,.255,.363,.618
124,August,66,57,8,8,2,0,3,9,8,21,.140,.242,.333,.576
125,2021-09-01,1,1,0,1,1,0,0,0,0,0,.171,.256,.367,.623
126,2021-09-01,4,4,2,2,1,0,1,1,0,1,.174,.258,.378,.636
127,2021-09-03,3,2,1,1,0,0,1,1,1,1,.175,.261,.385,.646
128,2021-09-04,4,1,1,0,0,0,0,1,2,1,.175,.263,.384,.647
129,2021-09-05,1,1,0,0,0,0,0,0,0,0,.175,.262,.383,.645
130,2021-09-06,4,3,1,0,0,0,0,0,0,1,.173,.262,.381,.642
131,2021-09-10,4,3,1,2,0,0,1,1,1,1,.177,.266,.389,.655
