,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2013-06-07,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2013-06-08,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,June,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,2013-09-04,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,2013-09-05,1,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250
5,2013-09-10,1,1,0,1,0,0,0,0,0,0,.250,.400,.250,.650
6,2013-09-17,1,1,0,0,0,0,0,0,0,0,.200,.333,.200,.533
7,2013-09-21,1,1,0,0,0,0,0,0,0,1,.167,.286,.167,.452
8,2013-09-28,1,1,0,0,0,0,0,0,0,1,.143,.250,.143,.393
9,2013-09-29,2,2,0,0,0,0,0,0,0,1,.111,.200,.111,.311
10,September,8,7,0,1,0,0,0,0,1,3,.143,.250,.143,.393
