,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,4,0,1,1,0,0,1,0,1,.250,.250,.500,.750
1,2019-03-29,5,5,0,0,0,0,0,0,0,1,.111,.111,.222,.333
2,2019-03-30,4,4,0,1,0,0,0,1,0,2,.154,.154,.231,.385
3,March,13,13,0,2,1,0,0,2,0,4,.154,.154,.231,.385
4,2019-04-01,4,4,0,0,0,0,0,0,0,1,.118,.118,.176,.294
5,2019-04-02,3,2,0,0,0,0,0,0,1,2,.105,.150,.158,.308
6,2019-04-03,4,4,0,1,0,0,0,0,0,3,.130,.167,.174,.341
7,2019-04-05,4,3,0,0,0,0,0,0,1,2,.115,.179,.154,.332
8,2019-04-06,4,4,0,0,0,0,0,0,0,2,.100,.156,.133,.290
9,2019-04-07,5,5,0,0,0,0,0,1,0,1,.086,.135,.114,.249
10,2019-04-08,2,2,0,2,1,0,0,0,0,0,.135,.179,.189,.369
11,2019-04-09,4,3,0,1,0,0,0,1,1,0,.150,.209,.200,.409
12,2019-04-11,3,3,0,0,0,0,0,0,0,0,.140,.196,.186,.382
13,2019-04-12,7,7,0,2,1,0,0,1,0,2,.160,.208,.220,.428
14,2019-04-13,3,3,0,0,0,0,0,0,0,0,.151,.196,.208,.404
15,2019-04-14,4,4,0,0,0,0,0,0,0,2,.140,.183,.193,.376
16,2019-04-15,4,4,1,2,1,0,1,3,0,0,.164,.203,.279,.482
17,2019-04-18,1,1,0,0,0,0,0,0,0,0,.161,.200,.274,.474
18,2019-04-19,5,5,1,2,2,0,0,0,0,1,.179,.214,.313,.528
19,2019-04-20,1,0,0,0,0,0,0,1,0,0,.179,.211,.313,.525
20,2019-04-21,4,4,1,1,0,0,0,1,0,1,.183,.213,.310,.523
21,2019-04-22,4,4,0,0,0,0,0,0,0,2,.173,.203,.293,.496
22,2019-04-23,4,4,0,1,0,0,0,0,0,0,.177,.205,.291,.496
23,2019-04-26,4,4,1,1,0,0,0,0,0,1,.181,.207,.289,.496
24,2019-04-27,1,0,1,0,0,0,0,0,1,0,.181,.216,.289,.505
25,2019-04-28,4,3,3,2,1,0,1,1,1,0,.198,.239,.349,.588
26,2019-04-29,2,2,0,0,0,0,0,0,0,1,.193,.234,.341,.575
