,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2015-07-10,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667
1,2015-07-11,3,2,0,0,0,0,0,1,1,0,.200,.333,.200,.533
2,2015-07-12,3,2,0,0,0,0,0,0,1,0,.143,.333,.143,.476
3,2015-07-17,1,1,0,0,0,0,0,0,0,1,.125,.300,.125,.425
4,2015-07-19,3,2,1,2,0,0,0,0,1,0,.300,.462,.300,.762
5,2015-07-31,4,4,1,2,1,0,1,2,0,1,.357,.471,.643,1.113
6,July,17,14,2,5,1,0,1,3,3,2,.357,.471,.643,1.113
7,2015-08-01,3,3,0,1,0,0,0,0,0,1,.353,.450,.588,1.038
8,2015-08-02,1,1,0,1,1,0,0,0,0,0,.389,.476,.667,1.143
9,2015-08-03,4,4,1,1,1,0,0,2,0,1,.364,.440,.636,1.076
10,2015-08-04,5,5,0,1,0,0,0,1,0,2,.333,.400,.556,.956
11,2015-08-05,1,1,0,0,0,0,0,0,0,0,.321,.387,.536,.923
12,2015-08-07,4,4,0,2,1,0,0,0,0,1,.344,.400,.563,.962
13,2015-08-08,5,5,1,1,0,0,0,1,0,1,.324,.375,.514,.888
14,2015-08-09,3,3,1,1,0,0,1,2,0,0,.325,.372,.575,.947
15,2015-08-10,4,4,0,0,0,0,0,0,0,3,.295,.340,.523,.863
16,2015-08-11,1,1,0,0,0,0,0,0,0,0,.289,.333,.511,.844
17,2015-08-14,4,4,0,0,0,0,0,0,0,0,.265,.308,.469,.777
18,2015-08-15,4,4,0,0,0,0,0,0,0,2,.245,.286,.434,.720
19,2015-08-16,3,3,0,0,0,0,0,0,0,1,.232,.271,.411,.682
20,2015-08-19,3,3,0,2,1,0,0,0,0,0,.254,.290,.441,.731
21,2015-08-21,3,3,0,0,0,0,0,0,0,3,.242,.277,.419,.696
22,2015-08-22,3,3,0,0,0,0,0,0,0,2,.231,.265,.400,.665
23,2015-08-24,4,4,0,0,0,0,0,0,0,1,.217,.250,.377,.627
24,2015-08-27,2,2,0,0,0,0,0,0,0,1,.211,.243,.366,.609
25,2015-08-31,4,4,0,0,0,0,0,0,0,1,.200,.231,.347,.577
26,August,61,61,3,10,4,0,1,6,0,20,.164,.164,.279,.443
27,2015-09-08,4,4,2,2,0,0,0,1,0,2,.215,.244,.354,.598
28,2015-09-09,4,4,0,0,0,0,0,1,0,3,.205,.233,.337,.570
29,2015-09-10,3,3,0,1,0,0,0,0,0,1,.209,.236,.337,.573
30,2015-09-12,3,2,1,1,0,0,1,1,1,0,.216,.250,.375,.625
31,2015-09-13,1,1,0,0,0,0,0,0,0,1,.213,.247,.371,.618
32,2015-09-16,3,3,1,1,0,0,1,3,0,0,.217,.250,.402,.652
33,2015-09-19,4,4,0,1,0,0,0,0,0,2,.219,.250,.396,.646
34,2015-09-22,5,5,2,2,0,0,1,3,0,0,.228,.257,.426,.683
35,2015-09-26,2,2,0,1,1,0,0,0,0,0,.233,.262,.437,.699
36,2015-09-27,4,4,0,1,0,0,0,1,0,1,.234,.261,.430,.691
37,2015-09-30,2,2,0,0,0,0,0,0,0,0,.229,.257,.422,.679
38,September,35,34,6,10,1,0,3,10,1,10,.294,.314,.588,.902
39,2015-10-02,1,1,0,0,0,0,0,0,0,0,.227,.254,.418,.673
40,2015-10-03,2,2,0,0,0,0,0,0,0,0,.223,.250,.411,.661
41,October,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
