,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2020-07-24,5,5,0,1,1,0,0,0,0,2,.200,.200,.400,.600
1,2020-07-26,5,3,1,0,0,0,0,0,2,1,.125,.300,.250,.550
2,2020-07-27,5,4,2,2,0,0,1,3,1,1,.250,.400,.583,.983
3,2020-07-28,4,4,1,2,0,0,0,1,0,1,.313,.421,.563,.984
4,2020-07-29,1,1,0,0,0,0,0,0,0,1,.294,.400,.529,.929
5,2020-07-30,4,4,0,0,0,0,0,0,0,2,.238,.333,.429,.762
6,July,24,21,4,5,1,0,1,4,3,8,.238,.333,.429,.762
7,2020-08-01,5,4,0,2,0,0,0,1,1,1,.280,.379,.440,.819
8,2020-08-02,2,2,0,0,0,0,0,0,0,2,.259,.355,.407,.762
9,2020-08-05,4,3,0,1,1,0,0,0,1,1,.267,.371,.433,.805
10,2020-08-08,4,4,1,1,0,0,1,2,0,3,.265,.359,.500,.859
11,2020-08-08,4,4,0,1,0,0,0,0,0,0,.263,.349,.474,.822
12,2020-08-09,4,3,1,1,1,0,0,0,1,1,.268,.362,.488,.850
13,2020-08-10,1,1,0,0,0,0,0,0,0,0,.262,.354,.476,.830
14,2020-08-11,3,2,0,0,0,0,0,0,1,0,.250,.353,.455,.808
15,2020-08-13,6,6,1,0,0,0,0,0,0,2,.220,.316,.400,.716
16,2020-08-14,1,1,0,0,0,0,0,0,0,0,.216,.310,.392,.702
17,2020-08-15,2,1,0,1,0,0,0,0,1,0,.231,.333,.404,.737
18,2020-08-19,4,4,1,0,0,0,0,0,0,0,.214,.313,.375,.688
19,2020-08-20,2,2,0,0,0,0,0,0,0,1,.207,.303,.362,.665
20,2020-08-21,1,1,0,1,1,0,0,2,0,0,.220,.313,.390,.703
21,2020-08-22,4,3,0,2,0,0,0,0,1,1,.242,.338,.403,.741
22,2020-08-23,1,1,1,1,0,0,0,1,0,0,.254,.347,.413,.760
23,2020-08-24,1,1,0,0,0,0,0,0,0,0,.250,.342,.406,.749
24,2020-08-25,3,3,1,0,0,0,0,0,0,0,.239,.329,.388,.717
25,August,52,46,6,11,3,0,1,6,6,12,.239,.327,.370,.696
26,2020-09-01,3,3,0,0,0,0,0,0,0,0,.229,.316,.371,.688
27,2020-09-02,5,5,0,0,0,0,0,0,0,0,.213,.298,.347,.644
28,2020-09-03,2,1,0,0,0,0,0,0,1,1,.211,.302,.342,.644
29,2020-09-04,1,1,0,0,0,0,0,0,0,1,.208,.299,.338,.636
30,2020-09-05,3,3,0,0,0,0,0,0,0,0,.200,.289,.325,.614
31,2020-09-07,1,1,0,0,0,0,0,0,0,1,.198,.286,.321,.607
32,2020-09-20,1,1,0,0,0,0,0,0,0,1,.195,.283,.317,.600
33,2020-09-21,2,2,0,0,0,0,0,0,0,1,.190,.277,.310,.586
34,2020-09-22,3,3,0,0,0,0,0,0,0,1,.184,.268,.299,.567
35,2020-09-24,1,1,0,0,0,0,0,0,0,1,.182,.265,.295,.561
36,September,22,21,0,0,0,0,0,0,1,7,.000,.045,.000,.045
