,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-12,5,3,2,1,0,0,0,0,2,1,.333,.600,.333,.933
1,2021-04-13,4,3,1,0,0,0,0,0,1,1,.167,.444,.167,.611
2,2021-04-15,5,4,1,1,1,0,0,2,0,1,.200,.357,.300,.657
3,2021-04-16,4,4,0,0,0,0,0,0,0,2,.143,.278,.214,.492
4,2021-04-17,5,5,0,0,0,0,0,0,0,1,.105,.217,.158,.375
5,2021-04-18,1,1,0,0,0,0,0,0,0,1,.100,.208,.150,.358
6,2021-04-19,5,5,2,1,1,0,0,0,0,2,.120,.207,.200,.407
7,2021-04-20,4,3,1,1,0,0,1,1,0,1,.143,.242,.321,.564
8,2021-04-21,3,3,1,1,0,0,0,0,0,0,.161,.250,.323,.573
9,2021-04-23,3,3,0,0,0,0,0,0,0,2,.147,.231,.294,.525
10,2021-04-24,5,4,2,0,0,0,0,0,1,2,.132,.227,.263,.490
11,2021-04-25,4,4,0,0,0,0,0,0,0,1,.119,.208,.238,.446
12,2021-04-27,4,4,0,0,0,0,0,0,0,2,.109,.192,.217,.410
13,2021-04-28,4,4,1,1,0,0,1,2,0,0,.120,.196,.280,.476
14,2021-04-30,4,3,1,0,0,0,0,0,1,0,.113,.200,.264,.464
15,April,60,53,12,6,2,0,2,5,5,17,.113,.200,.264,.464
16,2021-05-01,4,4,0,2,1,0,0,4,0,0,.140,.219,.298,.517
17,2021-05-04,4,4,1,1,0,0,0,0,0,2,.148,.221,.295,.516
18,2021-05-06,4,3,1,0,0,0,0,0,1,0,.141,.222,.281,.504
19,2021-05-07,5,5,1,1,0,0,1,1,0,1,.145,.221,.319,.540
20,2021-05-08,5,5,0,0,0,0,0,0,0,4,.135,.207,.297,.505
21,2021-05-09,4,4,1,1,1,0,0,0,0,2,.141,.209,.308,.517
22,2021-05-11,4,4,0,0,0,0,0,0,0,2,.134,.200,.293,.493
23,2021-05-12,1,1,0,0,0,0,0,0,0,0,.133,.198,.289,.487
24,2021-05-13,3,3,1,1,0,0,1,2,0,1,.140,.202,.326,.528
25,2021-05-14,6,5,2,2,1,0,0,3,1,0,.154,.220,.341,.561
26,2021-05-15,5,5,1,1,0,0,0,0,0,1,.156,.219,.333,.552
27,2021-05-17,4,3,1,2,0,0,0,0,1,0,.172,.239,.343,.582
