,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2021-04-04,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2021-04-05,2,1,2,1,1,0,0,1,1,0,.250,.400,.500,.900
3,2021-04-06,0,0,0,0,0,0,0,0,0,0,.250,.400,.500,.900
4,2021-04-07,3,3,1,2,0,0,0,0,0,0,.429,.500,.571,1.071
5,2021-04-08,5,5,1,2,1,0,0,1,0,3,.417,.462,.583,1.045
6,2021-04-10,4,4,1,1,0,0,0,0,0,2,.375,.412,.500,.912
7,2021-04-13,3,2,1,0,0,0,0,0,0,1,.333,.400,.444,.844
8,2021-04-14,1,1,0,0,0,0,0,0,0,0,.316,.381,.421,.802
9,2021-04-14,2,1,0,0,0,0,0,1,0,0,.300,.348,.400,.748
10,2021-04-15,1,1,0,1,1,0,0,0,0,0,.333,.375,.476,.851
11,2021-04-16,4,4,0,0,0,0,0,0,0,1,.280,.321,.400,.721
12,April,28,25,6,7,3,0,0,3,1,8,.280,.321,.400,.721
13,2021-05-01,4,4,0,0,0,0,0,0,0,2,.241,.281,.345,.626
14,2021-05-05,4,4,0,2,2,0,0,0,0,1,.273,.306,.424,.730
15,2021-05-06,4,4,0,1,0,0,0,0,0,2,.270,.300,.405,.705
16,2021-05-07,5,5,1,2,1,0,1,1,0,1,.286,.311,.500,.811
17,2021-05-08,1,1,0,1,1,0,0,0,0,0,.302,.326,.535,.861
18,2021-05-11,1,1,0,0,0,0,0,0,0,0,.295,.319,.523,.842
19,2021-05-12,4,4,1,1,1,0,0,0,0,1,.292,.314,.521,.835
20,2021-05-13,4,4,0,1,0,0,0,0,0,1,.288,.309,.500,.809
21,2021-05-15,3,3,1,1,0,0,0,0,0,0,.291,.310,.491,.801
22,2021-05-17,5,5,0,0,0,0,0,0,0,3,.267,.286,.450,.736
23,2021-05-18,4,4,0,0,0,0,0,0,0,0,.250,.269,.422,.690
24,2021-05-19,3,3,0,0,0,0,0,0,0,3,.239,.257,.403,.660
25,2021-05-21,0,0,0,0,0,0,0,0,0,0,.239,.257,.403,.660
26,2021-05-23,1,1,1,1,0,0,1,3,0,0,.250,.268,.456,.724
27,2021-05-24,5,5,2,2,0,0,1,1,0,2,.260,.276,.493,.770
28,2021-05-28,3,2,0,0,0,0,0,0,1,0,.253,.278,.480,.758
29,2021-05-31,4,4,1,1,0,0,0,0,0,0,.253,.277,.468,.746
30,May,55,54,7,13,5,0,3,5,1,16,.241,.255,.500,.754
31,2021-06-01,5,4,2,1,0,0,1,1,1,3,.253,.284,.494,.778
32,2021-06-02,0,0,0,0,0,0,0,0,0,0,.253,.284,.494,.778
33,2021-06-03,5,3,0,0,0,0,0,0,2,1,.244,.290,.477,.767
34,2021-06-04,1,1,0,0,0,0,0,0,0,0,.241,.287,.471,.758
35,2021-06-05,4,4,1,1,0,0,1,1,0,1,.242,.286,.495,.780
36,2021-06-06,4,3,1,1,0,0,0,0,1,0,.245,.294,.489,.784
37,2021-06-08,5,5,0,0,0,0,0,0,0,3,.232,.280,.465,.745
38,June,24,20,4,3,0,0,2,2,4,8,.150,.292,.450,.742
