,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2015-06-10,3,3,0,2,0,0,0,0,0,1,.667,.667,.667,1.333
1,2015-06-11,4,3,1,1,0,0,0,1,1,1,.500,.571,.500,1.071
2,2015-06-12,3,3,0,0,0,0,0,0,0,1,.333,.400,.333,.733
3,2015-06-14,4,4,0,0,0,0,0,0,0,3,.231,.286,.231,.516
4,2015-06-15,3,3,1,1,0,0,0,0,0,1,.250,.294,.250,.544
5,2015-06-16,3,3,0,2,0,0,0,0,0,1,.316,.350,.316,.666
6,2015-06-17,1,1,0,0,0,0,0,0,0,0,.300,.333,.300,.633
7,2015-06-18,1,0,0,0,0,0,0,0,1,0,.300,.364,.300,.664
8,2015-06-20,4,4,0,0,0,0,0,0,0,3,.250,.308,.250,.558
9,2015-06-23,1,1,0,0,0,0,0,0,0,0,.240,.296,.240,.536
10,2015-06-24,3,3,0,0,0,0,0,0,0,1,.214,.267,.214,.481
11,2015-06-28,1,1,1,0,0,0,0,0,0,1,.207,.258,.207,.465
12,June,31,29,3,6,0,0,0,1,2,13,.207,.258,.207,.465
13,2015-07-23,1,1,0,0,0,0,0,0,0,0,.200,.250,.200,.450
14,2015-07-24,3,3,1,1,0,0,0,0,0,1,.212,.257,.212,.469
15,2015-07-25,3,2,1,0,0,0,0,0,1,1,.200,.263,.200,.463
16,2015-07-26,0,0,1,0,0,0,0,0,0,0,.200,.263,.200,.463
17,July,7,6,3,1,0,0,0,0,1,2,.167,.286,.167,.452
18,2015-09-14,1,1,0,0,0,0,0,0,0,0,.194,.256,.194,.451
19,2015-09-16,0,0,0,0,0,0,0,0,0,0,.194,.256,.194,.451
20,September,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,2015-10-02,0,0,0,0,0,0,0,0,0,0,.194,.256,.194,.451
22,October,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
