,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-02,4,3,0,1,0,0,0,0,1,1,.333,.500,.333,.833
1,2021-04-04,4,4,0,0,0,0,0,0,0,2,.143,.250,.143,.393
2,2021-04-07,4,4,0,0,0,0,0,0,0,2,.091,.167,.091,.258
3,2021-04-10,4,4,0,1,0,0,0,0,0,0,.133,.188,.133,.321
4,2021-04-13,5,4,0,0,0,0,0,0,1,0,.105,.190,.105,.296
5,2021-04-15,4,3,0,0,0,0,0,0,1,0,.091,.200,.091,.291
6,2021-04-16,4,4,0,1,0,0,0,1,0,2,.115,.207,.115,.322
7,2021-04-20,4,4,0,0,0,0,0,0,0,3,.100,.182,.100,.282
8,2021-04-22,3,3,0,0,0,0,0,0,0,1,.091,.167,.091,.258
9,2021-04-24,1,0,0,0,0,0,0,0,1,0,.091,.189,.091,.280
10,2021-04-25,1,1,0,0,0,0,0,0,0,0,.088,.184,.088,.272
11,April,38,34,0,3,0,0,0,1,4,11,.088,.184,.088,.272
