,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2012-05-04,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2012-05-07,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2012-05-08,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,2012-05-10,3,3,0,1,0,0,0,0,0,0,.143,.143,.143,.286
4,2012-05-12,4,3,1,0,0,0,0,0,0,1,.100,.100,.100,.200
5,2012-05-17,4,3,1,0,0,0,0,0,1,2,.077,.143,.077,.220
6,2012-05-20,3,1,0,0,0,0,0,0,2,1,.071,.235,.071,.307
7,2012-05-23,3,3,0,0,0,0,0,0,0,1,.059,.200,.059,.259
8,May,21,17,2,1,0,0,0,0,3,5,.059,.200,.059,.259
9,2012-09-09,1,1,0,0,0,0,0,0,0,0,.056,.190,.056,.246
10,September,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
