,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-30,1,1,0,0,0,0,0,1,0,0,.000,.000,.000,.000
1,April,1,1,0,0,0,0,0,1,0,0,.000,.000,.000,.000
2,2021-05-01,5,4,1,1,0,0,0,0,1,1,.200,.333,.200,.533
3,2021-05-02,1,1,0,1,0,0,0,0,0,0,.333,.429,.333,.762
4,2021-05-03,4,4,0,0,0,0,0,0,0,2,.200,.273,.200,.473
5,2021-05-05,4,3,0,1,0,0,0,0,0,1,.231,.333,.231,.564
6,2021-05-06,2,2,0,0,0,0,0,0,0,0,.200,.294,.200,.494
7,2021-05-07,1,1,0,0,0,0,0,0,0,1,.188,.278,.188,.465
8,2021-05-09,4,3,0,1,1,0,0,0,1,1,.211,.318,.263,.581
9,May,21,18,1,4,1,0,0,0,2,6,.222,.333,.278,.611
10,2021-09-02,3,3,0,1,1,0,0,0,0,1,.227,.320,.318,.638
11,2021-09-03,1,1,1,1,1,0,0,0,0,0,.261,.346,.391,.738
12,2021-09-04,3,3,1,1,1,0,0,1,0,0,.269,.345,.423,.768
13,2021-09-05,2,2,1,1,0,0,0,1,0,0,.286,.355,.429,.783
14,2021-09-06,0,0,0,0,0,0,0,0,0,0,.286,.355,.429,.783
15,2021-09-07,0,0,0,0,0,0,0,0,0,0,.286,.355,.429,.783
16,2021-09-17,3,2,2,1,0,0,0,0,1,0,.300,.382,.433,.816
17,September,12,11,5,5,3,0,0,2,1,1,.455,.500,.727,1.227
