,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2016-04-04,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2016-04-05,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2016-04-06,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,2016-04-08,5,4,2,2,0,0,1,2,1,0,.200,.273,.500,.773
4,2016-04-09,6,5,2,2,0,0,0,0,1,2,.267,.353,.467,.820
5,2016-04-10,4,4,1,1,0,0,0,0,0,1,.263,.333,.421,.754
6,2016-04-11,1,1,0,0,0,0,0,0,0,0,.250,.318,.400,.718
7,2016-04-12,4,3,0,2,0,0,0,0,1,0,.304,.385,.435,.819
8,2016-04-13,4,4,0,1,1,0,0,0,0,2,.296,.367,.444,.811
9,2016-04-14,3,3,0,0,0,0,0,0,0,1,.267,.333,.400,.733
10,2016-04-15,4,4,0,1,0,0,0,0,0,1,.265,.324,.382,.707
11,2016-04-16,7,7,2,3,0,0,1,2,0,0,.293,.341,.463,.804
12,2016-04-17,4,4,0,1,0,1,0,1,0,1,.289,.333,.489,.822
13,2016-04-19,5,2,0,1,1,0,0,0,3,0,.298,.377,.511,.888
14,2016-04-20,4,2,1,0,0,0,0,0,2,1,.286,.386,.490,.876
15,2016-04-21,3,3,0,1,0,0,0,0,0,1,.288,.383,.481,.864
16,2016-04-22,4,4,0,0,0,0,0,0,0,0,.268,.359,.446,.806
17,2016-04-23,4,2,0,0,0,0,0,1,1,0,.259,.353,.431,.784
18,2016-04-24,4,4,1,1,0,0,0,2,0,1,.258,.347,.419,.767
19,2016-04-25,5,4,1,1,0,0,0,0,1,2,.258,.351,.409,.760
20,2016-04-26,4,4,0,1,0,0,0,0,0,0,.257,.346,.400,.746
21,2016-04-27,4,4,0,0,0,0,0,0,0,3,.243,.329,.378,.708
22,2016-04-29,4,4,0,1,0,0,0,1,0,2,.244,.326,.372,.698
23,2016-04-30,5,4,1,1,1,0,0,2,1,2,.244,.330,.378,.708
24,April,94,82,11,20,3,1,2,11,11,22,.244,.330,.378,.708
25,2016-05-01,3,3,0,0,0,0,0,0,0,3,.235,.320,.365,.684
26,2016-05-02,1,0,0,0,0,0,0,0,1,0,.235,.327,.365,.691
27,2016-05-03,4,3,0,1,0,0,0,0,1,1,.239,.333,.364,.697
28,2016-05-04,3,2,0,1,0,0,0,0,1,1,.244,.343,.367,.710
29,2016-05-05,4,4,0,1,0,0,0,0,0,2,.245,.339,.362,.701
30,2016-05-06,4,3,0,1,0,0,0,0,1,0,.247,.345,.361,.706
31,2016-05-07,4,4,0,2,0,0,0,0,0,1,.257,.350,.366,.717
32,2016-05-08,4,4,0,0,0,0,0,0,0,1,.248,.339,.352,.691
33,2016-05-10,4,4,2,2,0,0,1,1,0,1,.257,.344,.385,.729
34,2016-05-11,1,0,0,0,0,0,0,0,1,0,.257,.349,.385,.734
35,2016-05-11,3,3,0,0,0,0,0,0,0,1,.250,.341,.375,.716
36,2016-05-12,4,4,2,3,1,0,1,2,0,1,.267,.353,.422,.776
37,2016-05-13,3,3,0,0,0,0,0,0,0,1,.261,.346,.412,.757
38,2016-05-14,6,5,1,4,1,0,1,2,1,0,.282,.366,.460,.826
39,2016-05-15,4,4,0,1,0,0,0,0,0,1,.281,.363,.453,.816
40,2016-05-17,4,4,0,0,0,0,0,0,0,2,.273,.353,.439,.793
41,2016-05-18,4,3,0,1,0,0,0,0,1,0,.274,.357,.437,.794
42,2016-05-19,4,4,0,0,0,0,0,0,0,3,.266,.348,.424,.773
43,2016-05-20,5,4,1,1,0,0,1,2,0,1,.266,.346,.441,.786
44,2016-05-21,5,4,0,0,0,0,0,0,0,3,.259,.337,.429,.766
45,2016-05-22,7,7,1,3,0,1,0,1,0,0,.266,.341,.442,.783
46,2016-05-23,4,4,0,0,0,0,0,0,0,1,.259,.333,.430,.764
47,2016-05-24,4,4,0,0,0,0,0,0,0,1,.253,.326,.420,.746
48,2016-05-25,4,4,0,1,0,0,0,0,0,0,.253,.324,.416,.740
49,2016-05-27,5,5,1,2,0,0,0,1,0,1,.257,.326,.415,.742
50,2016-05-28,4,3,1,2,1,0,0,1,0,0,.264,.330,.425,.755
51,2016-05-29,4,4,0,0,0,0,0,0,0,0,.258,.323,.416,.739
52,2016-05-30,4,4,1,1,0,0,0,0,0,0,.258,.322,.412,.734
53,2016-05-31,2,2,0,0,0,0,0,0,0,1,.255,.319,.408,.726
54,May,112,102,10,27,3,1,4,10,7,27,.265,.309,.431,.740
55,2016-06-01,5,5,1,0,0,0,0,0,0,3,.249,.311,.397,.708
56,2016-06-02,6,6,1,2,0,0,0,2,0,2,.251,.312,.395,.706
57,2016-06-03,4,3,1,0,0,0,0,0,1,0,.247,.311,.389,.699
58,2016-06-04,4,4,0,0,0,0,0,0,0,0,.243,.305,.381,.686
59,2016-06-06,4,4,0,0,0,0,0,1,0,1,.238,.300,.374,.673
60,2016-06-07,4,3,0,1,0,0,0,1,0,2,.239,.299,.373,.672
61,2016-06-08,4,4,0,1,0,0,0,0,0,2,.239,.298,.371,.669
62,2016-06-10,4,4,1,1,0,0,1,1,0,2,.240,.297,.382,.680
63,2016-06-11,4,4,0,1,0,0,0,1,0,0,.240,.296,.380,.676
64,2016-06-12,4,4,0,0,0,0,0,0,0,1,.236,.291,.373,.665
65,2016-06-13,4,4,1,2,1,0,1,1,0,1,.240,.295,.393,.688
66,2016-06-14,4,4,0,0,0,0,0,0,0,1,.236,.290,.386,.676
67,2016-06-15,4,3,2,3,1,0,1,2,0,0,.246,.301,.411,.712
68,2016-06-16,4,4,1,2,0,0,0,1,0,2,.250,.304,.413,.717
69,2016-06-17,5,5,0,1,0,0,0,0,0,2,.249,.302,.408,.710
70,2016-06-18,4,3,0,1,0,0,0,1,1,1,.250,.305,.407,.712
71,2016-06-19,4,4,2,2,0,0,0,0,0,0,.254,.308,.409,.717
72,2016-06-21,5,5,1,2,0,0,0,0,0,2,.257,.310,.409,.718
73,2016-06-22,4,4,0,0,0,0,0,0,0,2,.253,.305,.402,.708
74,2016-06-23,4,4,2,2,0,0,0,0,0,1,.257,.308,.404,.712
75,2016-06-24,5,5,2,3,0,0,2,4,0,1,.263,.313,.430,.743
76,2016-06-25,4,4,0,0,0,0,0,0,0,3,.259,.309,.423,.732
77,2016-06-26,3,2,0,1,0,0,0,0,0,0,.261,.312,.424,.736
78,2016-06-28,5,4,1,1,0,0,1,1,1,2,.261,.314,.432,.746
79,2016-06-29,5,5,1,1,0,0,0,0,0,1,.260,.312,.428,.740
80,June,107,101,17,27,2,0,6,16,3,32,.267,.299,.465,.764
81,2016-07-01,4,4,1,1,0,0,0,1,0,1,.260,.311,.426,.737
82,2016-07-02,4,4,1,3,1,0,1,1,0,1,.266,.317,.444,.760
83,2016-07-03,4,4,0,0,0,0,0,0,0,2,.263,.313,.438,.750
84,2016-07-04,5,5,0,1,0,0,0,0,0,4,.262,.311,.434,.745
85,2016-07-06,5,5,1,1,1,0,0,1,0,2,.261,.309,.433,.742
86,2016-07-07,5,5,1,1,0,0,1,1,0,1,.260,.308,.439,.747
87,2016-07-08,5,5,3,4,0,0,2,3,0,1,.268,.315,.464,.779
88,2016-07-09,4,4,0,0,0,0,0,0,0,3,.265,.311,.458,.769
89,2016-07-10,4,3,0,0,0,0,0,0,1,3,.262,.311,.454,.764
90,2016-07-18,4,4,0,1,1,0,0,0,0,1,.262,.310,.454,.764
91,2016-07-20,4,3,0,1,0,0,0,0,1,1,.263,.312,.453,.765
