,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2019-03-30,3,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000
2,March,8,8,0,0,0,0,0,0,0,4,.000,.000,.000,.000
3,2019-03-31,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,2019-04-02,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,2019-04-04,1,1,1,0,0,0,0,0,0,1,.000,.000,.000,.000
6,2019-04-05,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,2019-04-06,4,3,1,1,0,0,0,0,1,1,.067,.125,.067,.192
8,2019-04-07,3,3,0,0,0,0,0,0,0,1,.056,.105,.056,.161
9,2019-04-08,0,0,0,0,0,0,0,0,0,0,.056,.105,.056,.161
10,2019-04-09,3,3,0,0,0,0,0,0,0,2,.048,.091,.048,.138
11,2019-04-10,0,0,0,0,0,0,0,0,0,0,.048,.091,.048,.138
12,2019-04-12,3,3,0,0,0,0,0,0,0,1,.042,.080,.042,.122
13,2019-04-13,1,0,0,0,0,0,0,1,0,0,.042,.077,.042,.119
14,2019-04-16,3,3,0,0,0,0,0,0,0,1,.037,.069,.037,.106
15,2019-04-18,5,5,1,2,1,0,0,1,0,0,.094,.118,.125,.243
16,2019-04-19,3,3,0,0,0,0,0,0,0,2,.086,.108,.114,.222
17,2019-04-20,4,4,0,1,0,0,0,0,0,1,.103,.122,.128,.250
18,2019-04-21,0,0,0,0,0,0,0,0,0,0,.103,.122,.128,.250
19,2019-04-22,1,1,1,0,0,0,0,0,0,1,.100,.119,.125,.244
20,2019-04-23,0,0,0,0,0,0,0,0,0,0,.100,.119,.125,.244
21,2019-04-24,0,0,0,0,0,0,0,0,0,0,.100,.119,.125,.244
22,2019-04-26,4,4,0,0,0,0,0,0,0,0,.091,.109,.114,.222
23,2019-04-28,0,0,0,0,0,0,0,0,0,0,.091,.109,.114,.222
24,2019-04-30,0,0,0,0,0,0,0,0,0,0,.091,.109,.114,.222
25,April,38,36,4,4,1,0,0,2,1,11,.111,.132,.139,.270
26,2019-05-01,0,0,0,0,0,0,0,0,0,0,.091,.109,.114,.222
27,2019-05-04,0,0,0,0,0,0,0,0,0,0,.091,.109,.114,.222
28,May,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
