,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-09-03,3,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
1,2019-09-10,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2019-09-14,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,2019-09-15,4,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,2019-09-18,4,3,1,1,0,0,0,0,0,0,.091,.091,.091,.182
5,2019-09-19,0,0,0,0,0,0,0,0,0,0,.091,.091,.091,.182
6,2019-09-21,3,3,0,0,0,0,0,0,0,1,.071,.071,.071,.143
7,2019-09-22,3,3,2,1,1,0,0,0,0,1,.118,.118,.176,.294
8,2019-09-24,0,0,0,0,0,0,0,0,0,0,.118,.118,.176,.294
9,2019-09-25,0,0,0,0,0,0,0,0,0,0,.118,.118,.176,.294
10,2019-09-26,0,0,0,0,0,0,0,0,0,0,.118,.118,.176,.294
11,2019-09-27,3,3,1,1,1,0,0,1,0,1,.150,.150,.250,.400
12,2019-09-28,1,1,0,0,0,0,0,0,0,0,.143,.143,.238,.381
13,2019-09-29,0,0,0,0,0,0,0,0,0,0,.143,.143,.238,.381
14,September,22,21,4,3,2,0,0,1,0,7,.143,.143,.238,.381
