,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-29,3,3,0,2,0,0,0,0,0,0,.667,.667,.667,1.333
1,March,7,7,0,2,0,0,0,0,0,0,.286,.286,.286,.571
2,2019-03-31,4,4,0,0,0,0,0,0,0,0,.286,.286,.286,.571
3,2019-06-02,2,2,0,0,0,0,0,0,0,2,.222,.222,.222,.444
4,2019-06-06,3,3,0,0,0,0,0,0,0,1,.167,.167,.167,.333
5,2019-06-08,3,3,0,1,0,0,0,1,0,0,.200,.200,.200,.400
6,2019-06-09,4,4,1,1,0,0,0,0,0,1,.211,.211,.211,.421
7,2019-06-10,3,3,0,0,0,0,0,0,0,1,.182,.182,.182,.364
8,2019-06-11,2,2,0,0,0,0,0,0,0,2,.167,.167,.167,.333
9,2019-06-29,3,3,0,0,0,0,0,0,0,0,.148,.148,.148,.296
10,2019-06-30,4,4,0,2,0,0,0,1,0,1,.194,.194,.194,.387
11,June,24,24,1,4,0,0,0,2,0,8,.167,.167,.167,.333
12,2019-07-16,1,1,0,0,0,0,0,0,0,1,.188,.188,.188,.375
13,2019-07-18,3,2,1,1,1,0,0,0,1,0,.206,.229,.235,.464
14,2019-07-19,4,4,1,1,0,0,1,2,0,1,.211,.231,.316,.547
15,2019-07-20,1,1,0,0,0,0,0,0,0,0,.205,.225,.308,.533
16,2019-07-21,1,1,0,0,0,0,0,0,0,1,.200,.220,.300,.520
17,2019-07-22,4,4,1,1,0,0,1,1,0,1,.205,.222,.364,.586
18,2019-07-24,1,1,0,0,0,0,0,0,0,0,.200,.217,.356,.573
19,2019-07-25,1,1,0,0,0,0,0,0,0,0,.196,.213,.348,.561
20,2019-07-26,4,4,0,1,1,0,0,1,0,2,.200,.216,.360,.576
21,2019-07-27,4,4,1,3,0,0,0,1,0,0,.241,.255,.389,.643
22,2019-07-28,1,0,0,0,0,0,0,0,1,0,.241,.268,.389,.657
23,2019-07-30,2,2,0,2,1,0,0,0,0,0,.268,.293,.429,.722
24,2019-07-31,4,4,0,2,0,0,0,0,0,0,.283,.306,.433,.740
25,July,31,29,4,11,3,0,2,5,2,6,.379,.419,.690,1.109
26,2019-08-01,4,4,0,1,0,0,0,0,0,1,.281,.303,.422,.725
27,2019-08-02,4,4,0,0,0,0,0,0,0,2,.265,.286,.397,.683
28,2019-08-03,1,1,0,0,0,0,0,0,0,0,.261,.282,.391,.673
29,2019-08-03,5,4,1,1,0,0,0,0,1,1,.260,.289,.384,.673
30,2019-08-04,4,3,1,0,0,0,0,0,1,0,.250,.288,.368,.656
31,2019-08-05,4,4,1,1,0,0,1,2,0,1,.250,.286,.400,.686
32,2019-08-07,1,0,0,0,0,0,0,0,1,0,.250,.294,.400,.694
33,2019-08-08,3,3,1,1,0,0,1,2,0,1,.253,.295,.434,.729
34,2019-08-09,1,0,1,0,0,0,0,1,1,0,.253,.303,.434,.737
35,2019-08-10,5,4,1,1,0,0,1,2,0,1,.253,.298,.460,.758
36,2019-08-11,2,1,1,1,0,0,0,0,1,0,.261,.313,.466,.778
37,2019-08-12,1,1,0,1,1,0,0,0,0,0,.270,.320,.483,.803
38,2019-08-14,4,4,0,1,0,0,0,0,0,2,.269,.317,.473,.790
39,2019-08-16,2,1,1,0,0,0,0,0,1,0,.266,.320,.468,.788
40,2019-08-18,5,4,2,1,0,0,1,1,1,1,.265,.324,.490,.814
41,2019-08-20,1,1,0,0,0,0,0,0,0,0,.263,.321,.485,.806
42,2019-08-21,4,4,0,1,0,0,0,0,0,0,.262,.319,.476,.794
43,2019-08-23,1,1,0,0,0,0,0,0,0,0,.260,.316,.471,.787
44,2019-08-24,1,1,0,0,0,0,0,0,0,0,.257,.313,.467,.780
45,2019-08-25,4,4,0,1,0,0,0,0,0,1,.257,.311,.459,.770
46,2019-08-28,1,1,0,0,0,0,0,0,0,0,.255,.308,.455,.763
47,2019-08-30,2,1,1,0,0,0,0,0,1,0,.252,.311,.450,.762
48,2019-08-31,3,3,0,0,0,0,0,0,0,1,.246,.304,.439,.743
49,August,63,54,11,11,1,0,4,8,8,12,.204,.302,.444,.746
50,2019-09-01,3,3,0,0,0,0,0,0,0,2,.239,.297,.427,.724
51,2019-09-05,2,2,0,0,0,0,0,0,0,0,.235,.292,.420,.712
52,2019-09-07,2,2,0,0,0,0,0,0,0,0,.231,.288,.413,.701
53,2019-09-09,3,3,0,0,0,0,0,0,0,1,.226,.281,.403,.685
54,2019-09-11,0,0,0,0,0,0,0,0,0,0,.226,.281,.403,.685
55,2019-09-15,4,4,0,0,0,0,0,0,0,1,.219,.273,.391,.664
56,2019-09-17,1,1,0,1,0,1,0,0,0,0,.225,.279,.411,.689
57,2019-09-22,5,5,0,1,0,0,0,0,0,2,.224,.276,.403,.679
58,2019-09-23,1,1,0,0,0,0,0,0,0,1,.222,.274,.400,.674
59,2019-09-25,0,0,0,0,0,0,0,0,0,0,.222,.274,.400,.674
60,2019-09-26,4,4,0,1,0,0,0,1,0,1,.223,.273,.396,.669
61,2019-09-27,3,2,0,0,0,0,0,0,0,2,.220,.275,.390,.665
62,2019-09-28,4,3,1,0,0,0,0,0,1,0,.215,.274,.382,.656
63,September,32,30,1,3,0,1,0,1,1,10,.100,.156,.167,.323
