,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2017-06-09,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2017-06-10,4,3,0,0,0,0,0,0,1,1,.000,.200,.000,.200
2,2017-06-13,4,4,1,1,0,0,1,1,0,0,.125,.222,.500,.722
3,2017-06-14,4,3,1,1,0,0,0,1,0,0,.182,.231,.455,.685
4,2017-06-16,2,2,0,1,0,0,0,0,0,1,.231,.267,.462,.728
5,2017-06-18,1,1,0,0,0,0,0,0,0,0,.214,.250,.429,.679
6,2017-06-19,2,2,0,0,0,0,0,0,0,1,.188,.222,.375,.597
7,2017-06-20,4,2,2,1,1,0,0,0,2,1,.222,.318,.444,.763
8,2017-06-21,4,4,1,2,0,0,1,1,0,2,.273,.346,.591,.937
9,2017-06-23,1,1,0,0,0,0,0,0,0,1,.261,.333,.565,.899
10,2017-06-25,4,3,0,1,0,0,0,2,0,2,.269,.323,.538,.861
11,2017-06-30,1,1,0,0,0,0,0,0,0,0,.259,.313,.519,.831
12,June,32,27,5,7,1,0,2,5,3,9,.259,.313,.519,.831
13,2017-07-01,4,3,1,0,0,0,0,0,1,2,.233,.306,.467,.772
14,2017-07-02,3,3,0,0,0,0,0,0,0,0,.212,.282,.424,.706
15,2017-07-06,4,4,0,0,0,0,0,0,0,3,.189,.256,.378,.634
16,2017-07-09,2,1,0,0,0,0,0,0,1,1,.184,.267,.368,.635
17,2017-07-31,2,1,0,0,0,0,0,1,0,0,.179,.277,.359,.636
18,July,15,12,1,0,0,0,0,1,2,6,.000,.200,.000,.200
