,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-22,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
1,2021-04-23,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2021-04-24,4,3,2,0,0,0,0,1,0,1,.000,.091,.000,.091
3,2021-04-25,4,4,0,0,0,0,0,0,0,2,.000,.067,.000,.067
4,2021-04-28,5,3,1,1,1,0,0,2,2,0,.059,.200,.118,.318
5,2021-04-30,1,0,0,0,0,0,0,0,1,0,.059,.238,.118,.356
6,April,21,17,3,1,1,0,0,3,3,4,.059,.238,.118,.356
7,2021-05-01,1,1,0,0,0,0,0,0,0,0,.056,.227,.111,.338
8,2021-05-02,4,3,0,0,0,0,0,0,0,1,.048,.231,.095,.326
9,2021-05-04,1,1,0,0,0,0,0,0,0,0,.045,.222,.091,.313
10,2021-05-05,1,1,0,0,0,0,0,0,0,0,.043,.214,.087,.301
11,2021-05-07,4,4,0,0,0,0,0,1,0,0,.037,.188,.074,.262
12,2021-05-08,4,4,0,0,0,0,0,0,0,0,.032,.167,.065,.231
13,2021-05-09,4,4,0,2,0,0,0,0,0,1,.086,.200,.114,.314
14,May,19,18,0,2,0,0,0,1,0,2,.111,.158,.111,.269
