,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2018-05-09,4,4,0,0,0,0,0,0,0,3,.000,.000,.000,.000
1,2018-05-13,5,5,0,1,1,0,0,0,0,2,.111,.111,.222,.333
2,2018-05-15,3,3,1,1,0,0,0,0,0,1,.167,.167,.250,.417
3,2018-05-18,1,1,0,0,0,0,0,0,0,1,.154,.154,.231,.385
4,2018-05-19,1,1,0,0,0,0,0,0,0,1,.143,.143,.214,.357
5,2018-05-19,3,3,0,0,0,0,0,0,0,1,.118,.118,.176,.294
6,2018-05-23,1,1,0,0,0,0,0,0,0,0,.111,.111,.167,.278
7,2018-05-24,4,4,0,0,0,0,0,0,0,1,.091,.091,.136,.227
8,2018-05-26,4,4,1,2,0,0,1,2,0,1,.154,.154,.308,.462
9,May,26,26,2,4,1,0,1,2,0,11,.154,.154,.308,.462
