,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2014-05-10,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2014-05-11,1,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500
2,2014-05-12,3,3,2,2,0,1,1,3,0,1,.500,.600,1.750,2.350
3,2014-05-14,5,5,1,2,1,0,0,0,0,2,.444,.500,1.111,1.611
4,2014-05-15,4,4,1,2,2,0,0,0,0,0,.462,.500,1.077,1.577
5,2014-05-16,4,4,0,1,1,0,0,0,0,3,.412,.444,.941,1.386
6,2014-05-17,2,2,0,0,0,0,0,0,0,1,.368,.400,.842,1.242
7,2014-05-18,4,3,0,1,0,0,0,1,1,1,.364,.417,.773,1.189
8,2014-05-20,4,4,1,2,2,0,0,1,0,0,.385,.429,.808,1.236
9,2014-05-21,4,3,0,0,0,0,0,0,1,2,.345,.406,.724,1.130
10,2014-05-22,2,2,0,0,0,0,0,0,0,1,.323,.382,.677,1.060
11,2014-05-24,3,3,0,1,0,0,0,0,0,2,.324,.378,.647,1.025
12,2014-05-25,4,4,0,0,0,0,0,1,0,0,.289,.341,.579,.920
13,2014-05-27,4,4,0,1,1,0,0,0,0,1,.286,.333,.571,.905
14,2014-05-28,3,2,0,1,1,0,0,1,1,1,.295,.354,.591,.945
15,2014-05-29,1,1,0,0,0,0,0,0,0,0,.289,.347,.578,.925
16,2014-05-30,1,1,0,0,0,0,0,0,0,0,.283,.340,.565,.905
17,2014-05-31,3,3,0,0,0,0,0,0,0,3,.265,.321,.531,.851
18,May,53,49,5,13,8,1,1,7,4,19,.265,.321,.531,.851
19,2014-06-01,1,1,0,0,0,0,0,0,0,0,.260,.315,.520,.835
20,2014-06-05,4,4,1,1,0,0,0,0,0,2,.259,.310,.500,.810
21,2014-06-07,4,4,0,0,0,0,0,0,0,1,.241,.290,.466,.756
22,2014-06-08,4,4,1,1,0,0,0,0,0,3,.242,.288,.452,.740
23,2014-06-09,4,4,1,1,1,0,0,0,0,1,.242,.286,.455,.740
24,2014-06-10,1,1,0,0,0,0,0,0,0,0,.239,.282,.448,.730
25,2014-06-11,1,1,0,0,0,0,0,0,0,0,.235,.278,.441,.719
26,2014-06-12,4,3,2,2,0,1,0,1,1,0,.254,.303,.479,.782
27,2014-06-13,1,1,0,0,0,0,0,0,0,0,.250,.299,.472,.771
28,2014-06-14,1,1,0,0,0,0,0,0,0,1,.247,.295,.466,.761
29,2014-06-15,4,3,1,3,0,0,0,1,1,0,.276,.329,.487,.816
30,2014-06-18,2,1,0,0,0,0,0,1,0,1,.273,.321,.481,.802
31,2014-06-21,5,5,0,1,0,0,0,3,0,1,.268,.315,.463,.778
32,2014-06-22,4,4,0,1,1,0,0,1,0,2,.267,.312,.465,.777
33,2014-06-23,3,3,0,0,0,0,0,0,0,0,.258,.302,.449,.752
34,2014-06-24,4,4,0,0,0,0,0,1,0,2,.247,.290,.430,.720
35,2014-06-26,3,3,0,0,0,0,0,0,0,3,.240,.282,.417,.698
36,2014-06-27,2,2,1,1,0,1,0,1,0,0,.245,.286,.439,.724
37,2014-06-28,1,1,0,0,0,0,0,0,0,0,.242,.283,.434,.717
38,2014-06-29,1,1,0,0,0,0,0,0,0,0,.240,.280,.430,.710
39,June,54,51,7,11,2,2,0,9,2,17,.216,.241,.333,.574
40,2014-07-02,3,3,0,1,0,0,0,0,0,0,.243,.282,.427,.709
41,2014-07-03,4,3,1,0,0,0,0,0,1,1,.236,.281,.415,.696
42,2014-07-05,1,1,0,0,0,0,0,0,0,0,.234,.278,.411,.690
43,2014-07-06,1,1,0,0,0,0,0,0,0,0,.231,.276,.407,.683
44,2014-07-07,4,4,0,0,0,0,0,0,0,2,.223,.267,.393,.660
45,2014-07-08,4,4,1,2,0,0,1,1,0,0,.233,.274,.422,.697
46,2014-07-09,1,1,0,0,0,0,0,0,0,1,.231,.272,.419,.691
47,2014-07-11,4,4,1,1,0,0,0,0,0,1,.231,.271,.413,.684
48,2014-07-13,0,0,0,0,0,0,0,0,0,0,.231,.271,.413,.684
49,2014-07-18,1,0,0,0,0,0,0,0,1,0,.231,.277,.413,.690
50,2014-07-19,3,2,1,0,0,0,0,0,0,0,.228,.278,.407,.685
51,2014-07-21,1,1,0,0,0,0,0,0,0,0,.226,.276,.403,.679
52,2014-07-22,3,3,0,1,0,0,0,0,0,0,.228,.277,.402,.679
53,2014-07-23,4,4,0,0,0,0,0,0,0,2,.221,.270,.389,.659
54,2014-07-25,3,3,0,2,0,0,0,1,0,1,.231,.278,.396,.673
55,2014-07-26,1,1,0,0,0,0,0,0,0,0,.230,.276,.393,.668
56,2014-07-27,0,0,0,0,0,0,0,0,0,0,.230,.276,.393,.668
57,2014-07-28,3,3,0,0,0,0,0,0,0,0,.225,.270,.384,.654
58,2014-07-30,1,1,0,0,0,0,0,0,0,1,.223,.268,.381,.650
59,July,42,39,4,7,0,0,1,2,2,9,.179,.238,.256,.494
