,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-04-01,4,3,2,1,0,0,1,1,1,0,.333,.500,1.333,1.833
1,2021-04-02,4,3,0,1,0,0,0,0,1,1,.333,.500,.833,1.333
2,2021-04-03,5,4,2,2,2,0,0,3,1,1,.400,.538,.900,1.438
3,2021-04-04,4,3,0,0,0,0,0,0,1,1,.308,.471,.692,1.163
4,2021-04-05,4,2,0,1,0,0,0,0,2,0,.333,.524,.667,1.190
5,2021-04-06,3,3,0,1,0,0,0,0,0,1,.333,.500,.611,1.111
6,2021-04-07,4,4,1,1,0,0,1,1,0,1,.318,.464,.682,1.146
7,2021-04-09,4,4,1,2,1,0,0,1,0,1,.346,.469,.692,1.161
8,2021-04-10,5,5,1,1,0,0,0,0,0,2,.323,.432,.613,1.045
9,2021-04-11,4,4,0,1,1,0,0,0,0,1,.314,.415,.600,1.015
10,2021-04-12,5,5,1,3,0,0,1,5,0,1,.350,.435,.675,1.110
11,2021-04-13,2,1,0,0,0,0,0,0,1,0,.341,.438,.659,1.096
12,2021-04-14,1,1,0,0,0,0,0,0,0,0,.333,.429,.643,1.071
13,2021-04-16,6,6,1,2,0,0,0,0,0,2,.333,.418,.604,1.022
14,2021-04-17,4,3,0,1,0,0,0,0,1,0,.333,.424,.588,1.012
15,2021-04-18,1,1,0,0,0,0,0,0,0,0,.327,.417,.577,.994
16,2021-04-19,3,2,0,0,0,0,0,0,1,1,.315,.413,.556,.968
17,2021-04-20,4,4,0,0,0,0,0,0,0,3,.293,.388,.517,.905
18,2021-04-21,1,1,0,0,0,0,0,0,0,1,.288,.382,.508,.891
19,2021-04-22,4,4,0,0,0,0,0,0,0,1,.270,.361,.476,.837
20,2021-04-23,4,3,2,1,0,0,1,1,1,0,.273,.368,.515,.884
21,2021-04-24,4,4,1,1,0,0,0,0,0,1,.271,.363,.500,.862
22,2021-04-25,1,1,0,0,0,0,0,0,0,0,.268,.358,.493,.851
23,2021-04-27,4,3,0,0,0,0,0,0,1,2,.257,.353,.473,.826
24,2021-04-28,1,1,0,1,0,0,0,1,0,0,.267,.360,.480,.840
25,2021-04-30,4,4,0,1,0,0,0,0,0,1,.266,.356,.468,.824
26,April,90,79,12,21,4,0,4,13,11,22,.266,.356,.468,.824
27,2021-05-01,4,3,0,0,0,0,0,0,1,1,.256,.351,.451,.802
28,2021-05-02,1,1,0,0,0,0,0,0,0,0,.253,.347,.446,.793
29,2021-05-03,3,3,1,1,0,0,0,0,0,0,.256,.347,.442,.789
30,2021-05-04,4,4,1,1,0,0,0,0,0,1,.256,.343,.433,.776
31,2021-05-05,4,3,0,1,0,0,0,1,1,0,.258,.349,.430,.779
32,2021-05-07,4,4,0,0,0,0,0,0,0,1,.247,.336,.412,.749
33,2021-05-08,4,4,0,1,1,0,0,0,0,1,.248,.333,.416,.749
34,2021-05-09,5,4,1,2,0,0,0,1,1,1,.257,.345,.419,.764
35,2021-05-11,1,1,0,0,0,0,0,0,0,0,.255,.342,.415,.757
36,2021-05-23,4,2,0,0,0,0,0,1,1,1,.250,.339,.407,.746
37,2021-05-24,4,3,0,0,0,0,0,0,1,1,.243,.336,.396,.732
38,2021-05-25,4,4,0,0,0,0,0,0,0,2,.235,.326,.383,.708
39,2021-05-26,4,4,1,0,0,0,0,0,0,2,.227,.316,.370,.686
40,2021-05-27,2,2,0,1,0,0,0,0,0,0,.231,.319,.372,.691
41,2021-05-28,6,5,1,2,1,0,0,1,1,0,.238,.326,.381,.707
42,2021-05-29,6,5,1,3,0,0,1,4,1,0,.252,.340,.412,.752
43,2021-05-30,4,4,1,1,0,0,1,1,0,1,.252,.338,.430,.767
44,2021-05-31,4,4,0,1,0,0,0,1,0,1,.252,.335,.424,.760
45,May,68,60,7,14,2,0,2,10,7,13,.233,.309,.367,.676
46,2021-06-01,4,4,0,1,0,0,0,0,0,1,.252,.333,.420,.753
47,2021-06-02,2,2,0,0,0,0,0,0,0,1,.248,.329,.414,.743
48,2021-06-03,4,4,0,1,0,0,0,0,0,0,.248,.327,.409,.737
49,2021-06-04,4,4,0,2,1,0,0,0,0,1,.255,.331,.418,.750
50,2021-06-05,4,4,0,1,0,0,0,0,0,2,.255,.330,.414,.744
51,2021-06-06,4,3,0,0,0,0,0,0,1,2,.250,.328,.406,.734
52,2021-06-07,1,1,0,0,0,0,0,0,0,1,.248,.326,.404,.730
53,2021-06-08,4,3,0,0,0,0,0,0,1,2,.244,.324,.396,.721
54,2021-06-09,3,3,0,0,0,0,0,0,0,1,.240,.319,.389,.708
55,2021-06-11,3,3,0,1,0,0,0,0,0,2,.241,.319,.388,.708
56,2021-06-12,4,3,0,1,0,0,0,0,1,1,.243,.323,.387,.710
57,2021-06-13,4,4,0,1,0,0,0,0,0,3,.243,.322,.384,.706
58,2021-06-14,3,3,0,1,0,0,0,0,0,0,.244,.322,.383,.705
59,2021-06-15,1,1,0,0,0,0,0,0,0,0,.243,.320,.381,.701
60,2021-06-16,5,4,0,1,0,0,0,0,1,1,.243,.322,.378,.700
61,2021-06-17,4,4,0,0,0,0,0,0,0,2,.238,.316,.370,.686
62,2021-06-18,4,4,2,3,1,0,2,2,0,0,.249,.324,.415,.739
63,2021-06-19,4,4,0,2,1,0,0,0,0,1,.254,.327,.421,.749
64,2021-06-20,4,4,1,1,0,1,0,2,0,1,.254,.326,.428,.754
65,2021-06-21,4,4,0,0,0,0,0,0,0,2,.249,.320,.420,.740
66,2021-06-22,3,3,0,1,0,0,0,0,0,1,.250,.320,.418,.739
67,2021-06-23,4,2,0,0,0,0,0,0,2,0,.248,.323,.414,.738
68,2021-06-25,5,4,0,1,0,0,0,1,0,2,.248,.321,.411,.732
69,2021-06-26,1,1,0,1,0,0,0,0,0,0,.251,.324,.414,.738
70,2021-06-27,4,4,0,0,0,0,0,0,0,2,.247,.318,.406,.725
71,2021-06-29,5,5,0,2,0,0,0,0,0,2,.250,.320,.406,.726
72,2021-06-30,3,2,1,1,0,0,1,1,1,0,.252,.324,.420,.744
73,June,95,87,4,22,3,1,3,6,7,31,.253,.305,.414,.719
74,2021-07-01,4,4,0,0,0,0,0,0,0,3,.248,.319,.413,.732
75,2021-07-02,1,1,0,0,0,0,0,0,0,1,.247,.318,.411,.729
76,2021-07-03,3,3,0,0,0,0,0,0,0,1,.244,.314,.406,.720
77,2021-07-04,1,1,0,0,0,0,0,0,0,0,.243,.313,.404,.717
78,2021-07-05,5,4,1,2,1,0,0,1,1,2,.247,.318,.410,.728
79,2021-07-06,4,3,1,2,1,0,1,5,0,0,.252,.321,.430,.751
80,2021-07-07,5,4,0,1,0,0,0,0,1,1,.252,.322,.427,.749
81,2021-07-08,4,3,2,1,1,0,0,1,1,2,.253,.325,.430,.755
82,2021-07-09,4,3,0,2,1,0,0,1,1,0,.258,.331,.437,.768
83,2021-07-10,3,3,0,0,0,0,0,0,0,2,.255,.328,.431,.759
84,2021-07-11,4,2,0,0,0,0,0,0,2,1,.253,.330,.428,.758
85,2021-07-16,6,6,3,3,0,0,2,7,0,2,.259,.333,.452,.786
86,2021-07-17,5,3,1,1,0,0,0,0,2,2,.259,.338,.451,.789
87,2021-07-18,1,1,0,0,0,0,0,0,0,1,.258,.337,.449,.786
88,2021-07-20,4,4,0,2,1,0,0,0,0,0,.262,.339,.454,.793
89,2021-07-21,3,3,0,0,0,0,0,0,0,0,.259,.335,.449,.784
90,2021-07-21,4,3,1,1,0,0,0,0,1,1,.260,.338,.448,.785
91,2021-07-22,1,1,0,1,1,0,0,0,0,0,.263,.340,.453,.793
92,2021-07-23,4,4,0,0,0,0,0,1,0,3,.259,.335,.447,.782
93,2021-07-24,4,3,0,0,0,0,0,0,1,2,.256,.334,.442,.776
94,2021-07-25,1,1,0,0,0,0,0,0,0,0,.255,.333,.441,.774
95,2021-07-27,1,1,0,1,0,0,0,0,0,0,.258,.335,.443,.778
96,2021-07-28,4,3,1,1,0,0,0,0,1,2,.259,.337,.441,.779
97,2021-07-29,4,3,0,1,0,0,0,0,1,1,.259,.339,.440,.780
98,2021-07-30,4,4,0,0,0,0,0,0,0,1,.256,.335,.434,.770
99,2021-07-31,1,0,0,0,0,0,0,0,1,0,.256,.337,.434,.772
100,July,85,71,10,19,6,0,3,16,13,28,.268,.376,.479,.855
101,2021-08-01,4,3,1,1,0,0,0,1,1,2,.257,.339,.433,.772
102,2021-08-03,5,4,1,0,0,0,0,0,1,3,.253,.337,.428,.765
103,2021-08-04,1,1,0,0,0,0,0,0,0,0,.252,.336,.426,.762
104,2021-08-06,4,3,0,0,0,0,0,1,1,1,.250,.335,.422,.757
105,2021-08-07,4,4,1,2,0,0,0,0,0,2,.253,.337,.423,.760
106,2021-08-08,3,2,0,0,0,0,0,0,1,0,.252,.337,.420,.757
107,2021-08-09,4,4,1,1,0,0,0,0,0,1,.252,.336,.418,.754
108,2021-08-10,4,2,2,2,0,0,0,0,2,0,.256,.343,.422,.765
109,2021-08-11,4,4,0,1,0,0,0,0,0,1,.256,.342,.420,.762
110,2021-08-12,4,4,0,0,0,0,0,0,0,1,.253,.339,.415,.753
111,2021-08-13,4,4,1,3,1,0,1,2,0,0,.259,.343,.431,.774
112,2021-08-14,3,3,0,0,0,0,0,0,0,1,.257,.340,.427,.767
113,2021-08-15,2,1,1,0,0,0,0,0,1,1,.256,.341,.426,.767
114,2021-08-16,4,4,0,2,0,0,0,0,0,0,.259,.343,.426,.769
115,2021-08-17,1,1,0,0,0,0,0,0,0,0,.258,.342,.425,.767
116,2021-08-18,4,4,2,2,0,0,2,3,0,2,.261,.344,.443,.787
117,2021-08-20,4,4,0,2,1,0,0,0,0,1,.264,.345,.447,.792
118,2021-08-21,4,4,0,0,0,0,0,0,0,1,.261,.342,.442,.784
119,2021-08-22,1,1,0,0,0,0,0,0,0,0,.260,.341,.441,.782
120,2021-08-24,4,2,1,1,0,0,0,0,2,0,.261,.345,.441,.786
121,2021-08-25,3,2,0,1,0,0,0,1,1,1,.263,.347,.441,.788
122,2021-08-28,4,4,0,1,0,0,0,0,0,1,.262,.346,.439,.786
123,2021-08-30,3,3,2,1,1,0,0,0,0,0,.263,.346,.441,.787
124,August,78,68,13,20,3,0,3,8,10,19,.294,.385,.471,.855
125,2021-09-01,4,4,1,1,0,0,1,2,0,1,.263,.345,.447,.792
126,2021-09-03,4,2,1,0,0,0,0,0,2,1,.261,.347,.445,.791
127,2021-09-04,4,4,2,2,1,0,1,2,0,0,.264,.348,.456,.804
128,2021-09-05,3,2,0,0,0,0,0,1,0,0,.263,.346,.454,.799
129,2021-09-07,4,4,0,0,0,0,0,0,0,0,.260,.343,.449,.791
130,2021-09-08,4,2,2,0,0,0,0,1,2,2,.258,.344,.446,.790
131,2021-09-10,4,4,0,1,1,0,0,0,0,2,.258,.343,.447,.790
132,2021-09-11,4,3,0,0,0,0,0,0,1,2,.256,.342,.444,.786
133,2021-09-12,3,3,0,0,0,0,0,0,0,3,.254,.340,.440,.780
134,2021-09-13,4,4,0,2,1,0,0,0,0,2,.257,.341,.443,.785
135,2021-09-14,3,3,0,0,0,0,0,0,0,1,.255,.339,.440,.779
136,2021-09-15,1,1,0,1,0,0,0,1,0,0,.257,.341,.441,.782
137,2021-09-16,1,1,1,1,1,0,0,1,0,0,.259,.342,.445,.787
138,2021-09-17,1,1,0,0,0,0,0,0,0,0,.258,.341,.444,.786
139,2021-09-18,4,4,0,0,0,0,0,0,0,0,.256,.338,.440,.778
140,2021-09-19,4,4,0,2,1,0,0,1,0,2,.258,.340,.443,.783
141,2021-09-21,2,2,0,0,0,0,0,0,0,1,.257,.338,.441,.779
142,2021-09-22,4,4,0,0,0,0,0,0,0,3,.254,.335,.436,.772
143,2021-09-24,2,2,0,1,0,0,0,0,0,0,.255,.336,.437,.773
144,2021-09-25,5,5,1,1,0,0,0,0,0,4,.255,.335,.434,.769
145,2021-09-26,1,1,1,1,0,0,0,0,0,0,.256,.336,.435,.771
146,2021-09-28,3,3,0,0,0,0,0,0,0,0,.255,.334,.432,.766
147,2021-09-29,3,3,1,2,0,1,0,1,0,1,.258,.336,.439,.775
148,2021-09-30,4,4,0,0,0,0,0,0,0,1,.255,.333,.434,.768
149,September,76,70,10,15,5,1,2,10,5,26,.214,.263,.400,.663
150,2021-10-01,4,4,0,2,1,0,0,0,0,1,.257,.335,.437,.772
151,2021-10-03,4,3,0,0,0,0,0,0,1,1,.256,.334,.434,.768
152,October,8,7,0,2,1,0,0,0,1,2,.286,.375,.429,.804
