,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2019-03-28,4,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2019-03-29,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2019-03-30,4,3,1,1,1,0,0,0,1,0,.091,.167,.182,.348
3,March,15,14,1,1,1,0,0,0,1,2,.071,.133,.143,.276
4,2019-03-31,3,3,0,0,0,0,0,0,0,1,.071,.133,.143,.276
5,2019-04-01,1,1,0,0,0,0,0,0,0,0,.067,.125,.133,.258
6,2019-04-02,4,4,0,0,0,0,0,0,0,1,.053,.100,.105,.205
7,2019-04-04,4,4,0,0,0,0,0,0,0,0,.043,.083,.087,.170
8,2019-04-05,3,3,0,0,0,0,0,0,0,1,.038,.074,.077,.151
9,2019-04-07,1,0,0,0,0,0,0,1,0,0,.038,.107,.077,.184
10,2019-04-08,0,0,0,0,0,0,0,0,0,0,.038,.107,.077,.184
11,2019-04-09,4,4,0,0,0,0,0,0,0,2,.033,.094,.067,.160
12,2019-04-10,0,0,0,0,0,0,0,0,0,0,.033,.094,.067,.160
13,2019-04-12,3,3,0,0,0,0,0,0,0,0,.030,.086,.061,.146
14,2019-04-13,4,4,0,3,0,0,0,1,0,0,.108,.154,.135,.289
15,2019-04-15,5,4,1,0,0,0,0,0,1,0,.098,.159,.122,.281
16,2019-04-16,3,3,0,0,0,0,0,0,0,1,.091,.149,.114,.263
17,2019-04-17,4,4,0,1,0,0,0,0,0,0,.104,.157,.125,.282
18,2019-04-18,1,1,0,0,0,0,0,0,0,1,.102,.154,.122,.276
19,2019-04-19,4,3,0,0,0,0,0,1,0,1,.096,.143,.115,.258
20,2019-04-20,4,3,0,1,0,0,0,1,0,2,.109,.150,.127,.277
21,2019-04-21,4,4,0,0,0,0,0,0,0,2,.102,.141,.119,.259
22,2019-04-22,5,4,0,1,0,0,0,0,0,0,.111,.159,.127,.286
23,2019-04-23,1,1,0,0,0,0,0,0,0,0,.109,.157,.125,.282
24,April,55,50,1,6,0,0,0,4,1,11,.120,.164,.120,.284
25,2019-05-07,4,4,1,1,0,0,0,0,0,0,.118,.162,.132,.294
26,2019-05-08,4,4,0,1,0,0,0,0,0,1,.125,.167,.139,.306
27,2019-05-09,5,4,1,1,1,0,0,2,0,0,.132,.169,.158,.327
28,2019-05-11,4,3,0,0,0,0,0,1,1,0,.127,.172,.152,.324
29,2019-05-12,3,2,0,1,0,0,0,0,1,0,.136,.189,.160,.349
30,2019-05-13,0,0,0,0,0,0,0,0,0,0,.136,.189,.160,.349
31,2019-05-15,0,0,0,0,0,0,0,0,0,0,.136,.189,.160,.349
32,2019-05-17,0,0,0,0,0,0,0,0,0,0,.136,.189,.160,.349
33,2019-05-18,0,0,0,0,0,0,0,0,0,0,.136,.189,.160,.349
34,2019-05-19,3,3,0,0,0,0,0,0,0,0,.131,.183,.155,.338
35,2019-05-20,1,1,0,0,0,0,0,0,0,0,.129,.181,.153,.334
36,2019-05-23,5,5,0,0,0,0,0,0,0,0,.122,.172,.144,.316
37,2019-05-24,3,2,0,0,0,0,0,0,1,0,.120,.176,.141,.318
38,2019-05-25,4,4,0,1,0,0,0,0,0,2,.125,.179,.146,.325
39,2019-05-26,1,1,0,0,0,0,0,0,0,0,.124,.178,.144,.322
40,May,37,33,2,5,1,0,0,3,3,3,.152,.216,.182,.398
