Unnamed: 0,date,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
0,2021-07-03,4,4,0,1,0,0,0,0,0,2,0.25,0.25,0.25,0.5
1,2021-07-04,4,4,0,3,1,0,0,0,0,0,0.5,0.5,0.625,1.125
2,2021-07-05,5,4,1,3,1,0,0,2,0,0,0.583,0.583,0.75,1.333
3,2021-07-06,5,4,0,0,0,0,0,0,1,1,0.438,0.471,0.563,1.033
4,2021-07-07,6,5,2,1,0,0,0,1,0,0,0.381,0.435,0.476,0.911
5,2021-07-08,5,5,1,1,0,0,0,0,0,1,0.346,0.393,0.423,0.816
6,2021-07-09,5,4,0,0,0,0,0,0,0,1,0.3,0.344,0.367,0.71
7,2021-07-10,5,5,1,2,1,1,0,2,0,1,0.314,0.351,0.457,0.808
8,2021-07-11,4,4,0,0,0,0,0,0,0,1,0.282,0.317,0.41,0.727
9,2021-07-16,5,5,1,1,0,0,0,0,0,0,0.273,0.304,0.386,0.691
10,2021-07-17,5,5,0,2,0,0,0,0,0,0,0.286,0.314,0.388,0.702
11,2021-07-18,6,5,1,2,0,0,1,2,1,0,0.296,0.333,0.444,0.778
12,2021-07-19,5,3,3,2,0,0,0,0,1,0,0.316,0.371,0.456,0.827
13,2021-07-20,4,3,0,0,0,0,0,0,0,0,0.3,0.364,0.433,0.797
14,2021-07-21,5,4,0,1,0,0,0,0,0,1,0.297,0.366,0.422,0.788
15,2021-07-23,4,4,0,0,0,0,0,0,0,1,0.279,0.347,0.397,0.744
16,2021-07-24,4,4,0,0,0,0,0,0,0,1,0.264,0.329,0.375,0.704
17,2021-07-25,5,3,2,2,1,0,0,0,0,0,0.28,0.357,0.4,0.757
18,2021-07-26,5,5,2,2,0,0,0,0,0,1,0.288,0.36,0.4,0.76
19,2021-07-27,4,3,0,0,0,0,0,0,0,1,0.277,0.355,0.386,0.74
20,2021-07-29,4,4,0,1,0,0,0,0,0,0,0.276,0.351,0.379,0.73
21,2021-07-29,5,5,1,1,1,0,0,0,0,0,0.272,0.343,0.38,0.724
22,2021-07-30,4,4,0,1,0,0,0,0,0,0,0.271,0.34,0.375,0.715
23,July,108,96,15,26,5,1,1,7,3,12,0.271,0.34,0.375,0.715
24,2021-08-04,4,3,0,0,0,0,0,0,1,0,0.263,0.336,0.364,0.7
25,2021-08-05,5,5,1,1,0,0,0,0,0,2,0.26,0.33,0.356,0.686
26,2021-08-06,4,4,1,1,1,0,0,0,0,1,0.259,0.328,0.361,0.689
27,2021-08-07,4,3,0,2,0,0,0,0,1,0,0.27,0.341,0.369,0.711
28,2021-08-08,5,5,1,2,1,0,0,1,0,1,0.276,0.344,0.379,0.723
29,2021-08-10,5,5,1,1,0,0,0,0,0,1,0.273,0.338,0.372,0.71
30,2021-08-12,3,3,0,0,0,0,0,0,0,2,0.266,0.331,0.363,0.694
31,2021-08-13,5,5,1,2,0,0,0,0,0,1,0.271,0.333,0.364,0.698
32,2021-08-14,4,4,0,0,0,0,0,0,0,1,0.263,0.324,0.353,0.678
33,2021-08-17,5,5,1,1,1,0,0,2,0,0,0.261,0.32,0.355,0.675
34,2021-08-18,5,5,2,1,0,0,0,0,0,1,0.259,0.316,0.35,0.666
35,2021-08-20,5,4,1,1,0,0,0,0,1,0,0.259,0.319,0.347,0.666
36,2021-08-21,5,4,1,2,1,0,0,1,0,1,0.265,0.327,0.358,0.685
37,2021-08-22,5,5,0,1,0,0,0,0,0,1,0.263,0.324,0.353,0.676
38,2021-08-24,5,5,0,2,1,0,0,0,0,1,0.267,0.326,0.36,0.686
39,2021-08-25,4,3,1,1,0,0,0,0,1,0,0.268,0.33,0.36,0.689
40,2021-08-26,5,5,2,3,1,0,0,0,0,1,0.278,0.337,0.373,0.71
41,2021-08-27,4,4,0,2,0,0,0,0,0,2,0.283,0.34,0.376,0.716
42,2021-08-28,4,4,0,3,0,0,0,1,0,0,0.294,0.349,0.384,0.733
43,2021-08-29,4,4,0,0,0,0,0,0,0,0,0.287,0.342,0.376,0.718
44,2021-08-30,1,1,0,0,0,0,0,0,0,1,0.286,0.34,0.374,0.714
45,August,91,86,13,26,6,0,0,5,4,17,0.302,0.341,0.372,0.713
46,2021-09-02,5,4,2,1,0,0,0,0,1,1,0.285,0.342,0.371,0.713
47,2021-09-03,5,5,0,0,0,0,0,0,0,1,0.277,0.333,0.361,0.695
48,2021-09-04,5,4,1,1,1,0,0,3,0,1,0.277,0.33,0.364,0.694
49,2021-09-04,3,3,2,2,0,0,1,2,0,1,0.283,0.335,0.384,0.719
50,2021-09-05,5,4,2,1,0,0,0,0,1,0,0.282,0.336,0.381,0.718
51,2021-09-06,5,4,2,1,0,1,0,0,1,1,0.282,0.338,0.388,0.726
52,2021-09-07,5,5,2,2,1,0,0,0,0,1,0.284,0.339,0.393,0.732
53,2021-09-08,5,4,0,0,0,0,0,0,0,1,0.279,0.336,0.386,0.722
54,2021-09-09,5,5,0,1,0,0,0,0,0,2,0.277,0.333,0.382,0.715
55,2021-09-10,4,4,0,0,0,0,0,0,0,0,0.272,0.328,0.375,0.703
56,2021-09-11,5,5,2,2,1,0,0,1,0,0,0.275,0.329,0.38,0.709
57,2021-09-12,5,5,0,1,0,0,0,0,0,0,0.274,0.327,0.376,0.703
58,2021-09-13,4,4,0,0,0,0,0,0,0,0,0.269,0.322,0.37,0.692
59,2021-09-14,5,4,0,1,1,0,0,2,0,0,0.269,0.319,0.372,0.691
60,2021-09-15,6,6,0,4,0,0,0,1,0,0,0.278,0.327,0.379,0.706
61,2021-09-17,5,5,0,2,1,0,0,1,0,0,0.281,0.328,0.383,0.712
62,2021-09-18,4,4,0,1,0,0,0,0,0,2,0.28,0.327,0.381,0.709
63,2021-09-19,4,4,1,1,0,0,0,0,0,2,0.28,0.326,0.379,0.706
64,2021-09-20,6,6,0,3,0,0,0,0,0,0,0.285,0.33,0.382,0.712
65,2021-09-21,5,4,2,1,1,0,0,2,1,1,0.284,0.331,0.384,0.715
66,2021-09-22,5,4,2,2,0,0,0,0,1,0,0.287,0.336,0.385,0.721
67,2021-09-23,5,5,0,1,1,0,0,0,0,3,0.286,0.333,0.386,0.719
68,2021-09-24,6,6,2,2,1,0,1,2,0,1,0.287,0.333,0.399,0.732
69,2021-09-25,5,5,1,1,0,0,0,0,0,2,0.285,0.331,0.395,0.726
70,2021-09-26,5,4,0,0,0,0,0,0,1,1,0.281,0.329,0.39,0.719
71,2021-09-27,5,5,1,3,0,0,0,1,0,0,0.287,0.333,0.393,0.727
72,2021-09-28,4,3,0,1,1,0,0,0,1,0,0.287,0.335,0.396,0.731
73,2021-09-29,5,4,1,1,0,0,0,0,1,2,0.287,0.336,0.394,0.73
74,September,136,125,23,36,9,1,2,15,8,23,0.288,0.331,0.424,0.755
75,2021-10-01,5,5,1,2,0,0,1,1,0,1,0.288,0.337,0.404,0.741
76,2021-10-02,4,3,0,0,0,0,0,0,1,2,0.286,0.336,0.4,0.736
77,2021-10-03,5,4,1,2,1,0,0,0,1,1,0.288,0.34,0.404,0.744
78,October,14,12,2,4,1,0,1,1,2,4,0.333,0.429,0.667,1.095
0,2021-07-03,4,4,0,1,0,0,0,0,0,2,0.25,0.25,0.25,0.5
1,2021-07-04,4,4,0,3,1,0,0,0,0,0,0.5,0.5,0.625,1.125
2,2021-07-05,5,4,1,3,1,0,0,2,0,0,0.583,0.583,0.75,1.333
3,2021-07-06,5,4,0,0,0,0,0,0,1,1,0.438,0.471,0.563,1.033
4,2021-07-07,6,5,2,1,0,0,0,1,0,0,0.381,0.435,0.476,0.911
5,2021-07-08,5,5,1,1,0,0,0,0,0,1,0.346,0.393,0.423,0.816
6,2021-07-09,5,4,0,0,0,0,0,0,0,1,0.3,0.344,0.367,0.71
7,2021-07-10,5,5,1,2,1,1,0,2,0,1,0.314,0.351,0.457,0.808
8,2021-07-11,4,4,0,0,0,0,0,0,0,1,0.282,0.317,0.41,0.727
9,2021-07-16,5,5,1,1,0,0,0,0,0,0,0.273,0.304,0.386,0.691
10,2021-07-17,5,5,0,2,0,0,0,0,0,0,0.286,0.314,0.388,0.702
11,2021-07-18,6,5,1,2,0,0,1,2,1,0,0.296,0.333,0.444,0.778
12,2021-07-19,5,3,3,2,0,0,0,0,1,0,0.316,0.371,0.456,0.827
13,2021-07-20,4,3,0,0,0,0,0,0,0,0,0.3,0.364,0.433,0.797
14,2021-07-21,5,4,0,1,0,0,0,0,0,1,0.297,0.366,0.422,0.788
15,2021-07-23,4,4,0,0,0,0,0,0,0,1,0.279,0.347,0.397,0.744
16,2021-07-24,4,4,0,0,0,0,0,0,0,1,0.264,0.329,0.375,0.704
17,2021-07-25,5,3,2,2,1,0,0,0,0,0,0.28,0.357,0.4,0.757
18,2021-07-26,5,5,2,2,0,0,0,0,0,1,0.288,0.36,0.4,0.76
19,2021-07-27,4,3,0,0,0,0,0,0,0,1,0.277,0.355,0.386,0.74
20,2021-07-29,4,4,0,1,0,0,0,0,0,0,0.276,0.351,0.379,0.73
21,2021-07-29,5,5,1,1,1,0,0,0,0,0,0.272,0.343,0.38,0.724
22,2021-07-30,4,4,0,1,0,0,0,0,0,0,0.271,0.34,0.375,0.715
23,July,108,96,15,26,5,1,1,7,3,12,0.271,0.34,0.375,0.715
24,2021-08-04,4,3,0,0,0,0,0,0,1,0,0.263,0.336,0.364,0.7
25,2021-08-05,5,5,1,1,0,0,0,0,0,2,0.26,0.33,0.356,0.686
26,2021-08-06,4,4,1,1,1,0,0,0,0,1,0.259,0.328,0.361,0.689
27,2021-08-07,4,3,0,2,0,0,0,0,1,0,0.27,0.341,0.369,0.711
28,2021-08-08,5,5,1,2,1,0,0,1,0,1,0.276,0.344,0.379,0.723
29,2021-08-10,5,5,1,1,0,0,0,0,0,1,0.273,0.338,0.372,0.71
30,2021-08-12,3,3,0,0,0,0,0,0,0,2,0.266,0.331,0.363,0.694
