PA,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
2018-03-29,5,5,0,1,0,0,0,1,0,1,0.2,0.2,0.2,0.4
2018-03-30,1,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333
2018-04-02,7,4,0,0,0,0,0,0,3,1,0.1,0.308,0.1,0.408
2018-04-03,1,1,0,1,0,0,0,0,0,0,0.182,0.357,0.182,0.539
2018-04-05,5,5,0,0,0,0,0,0,0,4,0.125,0.263,0.125,0.388
2018-04-07,1,0,0,0,0,0,0,0,1,0,0.125,0.3,0.125,0.425
2018-04-08,2,2,0,0,0,0,0,0,0,1,0.111,0.273,0.111,0.384
2018-04-10,4,3,0,0,0,0,0,0,1,2,0.095,0.269,0.095,0.364
2018-04-14,4,3,2,1,0,0,1,1,1,0,0.125,0.3,0.25,0.55
2018-04-17,3,3,0,1,0,0,0,0,0,2,0.148,0.303,0.259,0.562
2018-04-18,5,5,0,0,0,0,0,0,0,4,0.125,0.263,0.219,0.482
2018-04-20,3,3,0,0,0,0,0,0,0,2,0.114,0.244,0.2,0.444
2018-04-24,4,4,2,3,0,0,1,2,0,1,0.179,0.289,0.333,0.622
2018-04-25,1,0,0,0,0,0,0,0,1,0,0.179,0.304,0.333,0.638
2018-04-26,5,4,1,0,0,0,0,0,1,3,0.163,0.294,0.302,0.596
2018-04-28,3,3,0,1,0,0,0,0,0,1,0.174,0.296,0.304,0.601
2018-04-30,1,0,0,0,0,0,0,0,1,0,0.174,0.309,0.304,0.613
2018-05-01,3,3,0,0,0,0,0,0,0,3,0.163,0.293,0.286,0.579
2018-05-02,1,1,0,0,0,0,0,0,0,0,0.16,0.288,0.28,0.568
2018-05-03,1,1,0,0,0,0,0,0,0,0,0.157,0.283,0.275,0.558
2018-05-04,3,3,0,0,0,0,0,0,0,3,0.148,0.27,0.259,0.529
2018-05-05,1,0,0,0,0,0,0,0,1,0,0.148,0.281,0.259,0.54
2018-05-06,3,2,0,0,0,0,0,0,1,1,0.143,0.284,0.25,0.534
2018-05-08,1,1,1,1,0,0,0,0,0,0,0.158,0.294,0.263,0.557
2018-05-09,4,4,0,0,0,0,0,0,0,1,0.148,0.278,0.246,0.524
2018-05-10,1,1,0,0,0,0,0,0,0,0,0.145,0.274,0.242,0.516
2018-05-11,3,3,0,0,0,0,0,0,0,3,0.138,0.263,0.231,0.494
2018-05-12,1,1,0,0,0,0,0,0,0,1,0.136,0.26,0.227,0.487
2018-05-13,3,3,0,0,0,0,0,0,0,3,0.13,0.25,0.217,0.467
2018-05-14,1,1,0,0,0,0,0,0,0,0,0.129,0.247,0.214,0.461
2018-05-16,4,2,0,0,0,0,0,0,2,1,0.125,0.259,0.208,0.467
2018-05-18,3,3,0,1,0,0,0,0,0,2,0.133,0.261,0.213,0.475
2018-05-19,1,1,0,0,0,0,0,0,0,1,0.132,0.258,0.211,0.469
2018-05-22,2,2,0,0,0,0,0,0,0,1,0.128,0.253,0.205,0.458
2018-05-26,3,3,0,0,0,0,0,0,0,0,0.123,0.245,0.198,0.442
2018-05-29,3,2,0,0,0,0,0,0,1,1,0.12,0.247,0.193,0.44
2018-05-30,1,1,0,1,0,0,0,0,0,0,0.131,0.255,0.202,0.458
2018-06-03,1,1,0,0,0,0,0,0,0,1,0.129,0.253,0.2,0.452
2018-06-04,1,1,0,0,0,0,0,0,0,1,0.128,0.25,0.198,0.448
2018-06-06,4,4,0,0,0,0,0,0,0,3,0.122,0.24,0.189,0.429
2018-06-09,3,2,0,0,0,0,0,0,1,1,0.12,0.243,0.185,0.428
2018-06-13,1,1,0,0,0,0,0,0,0,0,0.118,0.241,0.183,0.424
2018-06-15,4,4,0,0,0,0,0,0,0,2,0.113,0.232,0.175,0.407
2018-06-17,4,4,0,0,0,0,0,0,0,1,0.109,0.224,0.168,0.392
2018-06-21,5,4,1,2,1,0,1,3,1,1,0.124,0.24,0.219,0.459
2018-07-07,5,3,1,3,0,0,1,3,1,0,0.148,0.27,0.269,0.538
2018-07-08,0,0,0,0,0,0,0,0,0,0,0.148,0.27,0.269,0.538
2018-07-11,4,3,0,0,0,0,0,0,1,1,0.144,0.269,0.261,0.53
2018-07-13,4,3,1,1,1,0,0,0,1,1,0.149,0.276,0.272,0.548
2018-07-15,2,1,0,0,0,0,0,0,1,1,0.148,0.279,0.27,0.549
2018-07-20,5,3,0,0,0,0,0,1,1,2,0.144,0.277,0.263,0.539
2018-07-24,4,4,0,1,0,0,0,0,0,2,0.148,0.276,0.262,0.538
2018-07-26,4,3,1,1,0,0,1,2,1,1,0.152,0.282,0.288,0.57
2018-07-28,1,1,0,1,1,0,0,1,0,0,0.159,0.287,0.302,0.588
2018-07-31,4,3,0,2,0,0,0,0,1,0,0.171,0.299,0.31,0.609
2018-08-03,4,3,0,0,0,0,0,1,1,1,0.167,0.297,0.303,0.6
2018-08-04,1,1,0,0,0,0,0,0,0,0,0.165,0.296,0.301,0.596
2018-08-06,6,4,0,1,1,0,0,0,2,2,0.168,0.303,0.307,0.61
2018-08-08,4,3,0,2,1,0,0,0,1,0,0.179,0.314,0.321,0.635
2018-08-10,3,3,0,0,0,0,0,0,0,2,0.175,0.308,0.315,0.623
2018-08-12,4,3,0,0,0,0,0,0,1,2,0.171,0.307,0.308,0.615
2018-08-14,4,3,1,1,0,0,1,1,1,2,0.174,0.311,0.329,0.64
2018-08-16,4,3,0,1,0,0,0,2,1,2,0.178,0.315,0.329,0.644
2018-08-17,1,1,0,0,0,0,0,0,0,1,0.176,0.314,0.327,0.64
2018-08-19,1,1,0,0,0,0,0,0,0,0,0.175,0.312,0.325,0.636
2018-08-22,4,4,0,0,0,0,0,0,0,2,0.171,0.305,0.316,0.622
2018-08-24,4,4,0,0,0,0,0,0,0,2,0.167,0.299,0.309,0.608
2018-08-27,3,3,0,0,0,0,0,0,0,2,0.164,0.294,0.303,0.597
2018-08-29,4,3,0,0,0,0,0,0,1,1,0.161,0.294,0.298,0.591
2018-09-02,4,3,0,1,1,0,0,1,0,0,0.164,0.293,0.304,0.597
2018-09-03,2,1,0,0,0,0,0,0,1,0,0.163,0.295,0.302,0.597
2018-09-06,1,1,0,0,0,0,0,0,0,1,0.162,0.293,0.301,0.594
2018-09-07,4,2,0,1,0,0,0,0,2,1,0.166,0.302,0.303,0.605
2018-09-09,3,2,1,0,0,0,0,0,1,0,0.164,0.302,0.299,0.602
2018-09-10,3,3,0,0,0,0,0,0,0,3,0.161,0.298,0.294,0.593
2018-09-12,3,2,1,1,0,0,1,1,1,0,0.165,0.303,0.313,0.616
2018-09-15,3,3,0,0,0,0,0,0,0,2,0.162,0.299,0.308,0.607
2018-09-17,3,3,0,0,0,0,0,0,0,1,0.16,0.295,0.303,0.598
2018-09-22,3,3,0,1,0,0,0,0,0,0,0.162,0.296,0.304,0.599
2018-09-29,4,3,0,1,0,0,0,0,1,1,0.165,0.299,0.304,0.603
2019-03-29,6,4,1,1,0,0,0,0,2,1,0.25,0.5,0.25,0.75
2019-03-30,3,2,1,1,0,0,1,1,1,0,0.333,0.556,0.833,1.389
2019-04-01,5,3,1,1,0,0,0,2,2,1,0.333,0.571,0.667,1.238
2019-04-03,1,1,0,0,0,0,0,0,0,1,0.3,0.533,0.6,1.133
2019-04-05,5,4,2,2,1,0,1,2,1,1,0.357,0.55,0.857,1.407
2019-04-06,1,1,0,0,0,0,0,0,0,1,0.333,0.524,0.8,1.324
2019-05-11,4,3,0,0,0,0,0,0,1,2,0.278,0.48,0.667,1.147
2019-05-13,4,2,1,2,1,0,0,1,2,0,0.35,0.552,0.75,1.302
